region,region_code,year,metric,value
North East,E12000001,1981,total_population,2636194.0
North East,E12000001,1982,total_population,2624248.0
North East,E12000001,1983,total_population,2616854.0
North East,E12000001,1984,total_population,2609362.0
North East,E12000001,1985,total_population,2601689.0
North East,E12000001,1986,total_population,2594213.0
North East,E12000001,1987,total_population,2589779.0
North East,E12000001,1988,total_population,2582285.0
North East,E12000001,1989,total_population,2582114.0
North East,E12000001,1990,total_population,2584320.0
North East,E12000001,1991,total_population,2586986.0
North East,E12000001,1992,total_population,2591333.0
North East,E12000001,1993,total_population,2593948.0
North East,E12000001,1994,total_population,2588661.0
North East,E12000001,1995,total_population,2582715.0
North East,E12000001,1996,total_population,2576450.0
North East,E12000001,1997,total_population,2568066.0
North East,E12000001,1998,total_population,2560883.0
North East,E12000001,1999,total_population,2550314.0
North East,E12000001,2000,total_population,2543421.0
North East,E12000001,2001,total_population,2540090.0
North East,E12000001,2002,total_population,2540600.0
North East,E12000001,2003,total_population,2540461.0
North East,E12000001,2004,total_population,2540502.0
North East,E12000001,2005,total_population,2547127.0
North East,E12000001,2006,total_population,2552568.0
North East,E12000001,2007,total_population,2562045.0
North East,E12000001,2008,total_population,2569312.0
North East,E12000001,2009,total_population,2575441.0
North East,E12000001,2010,total_population,2586868.0
North East,E12000001,2011,total_population,2596441.0
North East,E12000001,2012,total_population,2598972.0
North East,E12000001,2013,total_population,2603299.0
North East,E12000001,2014,total_population,2610482.0
North East,E12000001,2015,total_population,2611804.0
North East,E12000001,2016,total_population,2618253.0
North East,E12000001,2017,total_population,2623787.0
North East,E12000001,2018,total_population,2629393.0
North East,E12000001,2019,total_population,2636676.0
North East,E12000001,2020,total_population,2637426.0
North East,E12000001,2021,total_population,2647493.0
North East,E12000001,2022,total_population,2684586.0
North East,E12000001,2023,total_population,2724805.0
North East,E12000001,2024,total_population,2760678.0
North East,E12000001,1992,working_age_population,1647791.0
North East,E12000001,1993,working_age_population,1644872.0
North East,E12000001,1994,working_age_population,1637341.0
North East,E12000001,1995,working_age_population,1633738.0
North East,E12000001,1996,working_age_population,1631015.0
North East,E12000001,1997,working_age_population,1626732.0
North East,E12000001,1998,working_age_population,1624352.0
North East,E12000001,1999,working_age_population,1619930.0
North East,E12000001,2000,working_age_population,1618072.0
North East,E12000001,2001,working_age_population,1620014.0
North East,E12000001,2002,working_age_population,1626436.0
North East,E12000001,2003,working_age_population,1629487.0
North East,E12000001,2004,working_age_population,1633579.0
North East,E12000001,2005,working_age_population,1643239.0
North East,E12000001,2006,working_age_population,1651943.0
North East,E12000001,2007,working_age_population,1663504.0
North East,E12000001,2008,working_age_population,1670736.0
North East,E12000001,2009,working_age_population,1674451.0
North East,E12000001,2010,working_age_population,1679691.0
North East,E12000001,2011,working_age_population,1681674.0
North East,E12000001,2012,working_age_population,1668762.0
North East,E12000001,2013,working_age_population,1662338.0
North East,E12000001,2014,working_age_population,1657915.0
North East,E12000001,2015,working_age_population,1651471.0
North East,E12000001,2016,working_age_population,1647815.0
North East,E12000001,2017,working_age_population,1643042.0
North East,E12000001,2018,working_age_population,1638969.0
North East,E12000001,2019,working_age_population,1635738.0
North East,E12000001,2020,working_age_population,1632813.0
North East,E12000001,2021,working_age_population,1635449.0
North East,E12000001,2022,working_age_population,1658911.0
North East,E12000001,2023,working_age_population,1684158.0
North East,E12000001,2024,working_age_population,1706169.0
North West,E12000002,1981,total_population,6940324.0
North West,E12000002,1982,total_population,6907328.0
North West,E12000002,1983,total_population,6880943.0
North West,E12000002,1984,total_population,6860934.0
North West,E12000002,1985,total_population,6847898.0
North West,E12000002,1986,total_population,6832680.0
North West,E12000002,1987,total_population,6820667.0
North West,E12000002,1988,total_population,6811642.0
North West,E12000002,1989,total_population,6824728.0
North West,E12000002,1990,total_population,6829393.0
North West,E12000002,1991,total_population,6843039.0
North West,E12000002,1992,total_population,6841029.0
North West,E12000002,1993,total_population,6846740.0
North West,E12000002,1994,total_population,6838904.0
North West,E12000002,1995,total_population,6827940.0
North West,E12000002,1996,total_population,6809646.0
North West,E12000002,1997,total_population,6794378.0
North West,E12000002,1998,total_population,6792173.0
North West,E12000002,1999,total_population,6773115.0
North West,E12000002,2000,total_population,6774223.0
North West,E12000002,2001,total_population,6772985.0
North West,E12000002,2002,total_population,6784880.0
North West,E12000002,2003,total_population,6814660.0
North West,E12000002,2004,total_population,6840369.0
North West,E12000002,2005,total_population,6870021.0
North West,E12000002,2006,total_population,6901585.0
North West,E12000002,2007,total_population,6929277.0
North West,E12000002,2008,total_population,6958547.0
North West,E12000002,2009,total_population,6986156.0
North West,E12000002,2010,total_population,7019921.0
North West,E12000002,2011,total_population,7055961.0
North West,E12000002,2012,total_population,7079344.0
North West,E12000002,2013,total_population,7105146.0
North West,E12000002,2014,total_population,7141096.0
North West,E12000002,2015,total_population,7182651.0
North West,E12000002,2016,total_population,7234141.0
North West,E12000002,2017,total_population,7275765.0
North West,E12000002,2018,total_population,7316116.0
North West,E12000002,2019,total_population,7363267.0
North West,E12000002,2020,total_population,7380605.0
North West,E12000002,2021,total_population,7424092.0
North West,E12000002,2022,total_population,7526285.0
North West,E12000002,2023,total_population,7634293.0
North West,E12000002,2024,total_population,7737414.0
North West,E12000002,1992,working_age_population,4315286.0
North West,E12000002,1993,working_age_population,4308153.0
North West,E12000002,1994,working_age_population,4294988.0
North West,E12000002,1995,working_age_population,4287680.0
North West,E12000002,1996,working_age_population,4281167.0
North West,E12000002,1997,working_age_population,4274003.0
North West,E12000002,1998,working_age_population,4280966.0
North West,E12000002,1999,working_age_population,4274839.0
North West,E12000002,2000,working_age_population,4286286.0
North West,E12000002,2001,working_age_population,4297158.0
North West,E12000002,2002,working_age_population,4320679.0
North West,E12000002,2003,working_age_population,4355515.0
North West,E12000002,2004,working_age_population,4388411.0
North West,E12000002,2005,working_age_population,4421943.0
North West,E12000002,2006,working_age_population,4459156.0
North West,E12000002,2007,working_age_population,4489262.0
North West,E12000002,2008,working_age_population,4510595.0
North West,E12000002,2009,working_age_population,4522996.0
North West,E12000002,2010,working_age_population,4538567.0
North West,E12000002,2011,working_age_population,4552765.0
North West,E12000002,2012,working_age_population,4527876.0
North West,E12000002,2013,working_age_population,4519042.0
North West,E12000002,2014,working_age_population,4518731.0
North West,E12000002,2015,working_age_population,4530458.0
North West,E12000002,2016,working_age_population,4548474.0
North West,E12000002,2017,working_age_population,4561830.0
North West,E12000002,2018,working_age_population,4576685.0
North West,E12000002,2019,working_age_population,4597018.0
North West,E12000002,2020,working_age_population,4607552.0
North West,E12000002,2021,working_age_population,4639384.0
North West,E12000002,2022,working_age_population,4703314.0
North West,E12000002,2023,working_age_population,4774559.0
North West,E12000002,2024,working_age_population,4840994.0
Yorkshire & Humber,E12000003,1981,total_population,4918532.0
Yorkshire & Humber,E12000003,1982,total_population,4906968.0
Yorkshire & Humber,E12000003,1983,total_population,4902498.0
Yorkshire & Humber,E12000003,1984,total_population,4894854.0
Yorkshire & Humber,E12000003,1985,total_population,4889690.0
Yorkshire & Humber,E12000003,1986,total_population,4883634.0
Yorkshire & Humber,E12000003,1987,total_population,4879150.0
Yorkshire & Humber,E12000003,1988,total_population,4888711.0
Yorkshire & Humber,E12000003,1989,total_population,4912364.0
Yorkshire & Humber,E12000003,1990,total_population,4921028.0
Yorkshire & Humber,E12000003,1991,total_population,4936100.0
Yorkshire & Humber,E12000003,1992,total_population,4949033.0
Yorkshire & Humber,E12000003,1993,total_population,4954142.0
Yorkshire & Humber,E12000003,1994,total_population,4960087.0
Yorkshire & Humber,E12000003,1995,total_population,4960575.0
Yorkshire & Humber,E12000003,1996,total_population,4961254.0
Yorkshire & Humber,E12000003,1997,total_population,4957561.0
Yorkshire & Humber,E12000003,1998,total_population,4957703.0
Yorkshire & Humber,E12000003,1999,total_population,4956325.0
Yorkshire & Humber,E12000003,2000,total_population,4958609.0
Yorkshire & Humber,E12000003,2001,total_population,4976643.0
Yorkshire & Humber,E12000003,2002,total_population,5000111.0
Yorkshire & Humber,E12000003,2003,total_population,5026314.0
Yorkshire & Humber,E12000003,2004,total_population,5063199.0
Yorkshire & Humber,E12000003,2005,total_population,5108408.0
Yorkshire & Humber,E12000003,2006,total_population,5134016.0
Yorkshire & Humber,E12000003,2007,total_population,5164138.0
Yorkshire & Humber,E12000003,2008,total_population,5198675.0
Yorkshire & Humber,E12000003,2009,total_population,5223344.0
Yorkshire & Humber,E12000003,2010,total_population,5254788.0
Yorkshire & Humber,E12000003,2011,total_population,5288212.0
Yorkshire & Humber,E12000003,2012,total_population,5313486.0
Yorkshire & Humber,E12000003,2013,total_population,5335092.0
Yorkshire & Humber,E12000003,2014,total_population,5356428.0
Yorkshire & Humber,E12000003,2015,total_population,5377362.0
Yorkshire & Humber,E12000003,2016,total_population,5408058.0
Yorkshire & Humber,E12000003,2017,total_population,5427784.0
Yorkshire & Humber,E12000003,2018,total_population,5443883.0
Yorkshire & Humber,E12000003,2019,total_population,5464651.0
Yorkshire & Humber,E12000003,2020,total_population,5468487.0
Yorkshire & Humber,E12000003,2021,total_population,5482455.0
Yorkshire & Humber,E12000003,2022,total_population,5541088.0
Yorkshire & Humber,E12000003,2023,total_population,5610523.0
Yorkshire & Humber,E12000003,2024,total_population,5672962.0
Yorkshire & Humber,E12000003,1992,working_age_population,3141180.0
Yorkshire & Humber,E12000003,1993,working_age_population,3132632.0
Yorkshire & Humber,E12000003,1994,working_age_population,3129366.0
Yorkshire & Humber,E12000003,1995,working_age_population,3126918.0
Yorkshire & Humber,E12000003,1996,working_age_population,3128518.0
Yorkshire & Humber,E12000003,1997,working_age_population,3128025.0
Yorkshire & Humber,E12000003,1998,working_age_population,3130462.0
Yorkshire & Humber,E12000003,1999,working_age_population,3133266.0
Yorkshire & Humber,E12000003,2000,working_age_population,3140324.0
Yorkshire & Humber,E12000003,2001,working_age_population,3161573.0
Yorkshire & Humber,E12000003,2002,working_age_population,3188270.0
Yorkshire & Humber,E12000003,2003,working_age_population,3216088.0
Yorkshire & Humber,E12000003,2004,working_age_population,3253535.0
Yorkshire & Humber,E12000003,2005,working_age_population,3296402.0
Yorkshire & Humber,E12000003,2006,working_age_population,3322437.0
Yorkshire & Humber,E12000003,2007,working_age_population,3349351.0
Yorkshire & Humber,E12000003,2008,working_age_population,3373479.0
Yorkshire & Humber,E12000003,2009,working_age_population,3382687.0
Yorkshire & Humber,E12000003,2010,working_age_population,3396140.0
Yorkshire & Humber,E12000003,2011,working_age_population,3409275.0
Yorkshire & Humber,E12000003,2012,working_age_population,3399972.0
Yorkshire & Humber,E12000003,2013,working_age_population,3395334.0
Yorkshire & Humber,E12000003,2014,working_age_population,3391621.0
Yorkshire & Humber,E12000003,2015,working_age_population,3393464.0
Yorkshire & Humber,E12000003,2016,working_age_population,3402093.0
Yorkshire & Humber,E12000003,2017,working_age_population,3403569.0
Yorkshire & Humber,E12000003,2018,working_age_population,3404385.0
Yorkshire & Humber,E12000003,2019,working_age_population,3409234.0
Yorkshire & Humber,E12000003,2020,working_age_population,3409982.0
Yorkshire & Humber,E12000003,2021,working_age_population,3416409.0
Yorkshire & Humber,E12000003,2022,working_age_population,3451940.0
Yorkshire & Humber,E12000003,2023,working_age_population,3495366.0
Yorkshire & Humber,E12000003,2024,working_age_population,3533340.0
East Midlands,E12000004,1981,total_population,3852683.0
East Midlands,E12000004,1982,total_population,3849393.0
East Midlands,E12000004,1983,total_population,3854682.0
East Midlands,E12000004,1984,total_population,3866784.0
East Midlands,E12000004,1985,total_population,3887502.0
East Midlands,E12000004,1986,total_population,3907811.0
East Midlands,E12000004,1987,total_population,3925293.0
East Midlands,E12000004,1988,total_population,3950708.0
