region,region_code,metric,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
North East,E12000001,total_population,2636194.0,2624248.0,2616854.0,2609362.0,2601689.0,2594213.0,2589779.0,2582285.0,2582114.0,2584320.0,2586986.0,2591333.0,2593948.0,2588661.0,2582715.0,2576450.0,2568066.0,2560883.0,2550314.0,2543421.0,2540090.0,2540600.0,2540461.0,2540502.0,2547127.0,2552568.0,2562045.0,2569312.0,2575441.0,2586868.0,2596441.0,2598972.0,2603299.0,2610482.0,2611804.0,2618253.0,2623787.0,2629393.0,2636676.0,2637426.0,2647493.0,2684586.0,2724805.0,2760678.0
North East,E12000001,working_age_population,,,,,,,,,,,,1647791.0,1644872.0,1637341.0,1633738.0,1631015.0,1626732.0,1624352.0,1619930.0,1618072.0,1620014.0,1626436.0,1629487.0,1633579.0,1643239.0,1651943.0,1663504.0,1670736.0,1674451.0,1679691.0,1681674.0,1668762.0,1662338.0,1657915.0,1651471.0,1647815.0,1643042.0,1638969.0,1635738.0,1632813.0,1635449.0,1658911.0,1684158.0,1706169.0
North West,E12000002,total_population,6940324.0,6907328.0,6880943.0,6860934.0,6847898.0,6832680.0,6820667.0,6811642.0,6824728.0,6829393.0,6843039.0,6841029.0,6846740.0,6838904.0,6827940.0,6809646.0,6794378.0,6792173.0,6773115.0,6774223.0,6772985.0,6784880.0,6814660.0,6840369.0,6870021.0,6901585.0,6929277.0,6958547.0,6986156.0,7019921.0,7055961.0,7079344.0,7105146.0,7141096.0,7182651.0,7234141.0,7275765.0,7316116.0,7363267.0,7380605.0,7424092.0,7526285.0,7634293.0,7737414.0
North West,E12000002,working_age_population,,,,,,,,,,,,4315286.0,4308153.0,4294988.0,4287680.0,4281167.0,4274003.0,4280966.0,4274839.0,4286286.0,4297158.0,4320679.0,4355515.0,4388411.0,4421943.0,4459156.0,4489262.0,4510595.0,4522996.0,4538567.0,4552765.0,4527876.0,4519042.0,4518731.0,4530458.0,4548474.0,4561830.0,4576685.0,4597018.0,4607552.0,4639384.0,4703314.0,4774559.0,4840994.0
Yorkshire & Humber,E12000003,total_population,4918532.0,4906968.0,4902498.0,4894854.0,4889690.0,4883634.0,4879150.0,4888711.0,4912364.0,4921028.0,4936100.0,4949033.0,4954142.0,4960087.0,4960575.0,4961254.0,4957561.0,4957703.0,4956325.0,4958609.0,4976643.0,5000111.0,5026314.0,5063199.0,5108408.0,5134016.0,5164138.0,5198675.0,5223344.0,5254788.0,5288212.0,5313486.0,5335092.0,5356428.0,5377362.0,5408058.0,5427784.0,5443883.0,5464651.0,5468487.0,5482455.0,5541088.0,5610523.0,5672962.0
Yorkshire & Humber,E12000003,working_age_population,,,,,,,,,,,,3141180.0,3132632.0,3129366.0,3126918.0,3128518.0,3128025.0,3130462.0,3133266.0,3140324.0,3161573.0,3188270.0,3216088.0,3253535.0,3296402.0,3322437.0,3349351.0,3373479.0,3382687.0,3396140.0,3409275.0,3399972.0,3395334.0,3391621.0,3393464.0,3402093.0,3403569.0,3404385.0,3409234.0,3409982.0,3416409.0,3451940.0,3495366.0,3533340.0
East Midlands,E12000004,total_population,3852683.0,3849393.0,3854682.0,3866784.0,3887502.0,3907811.0,3925293.0,3950708.0,3976079.0,3992976.0,4011411.0,4036691.0,4055893.0,4071720.0,4091663.0,4108070.0,4120320.0,4132645.0,4152443.0,4168076.0,4189622.0,4221753.0,4255080.0,4291476.0,4329112.0,4366676.0,4404774.0,4441125.0,4471653.0,4507071.0,4537448.0,4570702.0,4604568.0,4642629.0,4681640.0,4731615.0,4778346.0,4815151.0,4844001.0,4855469.0,4881559.0,4936277.0,5004242.0,5063164.0
East Midlands,E12000004,working_age_population,,,,,,,,,,,,2578116.0,2583477.0,2588508.0,2599638.0,2612702.0,2622069.0,2631575.0,2647199.0,2660124.0,2678372.0,2706046.0,2734221.0,2766396.0,2799469.0,2833494.0,2862836.0,2882436.0,2893509.0,2908899.0,2919158.0,2916044.0,2920926.0,2931881.0,2948132.0,2972061.0,2994325.0,3010552.0,3021159.0,3027024.0,3042790.0,3071450.0,3112252.0,3146117.0
West Midlands,E12000005,total_population,5186641.0,5178948.0,5174671.0,5174068.0,5181531.0,5179950.0,5194570.0,5204005.0,5213605.0,5218405.0,5229699.0,5237375.0,5245930.0,5249295.0,5256911.0,5263046.0,5262278.0,5271352.0,5271959.0,5269626.0,5280727.0,5301243.0,5325475.0,5346376.0,5380687.0,5415521.0,5451924.0,5496240.0,5528007.0,5565866.0,5608667.0,5640325.0,5676945.0,5716882.0,5756287.0,5812248.0,5855052.0,5889328.0,5920977.0,5931924.0,5956226.0,6020253.0,6105956.0,6187204.0
West Midlands,E12000005,working_age_population,,,,,,,,,,,,3332299.0,3324769.0,3316601.0,3317522.0,3321515.0,3318890.0,3325186.0,3328633.0,3330402.0,3344420.0,3362972.0,3384666.0,3402891.0,3431491.0,3463300.0,3491341.0,3516742.0,3525232.0,3541207.0,3561093.0,3555590.0,3562521.0,3572235.0,3587281.0,3616049.0,3633918.0,3647134.0,3659367.0,3666148.0,3684959.0,3720625.0,3773066.0,3824226.0
East,E12000006,total_population,4854992.0,4872720.0,4901572.0,4926795.0,4963772.0,4999268.0,5030759.0,5059695.0,5070133.0,5087962.0,5121052.0,5142589.0,5154369.0,5177915.0,5205700.0,5232760.0,5266915.0,5302028.0,5338722.0,5374972.0,5400463.0,5432688.0,5474133.0,5508564.0,5562653.0,5606294.0,5653534.0,5708350.0,5751443.0,5807402.0,5862418.0,5915033.0,5970484.0,6039521.0,6098262.0,6161075.0,6202843.0,6237376.0,6274179.0,6297779.0,6349646.0,6402514.0,6493348.0,6576306.0
East,E12000006,working_age_population,,,,,,,,,,,,3284204.0,3281436.0,3286101.0,3299920.0,3318190.0,3341711.0,3364857.0,3384053.0,3409463.0,3428690.0,3450579.0,3479466.0,3504116.0,3548702.0,3586629.0,3620187.0,3649304.0,3665808.0,3694277.0,3719075.0,3719105.0,3734063.0,3761865.0,3787652.0,3818435.0,3834843.0,3848116.0,3861902.0,3876488.0,3912332.0,3929454.0,3981458.0,4028657.0
London,E12000007,total_population,6805000.0,6765084.0,6752989.0,6754717.0,6766997.0,6774202.0,6765557.0,6729336.0,6751562.0,6798786.0,6829314.0,6829408.0,6844491.0,6873527.0,6913123.0,6974407.0,7014838.0,7065497.0,7153912.0,7236712.0,7322403.0,7376671.0,7394817.0,7432730.0,7519009.0,7597825.0,7693473.0,7812161.0,7942594.0,8061495.0,8204407.0,8320767.0,8438987.0,8547192.0,8659545.0,8743651.0,8776229.0,8833335.0,8889743.0,8867008.0,8804769.0,8871368.0,8999705.0,9089736.0
London,E12000007,working_age_population,,,,,,,,,,,,4514598.0,4513090.0,4527439.0,4556914.0,4606533.0,4642411.0,4685777.0,4780580.0,4874543.0,4974573.0,5025296.0,5038546.0,5076217.0,5150699.0,5221068.0,5298039.0,5387169.0,5478584.0,5558486.0,5664416.0,5726145.0,5800997.0,5873113.0,5955594.0,6010793.0,6024971.0,6066064.0,6113644.0,6099549.0,6062210.0,6104266.0,6208153.0,6275855.0
