region,region_code,year,metric,value
North East (England),E12000001,1998,chained_gva_mn_gbp,42708.0
North East (England),E12000001,1999,chained_gva_mn_gbp,43452.0
North East (England),E12000001,2000,chained_gva_mn_gbp,44582.0
North East (England),E12000001,2001,chained_gva_mn_gbp,46419.0
North East (England),E12000001,2002,chained_gva_mn_gbp,48477.0
North East (England),E12000001,2003,chained_gva_mn_gbp,50255.0
North East (England),E12000001,2004,chained_gva_mn_gbp,53174.0
North East (England),E12000001,2005,chained_gva_mn_gbp,53912.0
North East (England),E12000001,2006,chained_gva_mn_gbp,55600.0
North East (England),E12000001,2007,chained_gva_mn_gbp,55381.0
North East (England),E12000001,2008,chained_gva_mn_gbp,54739.0
North East (England),E12000001,2009,chained_gva_mn_gbp,52833.0
North East (England),E12000001,2010,chained_gva_mn_gbp,53692.0
North East (England),E12000001,2011,chained_gva_mn_gbp,54363.0
North East (England),E12000001,2012,chained_gva_mn_gbp,55505.0
North East (England),E12000001,2013,chained_gva_mn_gbp,55223.0
North East (England),E12000001,2014,chained_gva_mn_gbp,56425.0
North East (England),E12000001,2015,chained_gva_mn_gbp,58299.0
North East (England),E12000001,2016,chained_gva_mn_gbp,58090.0
North East (England),E12000001,2017,chained_gva_mn_gbp,59263.0
North East (England),E12000001,2018,chained_gva_mn_gbp,59575.0
North East (England),E12000001,2019,chained_gva_mn_gbp,61102.0
North East (England),E12000001,2020,chained_gva_mn_gbp,54146.0
North East (England),E12000001,2021,chained_gva_mn_gbp,59981.0
North East (England),E12000001,2022,chained_gva_mn_gbp,62364.0
North East (England),E12000001,2023,chained_gva_mn_gbp,63502.0
North East (England),E12000001,1998,nominal_gva_mn_gbp,28817.0
North East (England),E12000001,1999,nominal_gva_mn_gbp,29252.0
North East (England),E12000001,2000,nominal_gva_mn_gbp,30140.0
North East (England),E12000001,2001,nominal_gva_mn_gbp,31410.0
North East (England),E12000001,2002,nominal_gva_mn_gbp,33536.0
North East (England),E12000001,2003,nominal_gva_mn_gbp,35461.0
North East (England),E12000001,2004,nominal_gva_mn_gbp,38415.0
North East (England),E12000001,2005,nominal_gva_mn_gbp,40232.0
North East (England),E12000001,2006,nominal_gva_mn_gbp,42379.0
North East (England),E12000001,2007,nominal_gva_mn_gbp,43248.0
North East (England),E12000001,2008,nominal_gva_mn_gbp,44424.0
North East (England),E12000001,2009,nominal_gva_mn_gbp,44217.0
North East (England),E12000001,2010,nominal_gva_mn_gbp,44838.0
North East (England),E12000001,2011,nominal_gva_mn_gbp,45621.0
North East (England),E12000001,2012,nominal_gva_mn_gbp,46772.0
North East (England),E12000001,2013,nominal_gva_mn_gbp,47447.0
North East (England),E12000001,2014,nominal_gva_mn_gbp,48865.0
North East (England),E12000001,2015,nominal_gva_mn_gbp,50570.0
North East (England),E12000001,2016,nominal_gva_mn_gbp,51319.0
North East (England),E12000001,2017,nominal_gva_mn_gbp,52719.0
North East (England),E12000001,2018,nominal_gva_mn_gbp,53545.0
North East (England),E12000001,2019,nominal_gva_mn_gbp,56060.0
North East (England),E12000001,2020,nominal_gva_mn_gbp,52695.0
North East (England),E12000001,2021,nominal_gva_mn_gbp,57240.0
North East (England),E12000001,2022,nominal_gva_mn_gbp,62364.0
North East (England),E12000001,2023,nominal_gva_mn_gbp,68891.0
North West (England),E12000002,1998,chained_gva_mn_gbp,138875.0
North West (England),E12000002,1999,chained_gva_mn_gbp,144432.0
North West (England),E12000002,2000,chained_gva_mn_gbp,147486.0
North West (England),E12000002,2001,chained_gva_mn_gbp,153660.0
North West (England),E12000002,2002,chained_gva_mn_gbp,157217.0
North West (England),E12000002,2003,chained_gva_mn_gbp,162190.0
North West (England),E12000002,2004,chained_gva_mn_gbp,167715.0
North West (England),E12000002,2005,chained_gva_mn_gbp,172129.0
North West (England),E12000002,2006,chained_gva_mn_gbp,178202.0
North West (England),E12000002,2007,chained_gva_mn_gbp,181147.0
North West (England),E12000002,2008,chained_gva_mn_gbp,179128.0
North West (England),E12000002,2009,chained_gva_mn_gbp,172853.0
North West (England),E12000002,2010,chained_gva_mn_gbp,176810.0
North West (England),E12000002,2011,chained_gva_mn_gbp,176037.0
North West (England),E12000002,2012,chained_gva_mn_gbp,179724.0
North West (England),E12000002,2013,chained_gva_mn_gbp,182560.0
North West (England),E12000002,2014,chained_gva_mn_gbp,187866.0
North West (England),E12000002,2015,chained_gva_mn_gbp,193054.0
North West (England),E12000002,2016,chained_gva_mn_gbp,195924.0
North West (England),E12000002,2017,chained_gva_mn_gbp,202563.0
North West (England),E12000002,2018,chained_gva_mn_gbp,204476.0
North West (England),E12000002,2019,chained_gva_mn_gbp,209462.0
North West (England),E12000002,2020,chained_gva_mn_gbp,192257.0
North West (England),E12000002,2021,chained_gva_mn_gbp,209825.0
North West (England),E12000002,2022,chained_gva_mn_gbp,221845.0
North West (England),E12000002,2023,chained_gva_mn_gbp,223858.0
North West (England),E12000002,1998,nominal_gva_mn_gbp,88083.0
North West (England),E12000002,1999,nominal_gva_mn_gbp,92290.0
North West (England),E12000002,2000,nominal_gva_mn_gbp,94655.0
North West (England),E12000002,2001,nominal_gva_mn_gbp,100553.0
North West (England),E12000002,2002,nominal_gva_mn_gbp,105245.0
North West (England),E12000002,2003,nominal_gva_mn_gbp,111059.0
North West (England),E12000002,2004,nominal_gva_mn_gbp,117278.0
North West (England),E12000002,2005,nominal_gva_mn_gbp,123348.0
North West (England),E12000002,2006,nominal_gva_mn_gbp,130397.0
North West (England),E12000002,2007,nominal_gva_mn_gbp,135269.0
North West (England),E12000002,2008,nominal_gva_mn_gbp,138451.0
North West (England),E12000002,2009,nominal_gva_mn_gbp,137614.0
North West (England),E12000002,2010,nominal_gva_mn_gbp,140494.0
North West (England),E12000002,2011,nominal_gva_mn_gbp,141439.0
North West (England),E12000002,2012,nominal_gva_mn_gbp,145795.0
North West (England),E12000002,2013,nominal_gva_mn_gbp,150838.0
North West (England),E12000002,2014,nominal_gva_mn_gbp,156789.0
North West (England),E12000002,2015,nominal_gva_mn_gbp,162866.0
North West (England),E12000002,2016,nominal_gva_mn_gbp,168631.0
North West (England),E12000002,2017,nominal_gva_mn_gbp,176803.0
North West (England),E12000002,2018,nominal_gva_mn_gbp,181321.0
North West (England),E12000002,2019,nominal_gva_mn_gbp,190043.0
