region,region_code,metric,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
North East (England),E12000001,chained_gva_mn_gbp,42708.0,43452.0,44582.0,46419.0,48477.0,50255.0,53174.0,53912.0,55600.0,55381.0,54739.0,52833.0,53692.0,54363.0,55505.0,55223.0,56425.0,58299.0,58090.0,59263.0,59575.0,61102.0,54146.0,59981.0,62364.0,63502.0
North East (England),E12000001,nominal_gva_mn_gbp,28817.0,29252.0,30140.0,31410.0,33536.0,35461.0,38415.0,40232.0,42379.0,43248.0,44424.0,44217.0,44838.0,45621.0,46772.0,47447.0,48865.0,50570.0,51319.0,52719.0,53545.0,56060.0,52695.0,57240.0,62364.0,68891.0
North West (England),E12000002,chained_gva_mn_gbp,138875.0,144432.0,147486.0,153660.0,157217.0,162190.0,167715.0,172129.0,178202.0,181147.0,179128.0,172853.0,176810.0,176037.0,179724.0,182560.0,187866.0,193054.0,195924.0,202563.0,204476.0,209462.0,192257.0,209825.0,221845.0,223858.0
North West (England),E12000002,nominal_gva_mn_gbp,88083.0,92290.0,94655.0,100553.0,105245.0,111059.0,117278.0,123348.0,130397.0,135269.0,138451.0,137614.0,140494.0,141439.0,145795.0,150838.0,156789.0,162866.0,168631.0,176803.0,181321.0,190043.0,185588.0,199341.0,221845.0,243386.0
Yorkshire and The Humber,E12000003,chained_gva_mn_gbp,100732.0,103663.0,106854.0,110910.0,114317.0,119074.0,122556.0,124621.0,127648.0,131635.0,128170.0,122327.0,122506.0,123910.0,125713.0,126800.0,129075.0,133148.0,134219.0,138061.0,140040.0,141692.0,128398.0,144897.0,150684.0,150896.0
Yorkshire and The Humber,E12000003,nominal_gva_mn_gbp,62629.0,64589.0,66857.0,70287.0,74249.0,79307.0,83787.0,88017.0,92396.0,97660.0,99000.0,97143.0,97826.0,99400.0,101772.0,104433.0,107643.0,112293.0,114445.0,120022.0,123795.0,128503.0,123567.0,137374.0,150684.0,163826.0
East Midlands (England),E12000004,chained_gva_mn_gbp,89683.0,92036.0,94714.0,97179.0,98322.0,101177.0,103927.0,106376.0,110419.0,111372.0,111507.0,105453.0,109042.0,110398.0,112294.0,114917.0,117171.0,118599.0,119971.0,121846.0,124434.0,125899.0,115406.0,125857.0,128254.0,128538.0
East Midlands (England),E12000004,nominal_gva_mn_gbp,54263.0,55733.0,57797.0,60160.0,62582.0,65730.0,68954.0,72582.0,76609.0,80126.0,83432.0,81084.0,83954.0,85178.0,88426.0,92063.0,95446.0,98321.0,100929.0,104692.0,109384.0,113395.0,110619.0,118965.0,128254.0,139722.0
West Midlands (England),E12000005,chained_gva_mn_gbp,113327.0,116820.0,120004.0,123387.0,124363.0,127325.0,129917.0,131591.0,133798.0,133842.0,133573.0,125541.0,129821.0,133767.0,135796.0,139004.0,143952.0,147770.0,151398.0,156659.0,158836.0,157849.0,141339.0,155226.0,158960.0,160747.0
West Midlands (England),E12000005,nominal_gva_mn_gbp,70546.0,72689.0,74878.0,77766.0,80668.0,84705.0,88717.0,92660.0,95876.0,98602.0,101917.0,98608.0,102000.0,105200.0,108734.0,113782.0,119185.0,123674.0,129396.0,136041.0,140713.0,143711.0,135792.0,146778.0,158960.0,174608.0
East of England,E12000006,chained_gva_mn_gbp,119888.0,124102.0,131125.0,135234.0,136638.0,141989.0,143366.0,148455.0,152252.0,154759.0,155785.0,148304.0,151009.0,151373.0,153741.0,157639.0,164496.0,167327.0,171040.0,180176.0,180461.0,183978.0,165281.0,181286.0,187608.0,189294.0
East of England,E12000006,nominal_gva_mn_gbp,77552.0,80595.0,84942.0,89423.0,92845.0,98776.0,101960.0,107535.0,112826.0,117070.0,121766.0,118559.0,119996.0,120744.0,124608.0,130010.0,137035.0,141969.0,148110.0,158305.0,161802.0,168571.0,159982.0,173622.0,187608.0,205310.0
London,E12000007,chained_gva_mn_gbp,291424.0,301911.0,324406.0,328952.0,334055.0,347791.0,357516.0,378745.0,392788.0,421240.0,422128.0,398270.0,411224.0,423693.0,437373.0,450399.0,469765.0,476078.0,495864.0,505319.0,515106.0,521458.0,455122.0,490253.0,529771.0,531531.0
London,E12000007,nominal_gva_mn_gbp,180822.0,189934.0,204138.0,211431.0,219404.0,232216.0,243884.0,263752.0,279614.0,303485.0,311931.0,307243.0,319155.0,331055.0,344979.0,362515.0,386936.0,400610.0,425828.0,441034.0,457797.0,472257.0,435749.0,468464.0,529771.0,577141.0
South East (England),E12000008,chained_gva_mn_gbp,202977.0,211394.0,222556.0,226412.0,230958.0,236583.0,238867.0,246620.0,251963.0,258454.0,263852.0,253869.0,265012.0,270609.0,276794.0,281399.0,289698.0,297771.0,298435.0,305231.0,310794.0,321149.0,301562.0,318069.0,326144.0,326057.0
South East (England),E12000008,nominal_gva_mn_gbp,135775.0,142235.0,149118.0,154902.0,161906.0,169912.0,175491.0,184627.0,192653.0,201171.0,212321.0,208306.0,213782.0,219779.0,227513.0,235678.0,245399.0,255027.0,261020.0,270866.0,280390.0,296235.0,291483.0,303748.0,326144.0,354501.0
South West (England),E12000009,chained_gva_mn_gbp,113879.0,117991.0,122300.0,126845.0,128564.0,131337.0,134230.0,136608.0,138899.0,141274.0,142557.0,136591.0,141600.0,142295.0,143799.0,144861.0,150594.0,151429.0,153973.0,159266.0,160105.0,163301.0,148165.0,165780.0,170624.0,170832.0
