region,region_code,year,metric,value
North East,E12000001,1997,gdhi_per_head_gbp,9107
North East,E12000001,1998,gdhi_per_head_gbp,9150
North East,E12000001,1999,gdhi_per_head_gbp,9494
North East,E12000001,2000,gdhi_per_head_gbp,9987
North East,E12000001,2001,gdhi_per_head_gbp,10448
North East,E12000001,2002,gdhi_per_head_gbp,10631
North East,E12000001,2003,gdhi_per_head_gbp,10962
North East,E12000001,2004,gdhi_per_head_gbp,11470
North East,E12000001,2005,gdhi_per_head_gbp,11697
North East,E12000001,2006,gdhi_per_head_gbp,12121
North East,E12000001,2007,gdhi_per_head_gbp,12434
North East,E12000001,2008,gdhi_per_head_gbp,12721
North East,E12000001,2009,gdhi_per_head_gbp,13291
North East,E12000001,2010,gdhi_per_head_gbp,13509
North East,E12000001,2011,gdhi_per_head_gbp,13654
North East,E12000001,2012,gdhi_per_head_gbp,14227
North East,E12000001,2013,gdhi_per_head_gbp,14564
North East,E12000001,2014,gdhi_per_head_gbp,14959
North East,E12000001,2015,gdhi_per_head_gbp,15516
North East,E12000001,2016,gdhi_per_head_gbp,15718
North East,E12000001,2017,gdhi_per_head_gbp,16038
North East,E12000001,2018,gdhi_per_head_gbp,16474
North East,E12000001,2019,gdhi_per_head_gbp,16991
North East,E12000001,2020,gdhi_per_head_gbp,17239
North East,E12000001,2021,gdhi_per_head_gbp,17592
North East,E12000001,2022,gdhi_per_head_gbp,18388
North East,E12000001,1997,gdhi_total_mn_gbp,23387
North East,E12000001,1998,gdhi_total_mn_gbp,23431
North East,E12000001,1999,gdhi_total_mn_gbp,24212
North East,E12000001,2000,gdhi_total_mn_gbp,25401
North East,E12000001,2001,gdhi_total_mn_gbp,26538
North East,E12000001,2002,gdhi_total_mn_gbp,27009
North East,E12000001,2003,gdhi_total_mn_gbp,27848
North East,E12000001,2004,gdhi_total_mn_gbp,29140
North East,E12000001,2005,gdhi_total_mn_gbp,29795
North East,E12000001,2006,gdhi_total_mn_gbp,30941
North East,E12000001,2007,gdhi_total_mn_gbp,31856
North East,E12000001,2008,gdhi_total_mn_gbp,32683
North East,E12000001,2009,gdhi_total_mn_gbp,34230
North East,E12000001,2010,gdhi_total_mn_gbp,34945
North East,E12000001,2011,gdhi_total_mn_gbp,35451
North East,E12000001,2012,gdhi_total_mn_gbp,36975
North East,E12000001,2013,gdhi_total_mn_gbp,37914
North East,E12000001,2014,gdhi_total_mn_gbp,39050
North East,E12000001,2015,gdhi_total_mn_gbp,40523
North East,E12000001,2016,gdhi_total_mn_gbp,41153
North East,E12000001,2017,gdhi_total_mn_gbp,42080
North East,E12000001,2018,gdhi_total_mn_gbp,43317
North East,E12000001,2019,gdhi_total_mn_gbp,44800
North East,E12000001,2020,gdhi_total_mn_gbp,45467
North East,E12000001,2021,gdhi_total_mn_gbp,46574
North East,E12000001,2022,gdhi_total_mn_gbp,49319
North West,E12000002,1997,gdhi_per_head_gbp,9608
North West,E12000002,1998,gdhi_per_head_gbp,9752
North West,E12000002,1999,gdhi_per_head_gbp,10261
North West,E12000002,2000,gdhi_per_head_gbp,10710
North West,E12000002,2001,gdhi_per_head_gbp,11091
North West,E12000002,2002,gdhi_per_head_gbp,11383
North West,E12000002,2003,gdhi_per_head_gbp,11768
North West,E12000002,2004,gdhi_per_head_gbp,12215
North West,E12000002,2005,gdhi_per_head_gbp,12598
North West,E12000002,2006,gdhi_per_head_gbp,13014
North West,E12000002,2007,gdhi_per_head_gbp,13531
North West,E12000002,2008,gdhi_per_head_gbp,13756
North West,E12000002,2009,gdhi_per_head_gbp,14260
North West,E12000002,2010,gdhi_per_head_gbp,14378
North West,E12000002,2011,gdhi_per_head_gbp,14506
North West,E12000002,2012,gdhi_per_head_gbp,14972
North West,E12000002,2013,gdhi_per_head_gbp,15427
North West,E12000002,2014,gdhi_per_head_gbp,15828
North West,E12000002,2015,gdhi_per_head_gbp,16551
North West,E12000002,2016,gdhi_per_head_gbp,16664
North West,E12000002,2017,gdhi_per_head_gbp,17108
North West,E12000002,2018,gdhi_per_head_gbp,17629
North West,E12000002,2019,gdhi_per_head_gbp,18229
North West,E12000002,2020,gdhi_per_head_gbp,18372
North West,E12000002,2021,gdhi_per_head_gbp,18805
North West,E12000002,2022,gdhi_per_head_gbp,19752
North West,E12000002,1997,gdhi_total_mn_gbp,65278
North West,E12000002,1998,gdhi_total_mn_gbp,66235
North West,E12000002,1999,gdhi_total_mn_gbp,69497
North West,E12000002,2000,gdhi_total_mn_gbp,72551
North West,E12000002,2001,gdhi_total_mn_gbp,75120
North West,E12000002,2002,gdhi_total_mn_gbp,77236
North West,E12000002,2003,gdhi_total_mn_gbp,80195
North West,E12000002,2004,gdhi_total_mn_gbp,83555
North West,E12000002,2005,gdhi_total_mn_gbp,86551
North West,E12000002,2006,gdhi_total_mn_gbp,89819
North West,E12000002,2007,gdhi_total_mn_gbp,93757
North West,E12000002,2008,gdhi_total_mn_gbp,95724
