region,region_code,metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
North East,E12000001,gdhi_per_head_gbp,9107,9150,9494,9987,10448,10631,10962,11470,11697,12121,12434,12721,13291,13509,13654,14227,14564,14959,15516,15718,16038,16474,16991,17239,17592,18388
North East,E12000001,gdhi_total_mn_gbp,23387,23431,24212,25401,26538,27009,27848,29140,29795,30941,31856,32683,34230,34945,35451,36975,37914,39050,40523,41153,42080,43317,44800,45467,46574,49319
North West,E12000002,gdhi_per_head_gbp,9608,9752,10261,10710,11091,11383,11768,12215,12598,13014,13531,13756,14260,14378,14506,14972,15427,15828,16551,16664,17108,17629,18229,18372,18805,19752
North West,E12000002,gdhi_total_mn_gbp,65278,66235,69497,72551,75120,77236,80195,83555,86551,89819,93757,95724,99623,100933,102352,105992,109608,113028,118881,120551,124473,128977,134222,135598,139613,148447
Yorkshire & Humber,E12000003,gdhi_per_head_gbp,9482,9729,10199,10629,10983,11264,11618,12004,12302,12729,13247,13417,13784,13841,14067,14477,14883,15300,16021,16106,16582,17189,17693,17876,18347,19249
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,47006,48233,50550,52703,54660,56320,58397,60779,62844,65350,68412,69752,72000,72733,74388,76921,79402,81955,86151,87103,90003,93573,96688,97757,100586,106606
East Midlands,E12000004,gdhi_per_head_gbp,9672,9849,10285,10672,11117,11384,11856,12309,12643,13052,13803,13968,14199,14221,14499,14981,15434,15913,16680,16703,17153,17635,18208,18444,18942,19879
East Midlands,E12000004,gdhi_total_mn_gbp,39850,40703,42710,44483,46577,48059,50446,52822,54733,56995,60800,62035,63492,64096,65789,68474,71066,73877,78090,79032,81964,84915,88199,89552,92464,98101
West Midlands,E12000005,gdhi_per_head_gbp,9681,9974,10351,10808,11228,11486,11780,12190,12391,12852,13201,13548,13873,14012,14188,14568,15057,15606,16391,16671,16915,17439,17910,18027,18507,19480
West Midlands,E12000005,gdhi_total_mn_gbp,50945,52576,54568,56955,59293,60892,62735,65175,66673,69601,71970,74461,76687,77988,79575,82167,85478,89217,94351,96898,99039,102703,106044,106937,110231,117212
East,E12000006,gdhi_per_head_gbp,11164,11340,11819,12441,13008,13333,13598,14026,14532,14977,15609,16119,16536,16657,16778,17370,17984,18537,19582,19882,20439,21185,21787,21613,22377,23661
East,E12000006,gdhi_total_mn_gbp,58801,60124,63096,66870,70247,72434,74438,77263,80835,83967,88245,92015,95104,96736,98360,102743,107375,111953,119419,122496,126779,132141,136696,136115,142087,151461
London,E12000007,gdhi_per_head_gbp,12898,13329,14169,15207,15765,15982,16664,17569,18587,19521,20924,21540,21431,21575,21391,22698,23906,24890,26652,27099,27599,29104,29719,29245,30662,32330
London,E12000007,gdhi_total_mn_gbp,90477,94173,101362,110047,115438,117894,123224,130588,139759,148319,160976,168277,170218,173927,175499,188863,201744,212736,230795,236948,242212,257085,264193,259315,269968,286734
South East,E12000008,gdhi_per_head_gbp,12683,12905,13339,14039,14504,14840,15047,15627,16185,16918,17730,18086,18443,18484,18661,19310,20083,20575,21790,22082,22624,23405,24148,23816,24606,26058
South East,E12000008,gdhi_total_mn_gbp,99604,101808,106113,112177,116375,119391,121701,127094,132765,139927,148072,152399,156600,158556,161471,168611,176915,182990,195449,199906,205990,214157,222009,219706,228729,244613
South West,E12000009,gdhi_per_head_gbp,10914,11127,11525,11959,12423,12597,12930,13396,13901,14614,15134,15612,15699,16065,16312,16685,17306,17888,18686,18841,19265,19996,20725,20627,21304,22612
South West,E12000009,gdhi_total_mn_gbp,52685,53962,56252,58802,61409,62686,64734,67495,70703,74819,78253,81260,82058,84524,86466,89039,93014,96992,102242,104133,107397,112171,116946,116792,121705,130402
Northern Ireland,N92000002,gdhi_per_head_gbp,8567,8590,8919,9383,9641,10173,10643,11241,11814,12403,12659,12869,13041,13226,13519,13749,14305,14760,15248,15480,15965,16347,16871,16992,17635,18685
Northern Ireland,N92000002,gdhi_total_mn_gbp,14318,14413,14975,15791,16281,17269,18145,19267,20412,21619,22301,22896,23387,23870,24528,25086,26203,27205,28284,28886,29937,30834,32030,32293,33587,35698
Scotland,S92000003,gdhi_per_head_gbp,9581,9792,10156,10751,11286,11689,12081,12664,13089,13704,14415,15021,15214,15417,15711,16198,16777,17192,17717,17859,18199,18692,19391,19339,19872,20854
Scotland,S92000003,gdhi_total_mn_gbp,48705,49714,51508,54432,57157,59216,61232,64389,66887,70345,74527,78150,79598,81128,83264,85988,89208,91673,94815,95989,98092,100830,104990,104686,107674,113605
Wales,W92000004,gdhi_per_head_gbp,9264,9297,9721,10277,10702,10993,11404,11868,12162,12545,12912,13440,13456,13660,13883,14300,14616,15092,15591,15717,16237,16860,17300,17668,18015,18652
Wales,W92000004,gdhi_total_mn_gbp,26817,26957,28198,29875,31146,32132,33503,35098,36114,37456,38819,40667,40892,41662,42535,43914,44886,46391,47906,48364,50033,51993,53419,54849,55948,58432
