region,region_code,age_band,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Hartlepool,E06000001,Aged 0 - 15,19682.0,19391.0,19194.0,19021.0,18809.0,18753.0,18462.0,18260.0,18074.0,17929.0,17757.0,17789.0,17735.0,17660.0,17584.0,17661.0,17727.0,17773.0,17856.0,17685.0,17612.0,17802.0,18147.0,18544.0
Hartlepool,E06000001,Aged 16 - 59/64,53579.0,53626.0,53916.0,54097.0,54460.0,54793.0,55077.0,55532.0,55524.0,55502.0,55714.0,55501.0,55294.0,54948.0,54657.0,54537.0,54305.0,53944.0,53591.0,53407.0,53459.0,54289.0,55215.0,56437.0
Hartlepool,E06000001,Aged 16 - 64,56018.0,55999.0,56208.0,56352.0,56703.0,57108.0,57539.0,58136.0,58287.0,58384.0,58643.0,58382.0,58150.0,57677.0,57379.0,57297.0,57075.0,56760.0,56587.0,56435.0,56627.0,57617.0,58719.0,59988.0
Hartlepool,E06000001,Aged 18 - 24,7016.0,7046.0,7216.0,7336.0,7553.0,7753.0,7939.0,8143.0,8299.0,8321.0,8362.0,8334.0,8112.0,7977.0,7840.0,7542.0,7296.0,7181.0,7061.0,6946.0,7028.0,7205.0,7496.0,7572.0
Hartlepool,E06000001,Aged 65 and over,14452.0,14603.0,14732.0,14944.0,14945.0,14920.0,14968.0,14983.0,15169.0,15460.0,15688.0,16173.0,16580.0,17021.0,17162.0,17302.0,17504.0,17755.0,17958.0,18082.0,18336.0,18742.0,19076.0,19648.0
Hartlepool,E06000001,All ages,90152.0,89993.0,90134.0,90317.0,90457.0,90781.0,90969.0,91379.0,91530.0,91773.0,92088.0,92344.0,92465.0,92358.0,92125.0,92260.0,92306.0,92288.0,92401.0,92202.0,92575.0,94161.0,95942.0,98180.0
Middlesbrough,E06000002,Aged 0 - 15,31027.0,29992.0,29258.0,28716.0,28554.0,28211.0,28117.0,28062.0,27887.0,27996.0,28048.0,28009.0,28133.0,28283.0,28701.0,28999.0,29324.0,29499.0,29828.0,29924.0,29928.0,30715.0,31412.0,31762.0
Middlesbrough,E06000002,Aged 16 - 59/64,86262.0,86220.0,85863.0,85940.0,86195.0,86152.0,86103.0,85668.0,85141.0,85243.0,85688.0,85442.0,85121.0,84989.0,84818.0,85132.0,84871.0,84113.0,84273.0,84244.0,85140.0,89221.0,92178.0,93785.0
Middlesbrough,E06000002,Aged 16 - 64,89607.0,89496.0,89072.0,89075.0,89286.0,89304.0,89435.0,89186.0,88753.0,88985.0,89485.0,89153.0,88798.0,88743.0,88699.0,89109.0,88969.0,88358.0,88648.0,88656.0,89644.0,93753.0,96747.0,98418.0
Middlesbrough,E06000002,Aged 18 - 24,14408.0,15061.0,15647.0,16091.0,16228.0,16363.0,16423.0,16043.0,15636.0,15661.0,16113.0,16098.0,15818.0,15767.0,15594.0,15564.0,15305.0,14864.0,14425.0,13604.0,13267.0,13753.0,13788.0,14142.0
