region,region_code,age_band,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
North East,E12000001,Aged 0 - 15,,,,,,,,,,,,536243.0,540698.0,541931.0,537976.0,532402.0,527345.0,521854.0,515161.0,508740.0,500860.0,492704.0,486469.0,480388.0,475683.0,472295.0,468421.0,465297.0,462660.0,461725.0,462210.0,461948.0,461586.0,462086.0,462602.0,464651.0,467451.0,469706.0,470541.0,468944.0,467571.0,471624.0,476541.0,478725.0
North East,E12000001,Aged 16 - 59/64,,,,,,,,,,,,1575656.0,1573575.0,1567366.0,1564795.0,1563418.0,1559411.0,1556361.0,1551458.0,1549385.0,1552209.0,1559602.0,1563364.0,1567161.0,1575589.0,1581897.0,1587176.0,1589869.0,1591250.0,1594705.0,1595879.0,1586756.0,1582179.0,1578364.0,1572346.0,1567831.0,1561363.0,1555058.0,1549517.0,1544641.0,1545210.0,1566536.0,1589979.0,1610508.0
North East,E12000001,Aged 16 - 64,,,,,,,,,,,,1647791.0,1644872.0,1637341.0,1633738.0,1631015.0,1626732.0,1624352.0,1619930.0,1618072.0,1620014.0,1626436.0,1629487.0,1633579.0,1643239.0,1651943.0,1663504.0,1670736.0,1674451.0,1679691.0,1681674.0,1668762.0,1662338.0,1657915.0,1651471.0,1647815.0,1643042.0,1638969.0,1635738.0,1632813.0,1635449.0,1658911.0,1684158.0,1706169.0
North East,E12000001,Aged 18 - 24,,,,,,,,,,,,258072.0,250781.0,242533.0,232289.0,221317.0,215086.0,212681.0,214863.0,216372.0,219373.0,226836.0,233528.0,238491.0,241946.0,246100.0,248910.0,249164.0,251367.0,255662.0,257055.0,254840.0,252509.0,251883.0,249072.0,244353.0,239626.0,235778.0,230473.0,225800.0,224380.0,230132.0,236363.0,242909.0
North East,E12000001,Aged 65 and over,372824.0,372671.0,369125.0,367620.0,376676.0,383739.0,389580.0,393761.0,398476.0,401377.0,405478.0,407299.0,408378.0,409389.0,411001.0,413033.0,413989.0,414677.0,415223.0,416609.0,419216.0,421460.0,424505.0,426535.0,428205.0,428330.0,430120.0,433279.0,438330.0,445452.0,452557.0,468262.0,479375.0,490481.0,497731.0,505787.0,513294.0,520718.0,530397.0,535669.0,544473.0,554051.0,564106.0,575784.0
North East,E12000001,All ages,2636194.0,2624248.0,2616854.0,2609362.0,2601689.0,2594213.0,2589779.0,2582285.0,2582114.0,2584320.0,2586986.0,2591333.0,2593948.0,2588661.0,2582715.0,2576450.0,2568066.0,2560883.0,2550314.0,2543421.0,2540090.0,2540600.0,2540461.0,2540502.0,2547127.0,2552568.0,2562045.0,2569312.0,2575441.0,2586868.0,2596441.0,2598972.0,2603299.0,2610482.0,2611804.0,2618253.0,2623787.0,2629393.0,2636676.0,2637426.0,2647493.0,2684586.0,2724805.0,2760678.0
North West,E12000002,Aged 0 - 15,,,,,,,,,,,,1443963.0,1456045.0,1463393.0,1458742.0,1448478.0,1442119.0,1434202.0,1424058.0,1411705.0,1394128.0,1378327.0,1367420.0,1355121.0,1345615.0,1336552.0,1327149.0,1321779.0,1320383.0,1320661.0,1323897.0,1330565.0,1335196.0,1343816.0,1354252.0,1367875.0,1380698.0,1389668.0,1396226.0,1394348.0,1389726.0,1408107.0,1426948.0,1440242.0
North West,E12000002,Aged 16 - 59/64,,,,,,,,,,,,4135547.0,4131658.0,4121248.0,4116805.0,4110962.0,4103533.0,4108016.0,4099773.0,4110170.0,4121921.0,4145894.0,4178616.0,4208440.0,4238962.0,4271178.0,4286556.0,4298585.0,4307220.0,4319597.0,4331960.0,4318672.0,4316060.0,4318172.0,4331173.0,4348137.0,4357244.0,4368213.0,4383642.0,4388189.0,4413085.0,4469668.0,4534335.0,4594472.0
North West,E12000002,Aged 16 - 64,,,,,,,,,,,,4315286.0,4308153.0,4294988.0,4287680.0,4281167.0,4274003.0,4280966.0,4274839.0,4286286.0,4297158.0,4320679.0,4355515.0,4388411.0,4421943.0,4459156.0,4489262.0,4510595.0,4522996.0,4538567.0,4552765.0,4527876.0,4519042.0,4518731.0,4530458.0,4548474.0,4561830.0,4576685.0,4597018.0,4607552.0,4639384.0,4703314.0,4774559.0,4840994.0
North West,E12000002,Aged 18 - 24,,,,,,,,,,,,687454.0,667720.0,638040.0,607878.0,575833.0,553524.0,547143.0,547117.0,553300.0,562447.0,580534.0,605902.0,626182.0,639918.0,654749.0,663089.0,666983.0,670848.0,675522.0,679730.0,673873.0,663486.0,655754.0,651719.0,644029.0,636427.0,631295.0,625950.0,618414.0,624994.0,643024.0,658867.0,673033.0
North West,E12000002,Aged 65 and over,1050709.0,1045327.0,1031435.0,1023131.0,1041139.0,1053237.0,1062501.0,1068173.0,1074295.0,1076115.0,1080244.0,1081780.0,1082542.0,1080523.0,1081518.0,1080001.0,1078256.0,1077005.0,1074218.0,1076232.0,1081699.0,1085874.0,1091725.0,1096837.0,1102463.0,1105877.0,1112866.0,1126173.0,1142777.0,1160693.0,1179299.0,1220903.0,1250908.0,1278549.0,1297941.0,1317792.0,1333237.0,1349763.0,1370023.0,1378705.0,1394982.0,1414864.0,1432786.0,1456178.0
North West,E12000002,All ages,6940324.0,6907328.0,6880943.0,6860934.0,6847898.0,6832680.0,6820667.0,6811642.0,6824728.0,6829393.0,6843039.0,6841029.0,6846740.0,6838904.0,6827940.0,6809646.0,6794378.0,6792173.0,6773115.0,6774223.0,6772985.0,6784880.0,6814660.0,6840369.0,6870021.0,6901585.0,6929277.0,6958547.0,6986156.0,7019921.0,7055961.0,7079344.0,7105146.0,7141096.0,7182651.0,7234141.0,7275765.0,7316116.0,7363267.0,7380605.0,7424092.0,7526285.0,7634293.0,7737414.0
Yorkshire & Humber,E12000003,Aged 0 - 15,,,,,,,,,,,,1018480.0,1029467.0,1039395.0,1039811.0,1038317.0,1035970.0,1033411.0,1029852.0,1023098.0,1014594.0,1005974.0,998926.0,993888.0,991352.0,988436.0,986601.0,987007.0,989035.0,991969.0,997772.0,1001419.0,1005094.0,1009132.0,1013057.0,1020402.0,1026188.0,1029223.0,1029429.0,1024502.0,1018546.0,1026975.0,1037864.0,1044066.0
Yorkshire & Humber,E12000003,Aged 16 - 59/64,,,,,,,,,,,,3012515.0,3005513.0,3003429.0,3002378.0,3004456.0,3003175.0,3004053.0,3005642.0,3012281.0,3034994.0,3062397.0,3088954.0,3123913.0,3163133.0,3183907.0,3198728.0,3215129.0,3221095.0,3232709.0,3245089.0,3244202.0,3244142.0,3242141.0,3245337.0,3252808.0,3251743.0,3249176.0,3250725.0,3247143.0,3249301.0,3279971.0,3319373.0,3353149.0
Yorkshire & Humber,E12000003,Aged 16 - 64,,,,,,,,,,,,3141180.0,3132632.0,3129366.0,3126918.0,3128518.0,3128025.0,3130462.0,3133266.0,3140324.0,3161573.0,3188270.0,3216088.0,3253535.0,3296402.0,3322437.0,3349351.0,3373479.0,3382687.0,3396140.0,3409275.0,3399972.0,3395334.0,3391621.0,3393464.0,3402093.0,3403569.0,3404385.0,3409234.0,3409982.0,3416409.0,3451940.0,3495366.0,3533340.0
Yorkshire & Humber,E12000003,Aged 18 - 24,,,,,,,,,,,,519384.0,498389.0,479461.0,459676.0,439559.0,426131.0,419875.0,423820.0,426013.0,435200.0,452560.0,471358.0,489197.0,503862.0,509849.0,514483.0,517789.0,520274.0,526406.0,532782.0,534647.0,529139.0,526870.0,522741.0,517799.0,509751.0,500997.0,492697.0,482645.0,476167.0,484970.0,491445.0,500270.0
Yorkshire & Humber,E12000003,Aged 65 and over,743624.0,742128.0,735655.0,731000.0,745506.0,756112.0,764454.0,770817.0,777560.0,780663.0,785721.0,789373.0,792043.0,791326.0,793846.0,794419.0,793566.0,793830.0,793207.0,795187.0,800476.0,805867.0,811300.0,815776.0,820654.0,823143.0,828186.0,838189.0,851622.0,866679.0,881165.0,912095.0,934664.0,955675.0,970841.0,985563.0,998027.0,1010275.0,1025988.0,1034003.0,1047500.0,1062173.0,1077293.0,1095556.0
Yorkshire & Humber,E12000003,All ages,4918532.0,4906968.0,4902498.0,4894854.0,4889690.0,4883634.0,4879150.0,4888711.0,4912364.0,4921028.0,4936100.0,4949033.0,4954142.0,4960087.0,4960575.0,4961254.0,4957561.0,4957703.0,4956325.0,4958609.0,4976643.0,5000111.0,5026314.0,5063199.0,5108408.0,5134016.0,5164138.0,5198675.0,5223344.0,5254788.0,5288212.0,5313486.0,5335092.0,5356428.0,5377362.0,5408058.0,5427784.0,5443883.0,5464651.0,5468487.0,5482455.0,5541088.0,5610523.0,5672962.0
East Midlands,E12000004,Aged 0 - 15,,,,,,,,,,,,823279.0,831817.0,839237.0,842739.0,841799.0,840883.0,840008.0,842891.0,841411.0,838002.0,835653.0,833960.0,831254.0,829232.0,828030.0,828367.0,830871.0,833076.0,835268.0,838679.0,843838.0,848227.0,853106.0,858557.0,867395.0,877123.0,883229.0,885804.0,883047.0,880968.0,892313.0,904642.0,911354.0
East Midlands,E12000004,Aged 16 - 59/64,,,,,,,,,,,,2474346.0,2481242.0,2487641.0,2499485.0,2513065.0,2522042.0,2530147.0,2543987.0,2555355.0,2573536.0,2599858.0,2624702.0,2651983.0,2680303.0,2708662.0,2727523.0,2740580.0,2749512.0,2763009.0,2772518.0,2775491.0,2784489.0,2796937.0,2814753.0,2837908.0,2858911.0,2872763.0,2880675.0,2882579.0,2893704.0,2916702.0,2952694.0,2981981.0
East Midlands,E12000004,Aged 16 - 64,,,,,,,,,,,,2578116.0,2583477.0,2588508.0,2599638.0,2612702.0,2622069.0,2631575.0,2647199.0,2660124.0,2678372.0,2706046.0,2734221.0,2766396.0,2799469.0,2833494.0,2862836.0,2882436.0,2893509.0,2908899.0,2919158.0,2916044.0,2920926.0,2931881.0,2948132.0,2972061.0,2994325.0,3010552.0,3021159.0,3027024.0,3042790.0,3071450.0,3112252.0,3146117.0
East Midlands,E12000004,Aged 18 - 24,,,,,,,,,,,,410329.0,398195.0,383176.0,370088.0,355195.0,344956.0,341070.0,344527.0,344939.0,350204.0,361153.0,374472.0,387876.0,396445.0,403879.0,409754.0,413432.0,418931.0,425542.0,431208.0,437536.0,438844.0,441275.0,443003.0,444035.0,444691.0,442223.0,435346.0,427791.0,424293.0,427363.0,429939.0,435123.0
East Midlands,E12000004,Aged 65 and over,555427.0,556641.0,554816.0,555524.0,571275.0,584482.0,595943.0,605353.0,614745.0,621573.0,629155.0,635296.0,640599.0,643975.0,649286.0,653569.0,657368.0,661062.0,662353.0,666541.0,673248.0,680054.0,686899.0,693826.0,700411.0,705152.0,713571.0,727818.0,745068.0,762904.0,779611.0,810820.0,835415.0,857642.0,874951.0,892159.0,906898.0,921370.0,937038.0,945398.0,957801.0,972514.0,987348.0,1005693.0
East Midlands,E12000004,All ages,3852683.0,3849393.0,3854682.0,3866784.0,3887502.0,3907811.0,3925293.0,3950708.0,3976079.0,3992976.0,4011411.0,4036691.0,4055893.0,4071720.0,4091663.0,4108070.0,4120320.0,4132645.0,4152443.0,4168076.0,4189622.0,4221753.0,4255080.0,4291476.0,4329112.0,4366676.0,4404774.0,4441125.0,4471653.0,4507071.0,4537448.0,4570702.0,4604568.0,4642629.0,4681640.0,4731615.0,4778346.0,4815151.0,4844001.0,4855469.0,4881559.0,4936277.0,5004242.0,5063164.0
West Midlands,E12000005,Aged 0 - 15,,,,,,,,,,,,1099346.0,1109621.0,1117368.0,1118868.0,1116622.0,1114723.0,1113569.0,1110154.0,1103682.0,1094183.0,1089152.0,1085478.0,1081626.0,1080790.0,1079252.0,1078281.0,1081533.0,1085922.0,1088825.0,1094524.0,1101003.0,1107770.0,1115164.0,1123358.0,1134949.0,1145849.0,1153547.0,1156731.0,1153240.0,1147715.0,1161550.0,1181597.0,1195329.0
West Midlands,E12000005,Aged 16 - 59/64,,,,,,,,,,,,3196834.0,3190939.0,3184997.0,3187429.0,3192066.0,3188791.0,3193332.0,3194591.0,3195218.0,3209718.0,3227961.0,3246280.0,3259809.0,3284253.0,3311374.0,3329874.0,3350486.0,3357568.0,3372483.0,3391943.0,3393314.0,3403325.0,3414742.0,3431100.0,3459230.0,3474966.0,3486053.0,3495865.0,3498866.0,3512162.0,3542603.0,3590208.0,3636229.0
West Midlands,E12000005,Aged 16 - 64,,,,,,,,,,,,3332299.0,3324769.0,3316601.0,3317522.0,3321515.0,3318890.0,3325186.0,3328633.0,3330402.0,3344420.0,3362972.0,3384666.0,3402891.0,3431491.0,3463300.0,3491341.0,3516742.0,3525232.0,3541207.0,3561093.0,3555590.0,3562521.0,3572235.0,3587281.0,3616049.0,3633918.0,3647134.0,3659367.0,3666148.0,3684959.0,3720625.0,3773066.0,3824226.0
West Midlands,E12000005,Aged 18 - 24,,,,,,,,,,,,539569.0,520682.0,497242.0,476220.0,454009.0,438048.0,433724.0,434967.0,435320.0,443082.0,455407.0,470219.0,481040.0,488950.0,498294.0,505926.0,511726.0,517315.0,525358.0,532702.0,531254.0,529542.0,527475.0,525177.0,525015.0,520502.0,517908.0,512999.0,506541.0,505035.0,510224.0,516774.0,527235.0
West Midlands,E12000005,Aged 65 and over,705517.0,708290.0,704891.0,706248.0,728486.0,745456.0,760554.0,772085.0,782666.0,790483.0,799103.0,805730.0,811540.0,815326.0,820521.0,824909.0,828665.0,832597.0,833172.0,835542.0,842124.0,849119.0,855331.0,861859.0,868406.0,872969.0,882302.0,897965.0,916853.0,935834.0,953050.0,983732.0,1006654.0,1029483.0,1045648.0,1061250.0,1075285.0,1088647.0,1104879.0,1112536.0,1123552.0,1138078.0,1151293.0,1167649.0
West Midlands,E12000005,All ages,5186641.0,5178948.0,5174671.0,5174068.0,5181531.0,5179950.0,5194570.0,5204005.0,5213605.0,5218405.0,5229699.0,5237375.0,5245930.0,5249295.0,5256911.0,5263046.0,5262278.0,5271352.0,5271959.0,5269626.0,5280727.0,5301243.0,5325475.0,5346376.0,5380687.0,5415521.0,5451924.0,5496240.0,5528007.0,5565866.0,5608667.0,5640325.0,5676945.0,5716882.0,5756287.0,5812248.0,5855052.0,5889328.0,5920977.0,5931924.0,5956226.0,6020253.0,6105956.0,6187204.0
East,E12000006,Aged 0 - 15,,,,,,,,,,,,1044794.0,1050982.0,1061963.0,1066493.0,1067830.0,1071110.0,1075043.0,1085740.0,1087729.0,1082866.0,1083640.0,1085470.0,1085069.0,1084839.0,1084806.0,1086310.0,1092491.0,1097854.0,1102820.0,1109488.0,1118754.0,1126833.0,1139188.0,1151669.0,1164689.0,1174428.0,1181459.0,1186412.0,1185405.0,1186191.0,1202374.0,1222782.0,1234938.0
East,E12000006,Aged 16 - 59/64,,,,,,,,,,,,3153098.0,3151075.0,3157300.0,3171797.0,3190188.0,3212691.0,3233805.0,3250058.0,3273696.0,3293639.0,3314232.0,3338796.0,3358394.0,3397050.0,3426633.0,3444139.0,3464894.0,3477918.0,3504444.0,3529194.0,3540390.0,3560713.0,3590199.0,3616888.0,3647007.0,3661443.0,3671888.0,3683053.0,3693496.0,3723742.0,3734844.0,3781194.0,3822082.0
East,E12000006,Aged 16 - 64,,,,,,,,,,,,3284204.0,3281436.0,3286101.0,3299920.0,3318190.0,3341711.0,3364857.0,3384053.0,3409463.0,3428690.0,3450579.0,3479466.0,3504116.0,3548702.0,3586629.0,3620187.0,3649304.0,3665808.0,3694277.0,3719075.0,3719105.0,3734063.0,3761865.0,3787652.0,3818435.0,3834843.0,3848116.0,3861902.0,3876488.0,3912332.0,3929454.0,3981458.0,4028657.0
East,E12000006,Aged 18 - 24,,,,,,,,,,,,505730.0,488680.0,465084.0,444791.0,426004.0,416713.0,416013.0,409488.0,412422.0,418972.0,424620.0,433371.0,438044.0,447163.0,455438.0,464797.0,472784.0,477558.0,485538.0,493170.0,495574.0,498453.0,502538.0,499663.0,497399.0,489986.0,483859.0,477055.0,472031.0,473867.0,466192.0,466039.0,468190.0
East,E12000006,Aged 65 and over,703127.0,707879.0,709689.0,713001.0,734348.0,752062.0,767210.0,779167.0,789634.0,796841.0,804851.0,813591.0,821951.0,829851.0,839287.0,846740.0,854094.0,862128.0,868929.0,877780.0,888907.0,898469.0,909197.0,919379.0,929112.0,934859.0,947037.0,966555.0,987781.0,1010305.0,1033855.0,1077174.0,1109588.0,1138468.0,1158941.0,1177951.0,1193572.0,1207801.0,1225865.0,1235886.0,1251123.0,1270686.0,1289108.0,1312711.0
East,E12000006,All ages,4854992.0,4872720.0,4901572.0,4926795.0,4963772.0,4999268.0,5030759.0,5059695.0,5070133.0,5087962.0,5121052.0,5142589.0,5154369.0,5177915.0,5205700.0,5232760.0,5266915.0,5302028.0,5338722.0,5374972.0,5400463.0,5432688.0,5474133.0,5508564.0,5562653.0,5606294.0,5653534.0,5708350.0,5751443.0,5807402.0,5862418.0,5915033.0,5970484.0,6039521.0,6098262.0,6161075.0,6202843.0,6237376.0,6274179.0,6297779.0,6349646.0,6402514.0,6493348.0,6576306.0
London,E12000007,Aged 0 - 15,,,,,,,,,,,,1358373.0,1381680.0,1404970.0,1421517.0,1439475.0,1451902.0,1465367.0,1467206.0,1462915.0,1450712.0,1458197.0,1467486.0,1472743.0,1486504.0,1501063.0,1522007.0,1546759.0,1576719.0,1605848.0,1629861.0,1661469.0,1687388.0,1707768.0,1726946.0,1743960.0,1750618.0,1753973.0,1747392.0,1729841.0,1691655.0,1696925.0,1701203.0,1698384.0
London,E12000007,Aged 16 - 59/64,,,,,,,,,,,,4360798.0,4361460.0,4378605.0,4411038.0,4461676.0,4497574.0,4539995.0,4632751.0,4725831.0,4828536.0,4881132.0,4893277.0,4930631.0,5004356.0,5069838.0,5137431.0,5220670.0,5307105.0,5383498.0,5487511.0,5553137.0,5629091.0,5700331.0,5781003.0,5832323.0,5842084.0,5877449.0,5918840.0,5896927.0,5852805.0,5887342.0,5982391.0,6042841.0
London,E12000007,Aged 16 - 64,,,,,,,,,,,,4514598.0,4513090.0,4527439.0,4556914.0,4606533.0,4642411.0,4685777.0,4780580.0,4874543.0,4974573.0,5025296.0,5038546.0,5076217.0,5150699.0,5221068.0,5298039.0,5387169.0,5478584.0,5558486.0,5664416.0,5726145.0,5800997.0,5873113.0,5955594.0,6010793.0,6024971.0,6066064.0,6113644.0,6099549.0,6062210.0,6104266.0,6208153.0,6275855.0
London,E12000007,Aged 18 - 24,,,,,,,,,,,,745138.0,715030.0,702402.0,693477.0,689668.0,692937.0,700978.0,706904.0,702625.0,707381.0,716835.0,719121.0,732875.0,744795.0,759046.0,778593.0,790280.0,794379.0,801372.0,815915.0,816583.0,822781.0,824812.0,836842.0,835601.0,821711.0,816377.0,812995.0,780824.0,778611.0,807464.0,832196.0,847135.0
