region_code,metric,year,value,ci_lower,ci_upper,ci_width,cv
E12000001,emp_total_jobs,2025,1162385.400487266,1152911.0592763715,1171917.2096465414,19006.150370169897,0.00817549427332906
E12000001,emp_total_jobs,2026,1222487.5527474922,1208424.1972788752,1236693.0573375288,28268.860058653634,0.011562023676691225
E12000001,emp_total_jobs,2027,1295641.0444899115,1277412.5050229994,1314106.8394700105,36694.33444701112,0.014160686944530043
E12000001,emp_total_jobs,2028,1377528.4829797465,1355175.9403747686,1400225.3507434544,45049.41036868584,0.01635153498649951
E12000001,emp_total_jobs,2029,1466685.7149309453,1440104.4187841944,1493731.6568168104,53627.23803261598,0.018281775531965572
E12000001,emp_total_jobs,2030,1565975.9322624642,1534914.6681957138,1597637.9699865633,62723.30179084954,0.02002690478781153
E12000001,emp_total_jobs,2031,1682844.2736939522,1646820.4201498502,1719626.2222154294,72805.80206557922,0.021631770450680432
E12000001,emp_total_jobs,2032,1828735.7958757235,1786918.22411224,1871499.423349057,84581.19923681719,0.02312559294447286
E12000001,emp_total_jobs,2033,2018537.177249204,1969614.7340305548,2068638.7930496775,99024.05901912274,0.024528668615870993
E12000001,emp_total_jobs,2034,2270883.732407805,2212907.465329814,2330338.3827530933,117430.91742327949,0.025855774945106536
E12000001,emp_total_jobs,2035,2609984.393803937,2540143.465291051,2681698.9317999873,141555.46650893614,0.027118067610861323
E12000001,emp_total_jobs,2036,3069670.297075567,2983928.699094031,3157820.6920255693,173891.99293153826,0.028324213368647898
E12000001,emp_total_jobs,2037,3700900.8829536503,3593369.999614132,3811583.2899046238,218213.29029049166,0.029481104356993467
E12000001,emp_total_jobs,2038,4585199.601041092,4447024.029626203,4727586.236508823,280562.20688262023,0.030594328632816466
E12000001,emp_total_jobs,2039,4526092.842465965,4384987.981304448,4671657.046767151,286669.0654627029,0.031668491504751824
E12000001,emp_total_jobs,2040,5166997.747145404,5000716.572773775,5338715.1280435715,337998.5552697964,0.03270744171085902
E12000001,emp_total_jobs,2041,6029666.229168161,5829752.892955398,6236326.470484509,406573.57752911095,0.0337144347694019
E12000001,emp_total_jobs,2042,7030602.945834262,6790863.938745931,7278678.859476234,487814.92073030304,0.03469225360104717
E12000001,emp_total_jobs,2043,8190694.762646898,7903881.431025895,8487768.201436343,583886.7704104474,0.03564329933726886
E12000001,emp_total_jobs,2044,9533089.364649588,9190757.005862402,9888000.69580168,697243.6899392791,0.036569660855419246
E12000001,emp_total_jobs,2045,11083726.551826714,10676067.210024187,11506751.922749873,830684.7127256859,0.03747316883186641
E12000001,emp_total_jobs,2046,12872286.038186058,12387916.953307604,13375361.29988258,987444.3465749752,0.03835543832873544
E12000001,emp_total_jobs,2047,14933349.876991458,14359045.066001028,15530354.392536152,1171309.3265351243,0.03921790275401696
E12000001,emp_total_jobs,2048,17307447.694903847,16627812.267495362,18014548.71111717,1386736.4436218087,0.04006184123931027
E12000001,emp_total_jobs,2049,20041660.320210826,19238761.11777884,20877704.00274827,1638942.8849694282,0.040888400930452144
E12000001,emp_total_jobs,2050,1396971.369335269,1339921.4371942622,1456424.9806264294,116503.54343216727,0.04169861530075737
E12000001,employment_rate_pct,2026,70.44081307594763,69.52682778785903,71.35479836403623,1.8279705761771936,0.012975223427690412
E12000001,employment_rate_pct,2027,70.40553470310581,69.11296431288145,71.69810509333018,2.5851407804487394,0.01835893151973108
E12000001,employment_rate_pct,2028,70.42823628887292,68.84516733253301,72.01130524521284,3.1661379126798295,0.022477759486219398
E12000001,employment_rate_pct,2029,70.4867984706325,68.6588278944553,72.31476904680969,3.655941152354387,0.025933516854773825
E12000001,employment_rate_pct,2030,70.56810076394913,68.52436752934831,72.61183399854995,4.087466469201644,0.02896114834430823
