region_code,region_name,region_level,metric_id,period,value,unit,freq,source,vintage,metric,year,region,data_type,ci_lower,ci_upper,method
E12000001,North East,ITL1,emp_total_jobs,2009.0,1012000.0,jobs,A,NOMIS,2025-11-26T16:24:32Z,emp_total_jobs,2009,North East,historical,,,
E12000002,North West,ITL1,emp_total_jobs,2009.0,3012000.0,jobs,A,NOMIS,2025-11-26T16:24:32Z,emp_total_jobs,2009,North West,historical,,,
E12000003,Yorkshire and The Humber,ITL1,emp_total_jobs,2009.0,2224000.0,jobs,A,NOMIS,2025-11-26T16:24:32Z,emp_total_jobs,2009,Yorkshire and The Humber,historical,,,
E12000004,East Midlands,ITL1,emp_total_jobs,2009.0,1907000.0,jobs,A,NOMIS,2025-11-26T16:24:32Z,emp_total_jobs,2009,East Midlands,historical,,,
E12000005,West Midlands,ITL1,emp_total_jobs,2009.0,2302000.0,jobs,A,NOMIS,2025-11-26T16:24:32Z,emp_total_jobs,2009,West Midlands,historical,,,
E12000006,East,ITL1,emp_total_jobs,2009.0,2423000.0,jobs,A,NOMIS,2025-11-26T16:24:32Z,emp_total_jobs,2009,East,historical,,,
E12000007,London,ITL1,emp_total_jobs,2009.0,4143000.0,jobs,A,NOMIS,2025-11-26T16:24:32Z,emp_total_jobs,2009,London,historical,,,
E12000008,South East,ITL1,emp_total_jobs,2009.0,3727000.0,jobs,A,NOMIS,2025-11-26T16:24:32Z,emp_total_jobs,2009,South East,historical,,,
E12000009,South West,ITL1,emp_total_jobs,2009.0,2314000.0,jobs,A,NOMIS,2025-11-26T16:24:32Z,emp_total_jobs,2009,South West,historical,,,
W92000004,Wales,ITL1,emp_total_jobs,2009.0,1171000.0,jobs,A,NOMIS,2025-11-26T16:24:32Z,emp_total_jobs,2009,Wales,historical,,,
S92000003,Scotland,ITL1,emp_total_jobs,2009.0,2407000.0,jobs,A,NOMIS,2025-11-26T16:24:32Z,emp_total_jobs,2009,Scotland,historical,,,
E12000001,North East,ITL1,emp_total_jobs,2010.0,1011000.0,jobs,A,NOMIS,2025-11-26T16:24:32Z,emp_total_jobs,2010,North East,historical,,,
E12000002,North West,ITL1,emp_total_jobs,2010.0,2980000.0,jobs,A,NOMIS,2025-11-26T16:24:32Z,emp_total_jobs,2010,North West,historical,,,
E12000003,Yorkshire and The Humber,ITL1,emp_total_jobs,2010.0,2202000.0,jobs,A,NOMIS,2025-11-26T16:24:32Z,emp_total_jobs,2010,Yorkshire and The Humber,historical,,,
