region,region_code,metric,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
East,E12000006,emp_total_jobs,,,,,,,,,,,,,,,,,,,2423000.0,2400000.0,2405000.0,2419000.0,2447000.0,2557000.0,2611000.0,2701000.0,2763000.0,2764000.0,2784000.0,2780000.0,2829000.0,2821000.0,2891000.0,2908000.0,3097891.7378365877,3266985.7198007307,3471955.8047176227,3701491.690345487,3951845.469748661,4230918.6529770605,4559111.588280436,4967912.742520532,5498528.0692911185,6202850.207527877,7148600.140291554,8430659.07175669,10192106.424071856,12661974.72437067,12532951.385695506,14346794.231710728,16787907.605375513,19628294.710723795,22929650.781642623,26760674.988318533,31198657.219800547,36332265.74497278,42264987.146218725,49118288.894238405,57033575.51498557,3986310.3549205535
East,E12000006,employment_rate,,,,,,,,,,,,,,,,,,,42.12855799840145,41.32656909234112,41.02402796934644,40.8957988907247,40.98495197374283,42.33779466947793,43.110643655520214,43.83975199133268,44.544090508175046,44.31350619234755,44.37233939293093,44.14254612618194,44.55366488147528,44.06081736018071,44.52248670485549,44.219353539813994,46.909797650259435,49.09984681719243,51.778600381997684,54.79528977564655,58.07965878172598,61.72787086148026,66.04559123446892,71.43230833913398,78.50662442311514,87.93389074408873,100.62799138285459,117.87774922047186,141.57198795952382,174.64527655344085,171.76519657685066,195.3653854326128,227.09823980193394,263.892711420848,306.33134976793787,355.2098889751472,411.71837848849793,476.5812320121883,551.1167383644383,636.7916701384701,734.9419431897478,51.061673503409665
East,E12000006,employment_rate_pct,,,,,,,,,,,,,,,76.5,75.6,75.2,75.6,74.8,73.4,73.4,74.0,74.9,75.7,76.3,77.1,77.0,78.1,78.3,78.1,76.9,77.9,78.2,76.2,78.7,78.14371906131586,78.21511029750357,78.2865015336913,78.357892769879,78.42928400606671,78.50067524225443,78.57206647844214,78.64345771462986,78.71484895081757,78.78624018700528,78.85763142319298,78.9290226593807,79.00041389556841,79.07180513175612,79.14319636794383,79.21458760413155,79.28597884031926,79.35737007650698,79.42876131269469,79.5001525488824,79.57154378507012,79.64293502125783,79.71432625744555,79.78571749363326,79.85710872982096
East,E12000006,gdhi_per_head_gbp,,,,,,,11173.0,11355.0,11834.0,12452.0,13017.0,13347.0,13608.0,14038.0,14541.0,14986.0,15612.0,16117.0,16540.0,16661.0,16786.0,17378.0,17989.0,18550.0,19594.0,19895.0,20468.0,21247.0,21826.0,21733.0,22482.0,23709.0,25732.0,25844.05724071318,26310.22249768285,27065.2408352523,27843.14807131435,28653.54932155077,29488.339501963223,30355.347737759326,31250.174841894383,32177.82276171568,33136.12554218234,34128.439255908874,35153.94483017546,36215.06048816313,37311.78779341721,38446.02782528237,39618.29369541777,40830.21822664943,42082.64635910737,43377.08988440571,44714.622298063165,46096.72190944286,47524.63244060132,48999.85146388085,50523.76095611451,52097.91032499532,53723.80328984645,55403.06205733487
East,E12000006,gdhi_total_mn_gbp,,,,,,,58850.0,60202.0,63177.0,66930.0,70299.0,72509.0,74492.0,77331.0,80884.0,84018.0,88265.0,92004.0,95129.0,96756.0,98404.0,102794.0,107406.0,112034.0,119492.0,122572.0,126960.0,132526.0,136939.0,136868.0,142751.0,151771.0,166455.0,167039.8728953433,173756.54542434946,180094.5705989132,186688.19015308618,193545.580065089,200675.25759225906,208086.08749382556,215787.2887132359,223788.44156580628,232099.49545475075,240730.77712395854,249692.99944694326,258997.27074623012,268655.1046349846,278678.43037193187,289079.6037209184,299871.418307545,311067.11746664863,322680.40657600336,334725.46587327967,347216.9637548502,360170.07055664243,373600.47281863063,387524.38803589036,401958.5799004284,416920.37403904134,432427.6742535232
East,E12000006,income_per_worker_gbp,,,,,,,,,,,,,,,,,,,39260.833677259594,40315.0,40916.42411642412,42494.41918147995,43892.930118512464,43814.62651544779,45451.50247242297,45380.2295446131,45950.05428881651,47947.178002894354,49187.8591954023,49233.09352517986,50459.87981618947,53800.42538107054,57576.96298858526,57441.49686910017,56097.04843881738,55114.29841927595,53765.06741239896,52297.7599825723,50762.62061070571,49219.83593398277,47333.581241959604,45096.26892493645,42292.675171501,38801.682755688205,34905.81464741903,30694.312023421116,26340.36520734353,22005.775496097172,23091.017360216734,20901.386079480493,18493.565060336834,16441.717665079916,14608.807869037002,12989.224866844002,11525.534412401303,10285.198106090787,9147.199544075644,8188.1104378558075,7301.424754627525,108311.110855292
East,E12000006,nominal_gva_mn_gbp,,,,,,,,77552.0,80595.0,84942.0,89423.0,92845.0,98776.0,101960.0,107535.0,112826.0,117070.0,121766.0,118559.0,119996.0,120744.0,124608.0,130010.0,137035.0,141969.0,148110.0,158305.0,161802.0,168571.0,159982.0,173622.0,187608.0,205310.0,223252.83451072307,252018.74812801054,290544.7805161625,340565.35221362894,405343.8211961206,491157.3350747982,609522.2044174448,780898.7961401991,1041682.4974446391,1458522.836669119,2159300.079072635,3403872.0645382293,5756225.923527585,10535335.701832762,21099122.290350825,20333204.562936362,30421350.425082754,52153224.38194332,89307312.05804913,152688703.87271947,260616253.49923947,444101357.82518333,755574964.2715874,1283580728.5426848,2177494771.3683224,3689088904.793059,6242380314.855155
East,E12000006,population_total,5121052.0,5142589.0,5154369.0,5177915.0,5205700.0,5232760.0,5266915.0,5302028.0,5338722.0,5374972.0,5400463.0,5432688.0,5474133.0,5508564.0,5562653.0,5606294.0,5653534.0,5708350.0,5751443.0,5807402.0,5862418.0,5915033.0,5970484.0,6039521.0,6098262.0,6161075.0,6202843.0,6237376.0,6274179.0,6297779.0,6349646.0,6402514.0,6493348.0,6576306.0,6604145.8007302005,6654090.82059012,6704995.774002414,6754680.821322209,6805241.020061468,6855005.888632439,6905154.6048935605,6954741.5691550085,7004424.6772088,7053670.84966475,7102844.379291728,7151645.399871228,7200274.243690421,7248562.3648399655,7296619.23209866,7344350.1242866805,7391814.545411274,7438959.308609788,7485816.68971804,7532356.95234379,7578597.709446804,7624522.557869832,7670141.349384071,7715445.348823873,7760440.410179175,7805122.2837831145
East,E12000006,productivity_gbp_per_job,,,,,,,,,,,,,,,,,,,48930.66446553859,49998.333333333336,50205.40540540541,51512.19512195122,53130.36371066612,53592.10011732499,54001.14111829593,54835.246205109215,57294.60731089395,58539.073806078144,60549.92816091954,57547.482014388486,61372.21633085896,66504.0765685927,71016.94915254238,76771.95134481536,81329.99467582026,88922.30005378238,97794.23824316695,109421.45227617252,124323.15941232903,144080.57154854666,170754.8665926036,209737.32072479444,265442.3251776246,347453.5156775331,476027.1587056739,683337.9615049588,1035213.7443962292,1662602.4183985214,1624505.565369935,2118149.9227009295,3117534.0213523284,4557075.621289063,6624873.821936707,9740393.377401188,14224108.584458232,20822535.22812993,30514144.228628755,44329828.40878065,64584536.59625392,1573829666.4474401
East,E12000006,unemployment_rate_pct,,,,,,,,,,,,,,,3.8,4.4,4.3,4.2,5.8,6.6,6.7,6.7,6.5,5.4,4.6,3.7,3.9,3.6,3.2,3.5,4.3,3.0,3.5,3.5,3.5,3.4463188070011928,3.34916494973309,3.174532366015244,2.9127245117022325,2.56806175068642,2.157943851691532,1.7098523647633221,1.256805840806191,0.8320173354508444,0.4636168670326102,0.17027570844645723,-0.04158882667434516,-0.1786125915823371,-0.25919670488056457,-0.310374492778017,-0.36336388840940237,-0.44853512496049663,-0.5906033147787705,-0.804805272495345,-1.0946500252661064,-1.4515719861061127,-1.8565077321473469,-2.2831114959602345,-2.70206937009763,-3.0858074425259674
East Midlands,E12000004,emp_total_jobs,,,,,,,,,,,,,,,,,,,1907000.0,1906000.0,1902000.0,1903000.0,1907000.0,1947000.0,1995000.0,2062000.0,2062000.0,2070000.0,2089000.0,2049000.0,2109000.0,2167000.0,2137000.0,2177000.0,2294380.1285435376,2414690.182317988,2560963.639939058,2724714.775913819,2903081.7526061246,3101766.0018210537,3335566.643469808,3627257.6324873813,4006507.2634126535,4510511.822569532,5187648.9703831645,6105569.048543224,7366201.82318202,9132636.038123555,9021174.983501434,10305751.478069311,12034731.629798966,14042274.352012724,16370704.456976514,19066985.45097204,22183798.825343948,25781462.016077556,29930284.486696247,34712698.5371003,40224512.60340779,2805733.0197562473
East Midlands,E12000004,employment_rate,,,,,,,,,,,,,,,,,,,42.64642180419634,42.28910527480042,41.91783575260807,41.63474232185778,41.4153944517705,41.93744535693031,42.93367281550909,43.57920075914883,43.153007337685466,42.989306046684725,43.125507199523696,42.199836926154816,43.203411041431636,43.8994813297552,42.70377012142898,42.99682965039252,45.21844269353939,47.289372088161606,49.85463550238811,52.68323080037205,55.774123776415195,59.23567927368452,63.31861298376591,68.44798334234157,75.10162613921372,84.10204831082703,96.14240309953668,112.5504055948845,135.00039184756997,166.46554362619298,163.5975727059909,185.80919226703912,215.65686553489368,250.66928902556924,290.2051022579748,336.60565549399433,389.54484172381467,450.1635724560098,520.6493554900507,600.4345427541298,692.2900999280405,48.035879008517526
East Midlands,E12000004,employment_rate_pct,,,,,,,,,,,,,,,73.8,74.4,74.3,73.7,72.9,71.5,70.9,71.0,71.1,72.9,73.7,74.5,73.9,74.5,76.0,76.6,74.1,75.1,75.1,75.7,74.7,74.995060724394,75.08592527120426,75.17678981801451,75.26765436482476,75.35851891163502,75.44938345844528,75.54024800525553,75.63111255206577,75.72197709887604,75.81284164568629,75.90370619249654,75.9945707393068,76.08543528611705,76.1762998329273,76.26716437973755,76.35802892654782,76.44889347335805,76.5397580201683,76.63062256697857,76.72148711378883,76.81235166059908,76.90321620740933,76.9940807542196,77.08494530102983,77.17580984784009
East Midlands,E12000004,gdhi_per_head_gbp,,,,,,,9640.0,9828.0,10269.0,10657.0,11100.0,11391.0,11841.0,12305.0,12629.0,13048.0,13798.0,13957.0,14189.0,14215.0,14492.0,14973.0,15426.0,15907.0,16674.0,16697.0,17154.0,17687.0,18298.0,18455.0,19026.0,19995.0,21656.0,21886.931532312698,22299.927266791423,22985.744374083613,23693.42328877642,24426.12168677328,25186.408971665274,25973.82513238265,26790.08939065968,27635.378104993524,28511.0100316893,29417.510638731077,30356.021948974914,31327.278227429993,32332.35882427943,33372.13758977348,34447.69108690229,35559.9986172409,36710.16660778123,37899.26335754207,39128.443897584584,40398.858195780405,41711.72143243488,43068.26275538842,44469.76529578825,45917.537544927254,47412.93644974817,48957.35152428415
East Midlands,E12000004,gdhi_total_mn_gbp,,,,,,,39720.0,40615.0,42642.0,44420.0,46505.0,48092.0,50384.0,52807.0,54673.0,56977.0,60776.0,61984.0,63449.0,64067.0,65759.0,68436.0,71028.0,73852.0,78062.0,79002.0,81969.0,85164.0,88634.0,89607.0,92876.0,98673.0,108089.0,108696.94850138057,113155.52035943768,117372.56931135179,121761.03424643328,126326.4612744728,131074.62236707733,136011.5195823417,141143.38956816914,146476.7083748661,152018.19659278617,157774.82482117374,163753.81946840032,169962.66888028535,176409.1297914656,183101.23409411823,190047.29591845578,197255.91901994153,204736.00446898548,212496.7586397985,220547.70149606292,228898.67517204734,237559.8528487021,246541.74792517038,255855.22348689102,265511.5020722924,275522.17574065115,285899.21644435194
East Midlands,E12000004,income_per_worker_gbp,,,,,,,,,,,,,,,,,,,33271.63083377032,33613.326337880375,34573.60672975815,35962.16500262743,37245.93602517043,37931.176168464306,38836.81592039801,38313.288069835115,39752.18234723569,41142.02898550725,42428.91335567257,43732.06442166911,44037.93266951162,45534.3793262575,50579.784744969584,49929.69614211326,49337.70643019186,48572.88294068371,47577.9895513131,46421.89593763606,45191.68125146636,43829.942297829024,42309.06424959797,40413.36607275504,37923.702622317825,35008.72950051434,31560.323661349626,27801.618077330473,23955.404929096774,20068.10721516342,21080.0913261004,19135.392901769366,17036.997430848132,15153.117064785969,13478.512209659842,11995.87712446717,10713.786439315343,9581.314522938923,8558.662431172874,7636.6020894102385,6842.214445577345,101735.04697482678
East Midlands,E12000004,nominal_gva_mn_gbp,,,,,,,,54263.0,55733.0,57797.0,60160.0,62582.0,65730.0,68954.0,72582.0,76609.0,80126.0,83432.0,81084.0,83954.0,85178.0,88426.0,92063.0,95446.0,98321.0,100929.0,104692.0,109384.0,113395.0,110619.0,118965.0,128254.0,139722.0,153531.82514201413,174260.35285928627,202193.67587469565,238612.8436855532,285913.9144331701,348689.3935842497,435378.2225142114,561028.7883892753,752516.1377328307,1059236.4824223472,1576286.707665063,2497537.8737783246,4245144.487195309,7809734.025526027,15722248.252090298,15231888.705917204,22911894.00204588,39494222.818386875,68005028.68528986,116920184.01384051,200694073.8981558,343939954.1655405,588515887.9952836,1005524971.6490067,1715622822.3031557,2923361844.176945,4975245969.580052
East Midlands,E12000004,population_total,4011411.0,4036691.0,4055893.0,4071720.0,4091663.0,4108070.0,4120320.0,4132645.0,4152443.0,4168076.0,4189622.0,4221753.0,4255080.0,4291476.0,4329112.0,4366676.0,4404774.0,4441125.0,4471653.0,4507071.0,4537448.0,4570702.0,4604568.0,4642629.0,4681640.0,4731615.0,4778346.0,4815151.0,4844001.0,4855469.0,4881559.0,4936277.0,5004242.0,5063164.0,5074255.131223969,5106320.134826225,5139022.452028344,5171777.283942643,5204180.656104503,5236483.994526107,5268492.669433889,5300333.06649055,5331912.002549948,5363296.261154317,5394442.649423967,5425388.942071161,5456116.912168938,5486649.861776536,5516982.123388688,5547129.546970906,5577092.761698031,5606883.612356834,5636505.813349696,5665968.925724624,5695278.082289273,5724441.436735794,5753464.669423905,5782354.983921058,5811118.154064775,5839760.6803247575
East Midlands,E12000004,productivity_gbp_per_job,,,,,,,,,,,,,,,,,,,42519.140010487674,44047.219307450156,44783.385909568875,46466.63163426169,48276.350288411115,49022.085259373394,48915.92039800995,48947.13870029098,50772.06595538312,52842.51207729468,54281.95308760172,53986.82284040996,56408.25035561878,59185.04845408399,65382.31165184839,70524.49478273501,75973.88372862531,83757.23144036485,93093.84307358818,104842.65237251026,120164.26162742396,140610.3545047547,168366.94272389862,207440.5381216349,263669.0627586752,349393.2528529102,481310.8434011856,697542.2976962617,1059696.6990178474,1718721.6289889473,1690944.4590219918,2217122.9182791263,3281743.8847392565,4841914.295068219,7131788.074863796,10514989.562190145,15511209.878515657,22834475.2196197,33642787.61172335,49523019.9230318,72394282.28009167,1771554153.175729
East Midlands,E12000004,unemployment_rate_pct,,,,,,,,,,,,,,,4.3,5.0,4.9,5.3,6.8,7.2,7.7,8.1,7.9,6.5,5.1,4.2,4.4,3.9,4.6,4.0,5.4,3.1,3.6,4.4,3.9,3.660052896967236,3.1309965846275936,2.4409970219296198,1.750997459231645,1.0609978965336695,0.37099833383569747,-0.31900122886227655,-1.0090007915602521,-1.699000354258228,-2.3889999169562017,-3.078999479654174,-3.7689990423521498,-4.458998605050123,-5.148998167748099,-5.838997730446071,-6.5289972931440445,-7.218996855842021,-7.908996418539993,-8.598995981237966,-9.288995543935949,-9.97899510663392,-10.668994669331896,-11.358994232029865,-12.04899379472784,-12.738993357425816
London,E12000007,emp_total_jobs,,,,,,,,,,,,,,,,,,,4143000.0,4206000.0,4304000.0,4447000.0,4560000.0,4737000.0,4894000.0,5019000.0,5138000.0,5148000.0,5252000.0,5121000.0,5329000.0,5618000.0,5675000.0,5743000.0,6157156.822912083,6554422.919176702,7031284.295800437,7566769.3153599,8154679.834973451,8812819.629049795,9585917.209117398,10543884.899944074,11780029.80008767,13414190.872317282,15605131.724952467,18577240.62012235,22670279.49439992,28429394.65118616,28404867.687520463,32822188.137408677,38768810.555222325,45755333.176911436,53954769.05554977,63562754.10609202,74802272.32531102,87931527.18422359,103253818.27580763,121127249.05860062,141971924.45686504,10016505.263747128
London,E12000007,employment_rate,,,,,,,,,,,,,,,,,,,52.161800036612725,52.173945403427034,52.45961103587376,53.444592307415896,54.03492148998452,55.421710428407366,56.86210996074274,57.401650637702716,58.54450698585919,58.27923428693693,59.079323215530536,57.75341580835385,60.524018290542315,63.327324489300864,63.057622444291226,63.181152895969696,66.70826509160594,70.49543718280718,75.1063124849546,80.23783884086903,85.86485753745572,92.15527754702346,99.47473816523068,108.73008891919235,120.63299355899035,136.35769083766158,157.51327584504932,186.1680763106253,225.7665061638825,281.1637574317179,279.00196471201184,320.2370308624295,375.79963486833424,440.5234547148858,515.8165919617088,603.9541639131916,705.7460236324907,824.4327554205161,961.6234151923603,1121.2460988823543,1304.526872844013,91.45936393687985
London,E12000007,employment_rate_pct,,,,,,,,,,,,,,,67.9,67.7,68.5,69.3,67.9,67.6,67.3,67.3,68.8,70.7,72.3,73.1,73.7,74.2,74.5,75.2,73.9,75.8,75.1,75.2,75.5,75.99333682856073,76.24349051801083,76.49364420746093,76.74379789691103,76.99395158636113,77.24410527581125,77.49425896526134,77.74441265471145,77.99456634416154,78.24472003361166,78.49487372306176,78.74502741251186,78.99518110196196,79.24533479141206,79.49548848086216,79.74564217031227,79.99579585976237,80.24594954921247,80.49610323866258,80.74625692811267,80.99641061756279,81.24656430701287,81.49671799646299,81.74687168591309,81.9970253753632
London,E12000007,gdhi_per_head_gbp,,,,,,,12910.0,13338.0,14172.0,15208.0,15763.0,15965.0,16662.0,17573.0,18587.0,19530.0,20927.0,21540.0,21436.0,21574.0,21396.0,22697.0,23881.0,24885.0,26649.0,27096.0,27573.0,29107.0,29613.0,29162.0,30714.0,32553.0,35361.0,36624.536142046505,37952.6630759748,39499.7936492058,41122.75777913599,42815.925079478264,44585.438404406115,46432.229965083236,48361.16165234411,50374.432918212355,52476.38901237307,54670.02676854741,56959.57118397032,59348.592228309084,61841.410035028166,64442.06527486867,67155.0984011839,69984.98033662693,72936.55171430849,76014.70589469031,79224.64085269107,82571.68258811223,86061.4325416908,89699.67018963258,93492.44168488597,97446.00769526699,101566.89880722534,105861.88956505038
London,E12000007,gdhi_total_mn_gbp,,,,,,,90565.0,94240.0,101385.0,110052.0,115425.0,117768.0,123210.0,130614.0,139758.0,148382.0,161002.0,168274.0,170256.0,173920.0,175542.0,188857.0,201528.0,212697.0,230764.0,236922.0,241989.0,257108.0,263248.0,258583.0,270429.0,288711.0,316319.0,332910.58400332875,350279.1659471784,367230.18141715665,385050.8823113506,403782.0114601881,423466.3020265437,444148.5624708122,465875.7654103051,488697.1406330866,512664.2724907181,537831.2018722196,564254.5329492892,591993.5448774359,621110.308637522,651669.8092053814,683740.0732431082,717392.302513212,752701.0132256268,789744.1815374693,828603.3954357741,869364.0132444286,912115.3290078504,956950.7450156312,1003967.9517442873,1053269.1155046497,1104961.0740958753,1159155.540779996
London,E12000007,income_per_worker_gbp,,,,,,,,,,,,,,,,,,,41094.85879797248,41350.45173561579,40785.78066914498,42468.40566674162,44194.73684210526,44901.20329322356,46865.15028432169,47205.020920502095,47097.89801479175,49943.27894327894,50123.381568926125,50494.62995508689,50746.66916869957,51390.35243859025,55739.03083700441,57968.06268558745,56902.07364904943,56041.937189183576,54776.18195357382,53378.12111385257,51892.16025873465,50420.62026412385,48560.27934339792,46318.840237543205,43523.877595891376,40133.2657291776,36117.630954904685,31806.654153850424,27411.608999998047,22958.68081125166,24064.352461164206,21824.543357797607,19449.587031741943,17243.187898666045,15338.989189150452,13643.742776165827,12193.083868315085,10883.167888053495,9706.358451048833,8709.39441956496,7776.780191417558,115987.37535449713
