region,region_code,metric,year,forecast_value,method,ci_lower,ci_upper
North East,E12000001,gdhi_per_head_gbp,2023,18804.18747929994,"arima(2, 2, 1)_log_lb_p=0.801",18402.386074338236,19214.761897086017
North East,E12000001,gdhi_per_head_gbp,2024,19070.830353747355,"arima(2, 2, 1)_log_lb_p=0.801",18511.026749319284,19647.563331125642
North East,E12000001,gdhi_per_head_gbp,2025,19689.925196669323,"arima(2, 2, 1)_log_lb_p=0.801",19059.765594882465,20340.91932140702
North East,E12000001,gdhi_per_head_gbp,2026,20311.232707781586,"arima(2, 2, 1)_log_lb_p=0.801",19514.570286735005,21140.418059324835
North East,E12000001,gdhi_per_head_gbp,2027,20706.319499180532,"arima(2, 2, 1)_log_lb_p=0.801",19679.141516369888,21787.112351699456
North East,E12000001,gdhi_per_head_gbp,2028,21212.760789457217,"arima(2, 2, 1)_log_lb_p=0.801",20012.936307816413,22484.517683443846
North East,E12000001,gdhi_per_head_gbp,2029,21867.228631406568,"arima(2, 2, 1)_log_lb_p=0.801",20473.985808567126,23355.28081777411
North East,E12000001,gdhi_per_head_gbp,2030,22416.182777491336,"arima(2, 2, 1)_log_lb_p=0.801",20767.476343432543,24195.778148691814
North East,E12000001,gdhi_total_mn_gbp,2023,51237.74406453387,"arima(2, 2, 1)_log_lb_p=0.801_derived",,
North East,E12000001,gdhi_total_mn_gbp,2024,52648.42179932254,"arima(2, 2, 1)_log_lb_p=0.801_derived",,
North East,E12000001,gdhi_total_mn_gbp,2025,54356.82864469665,"arima(2, 2, 1)_log_lb_p=0.801_derived",,
North East,E12000001,gdhi_total_mn_gbp,2026,56072.41711599461,"arima(2, 2, 1)_log_lb_p=0.801_derived",,
North East,E12000001,gdhi_total_mn_gbp,2027,57162.916819595484,"arima(2, 2, 1)_log_lb_p=0.801_derived",,
North East,E12000001,gdhi_total_mn_gbp,2028,58561.13067217254,"arima(2, 2, 1)_log_lb_p=0.801_derived",,
North East,E12000001,gdhi_total_mn_gbp,2029,60367.83445581519,"arima(2, 2, 1)_log_lb_p=0.801_derived",,
North East,E12000001,gdhi_total_mn_gbp,2030,61883.336483753505,"arima(2, 2, 1)_log_lb_p=0.801_derived",,
North West,E12000002,gdhi_per_head_gbp,2023,20308.295989733455,"arima(1, 1, 1)_log_lb_p=1.000",19789.745790330726,20840.433746659637
North West,E12000002,gdhi_per_head_gbp,2024,20879.69714952274,"arima(1, 1, 1)_log_lb_p=1.000",20095.341362857733,21694.667693556934
North West,E12000002,gdhi_per_head_gbp,2025,21466.59783210736,"arima(1, 1, 1)_log_lb_p=1.000",20439.907076128417,22544.858974609426
