region,region_code,metric,year,value,source,method,ci_lower,ci_upper
North East,E12000001,gdhi_per_head_gbp,1997,9107.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,1998,9150.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,1999,9494.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2000,9987.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2001,10448.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2002,10631.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2003,10962.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2004,11470.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2005,11697.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2006,12121.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2007,12434.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2008,12721.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2009,13291.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2010,13509.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2011,13654.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2012,14227.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2013,14564.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2014,14959.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2015,15516.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2016,15718.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2017,16038.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2018,16474.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2019,16991.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2020,17239.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2021,17592.0,historical,observed,,
North East,E12000001,gdhi_per_head_gbp,2022,18388.0,historical,observed,,
