region,region_code,metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
East,E12000006,gdhi_per_head_gbp,11164.0,11340.0,11819.0,12441.0,13008.0,13333.0,13598.0,14026.0,14532.0,14977.0,15609.0,16119.0,16536.0,16657.0,16778.0,17370.0,17984.0,18537.0,19582.0,19882.0,20439.0,21185.0,21787.0,21613.0,22377.0,23661.0,24374.215011016197,25108.90913715902,25865.728657580632,26645.33927956641,27448.426722045246,28275.69731660921,29127.878626567504,30005.720084575598
East,E12000006,gdhi_total_mn_gbp,58801.0,60124.0,63096.0,66870.0,70247.0,72434.0,74438.0,77263.0,80835.0,83967.0,88245.0,92015.0,95104.0,96736.0,98360.0,102743.0,107375.0,111953.0,119419.0,122496.0,126779.0,132141.0,136696.0,136115.0,142087.0,151461.0,158270.26029335198,165123.8698121537,171137.6409236092,177363.7467329507,183809.51597302727,190482.52595339465,197390.61087534114,204541.87042191546
East Midlands,E12000004,gdhi_per_head_gbp,9672.0,9849.0,10285.0,10672.0,11117.0,11384.0,11856.0,12309.0,12643.0,13052.0,13803.0,13968.0,14199.0,14221.0,14499.0,14981.0,15434.0,15913.0,16680.0,16703.0,17153.0,17635.0,18208.0,18444.0,18942.0,19879.0,20448.038389918464,21033.137061848807,21634.742759474808,22253.314469126322,22889.32375015591,23543.25507409089,24215.606172789445,24906.888395836544
East Midlands,E12000004,gdhi_total_mn_gbp,39850.0,40703.0,42710.0,44483.0,46577.0,48059.0,50446.0,52822.0,54733.0,56995.0,60800.0,62035.0,63492.0,64096.0,65789.0,68474.0,71066.0,73877.0,78090.0,79032.0,81964.0,84915.0,88199.0,89552.0,92464.0,98101.0,102326.93252844235,106494.22237861865,110153.88246726638,113934.53102369113,117840.03916193605,121874.39832445727,126041.72392483361,130346.25909805583
London,E12000007,gdhi_per_head_gbp,12898.0,13329.0,14169.0,15207.0,15765.0,15982.0,16664.0,17569.0,18587.0,19521.0,20924.0,21540.0,21431.0,21575.0,21391.0,22698.0,23906.0,24890.0,26652.0,27099.0,27599.0,29104.0,29719.0,29245.0,30662.0,32330.0,33106.02347617462,34419.94523133933,35580.851242388104,36860.28750746078,38154.15929577932,39505.234876109695,40898.98791564095,42343.3506884057
London,E12000007,gdhi_total_mn_gbp,90477.0,94173.0,101362.0,110047.0,115438.0,117894.0,123224.0,130588.0,139759.0,148319.0,160976.0,168277.0,170218.0,173927.0,175499.0,188863.0,201744.0,212736.0,230795.0,236948.0,242212.0,257085.0,264193.0,259315.0,269968.0,286734.0,297944.4450086461,312868.2152873334,325304.6081262567,338953.85417066864,352872.0474820548,367459.2861286393,382588.7644840081,398341.8777262081
North East,E12000001,gdhi_per_head_gbp,9107.0,9150.0,9494.0,9987.0,10448.0,10631.0,10962.0,11470.0,11697.0,12121.0,12434.0,12721.0,13291.0,13509.0,13654.0,14227.0,14564.0,14959.0,15516.0,15718.0,16038.0,16474.0,16991.0,17239.0,17592.0,18388.0,18804.18747929994,19070.830353747355,19689.925196669323,20311.232707781586,20706.319499180532,21212.760789457217,21867.228631406568,22416.182777491336
North East,E12000001,gdhi_total_mn_gbp,23387.0,23431.0,24212.0,25401.0,26538.0,27009.0,27848.0,29140.0,29795.0,30941.0,31856.0,32683.0,34230.0,34945.0,35451.0,36975.0,37914.0,39050.0,40523.0,41153.0,42080.0,43317.0,44800.0,45467.0,46574.0,49319.0,51237.74406453387,52648.42179932254,54356.82864469665,56072.41711599461,57162.916819595484,58561.13067217254,60367.83445581519,61883.336483753505
North West,E12000002,gdhi_per_head_gbp,9608.0,9752.0,10261.0,10710.0,11091.0,11383.0,11768.0,12215.0,12598.0,13014.0,13531.0,13756.0,14260.0,14378.0,14506.0,14972.0,15427.0,15828.0,16551.0,16664.0,17108.0,17629.0,18229.0,18372.0,18805.0,19752.0,20308.295989733455,20879.69714952274,21466.59783210736,22069.402257156846,22688.524746955343,23324.389967435134,23977.433174673704,24648.100466971257
North West,E12000002,gdhi_total_mn_gbp,65278.0,66235.0,69497.0,72551.0,75120.0,77236.0,80195.0,83555.0,86551.0,89819.0,93757.0,95724.0,99623.0,100933.0,102352.0,105992.0,109608.0,113028.0,118881.0,120551.0,124473.0,128977.0,134222.0,135598.0,139613.0,148447.0,155039.4819163502,161554.86104047735,166073.89533798993,170722.19158191164,175501.01802075823,180412.32191095065,185458.5461355275,190642.50317236196
