region_code,region,year,metric,value,ci_lower,ci_upper,formula,method,data_type
E12000001,North East,2009,productivity_gbp_per_job,43706.06408013379,42337.2966548389,45111.76429105251,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2009,income_per_worker_gbp,33796.356023063636,32492.182015421873,35123.43279026227,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2010,productivity_gbp_per_job,44370.8602595406,42994.51197326717,45804.82245220701,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2010,income_per_worker_gbp,34543.52328235908,33224.68516423072,35872.54052597011,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2011,productivity_gbp_per_job,45340.44749739571,43922.174806607814,46767.05797274177,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2011,income_per_worker_gbp,35197.24024722818,33848.972048660835,36599.50474531902,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2012,productivity_gbp_per_job,46731.586229697874,45269.85245289501,48255.58096593433,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2012,income_per_worker_gbp,36932.985012798774,35498.0834914934,38339.26303793738,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2013,productivity_gbp_per_job,47170.4530340843,45695.06966477174,48677.41358401316,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2013,income_per_worker_gbp,37681.734073133826,36241.46397701251,39182.920791089426,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2014,productivity_gbp_per_job,47266.43805069504,45779.078457932796,48805.12468033805,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2014,income_per_worker_gbp,37757.68038100432,36316.10350868606,39211.35408972293,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2015,productivity_gbp_per_job,47579.495807032254,46109.27849129083,49106.53256986654,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2015,income_per_worker_gbp,38113.67253410825,36653.54548398037,39655.76670556856,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2016,productivity_gbp_per_job,49491.77941370141,47971.41635734663,51063.50945904852,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2016,income_per_worker_gbp,39669.00566157012,38148.64518541214,41241.55141893172,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2017,productivity_gbp_per_job,49558.820281271255,48009.73848926947,51149.15607845077,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2017,income_per_worker_gbp,39530.3707493451,38040.126281785284,41072.13652369831,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2018,productivity_gbp_per_job,50895.426597192534,49292.24569627463,52513.86340997937,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2018,income_per_worker_gbp,41080.37811565047,39519.257732325554,42678.96617296541,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2019,productivity_gbp_per_job,52404.68406665652,50738.52890128773,54090.29944771531,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2019,income_per_worker_gbp,41880.92330741799,40261.63929749701,43528.31982882647,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2020,productivity_gbp_per_job,50686.8840220187,49095.00296285897,52298.90660309044,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2020,income_per_worker_gbp,43663.06878816309,41988.8853673386,45364.87399685342,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000001,North East,2021,productivity_gbp_per_job,52667.113891981484,51049.082883707386,54364.8959740975,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
