region_code,region_name,region_level,metric_id,period,value,unit,freq,source,vintage,metric,year,data_type,ci_lower,ci_upper,method
E12000001,North East,ITL1,emp_total_jobs,2009,1012000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2009,historical,,,
E12000002,North West,ITL1,emp_total_jobs,2009,3012000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2009,historical,,,
E12000003,Yorkshire and The Humber,ITL1,emp_total_jobs,2009,2224000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2009,historical,,,
E12000004,East Midlands,ITL1,emp_total_jobs,2009,1907000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2009,historical,,,
E12000005,West Midlands,ITL1,emp_total_jobs,2009,2302000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2009,historical,,,
E12000006,East,ITL1,emp_total_jobs,2009,2423000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2009,historical,,,
E12000007,London,ITL1,emp_total_jobs,2009,4143000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2009,historical,,,
E12000008,South East,ITL1,emp_total_jobs,2009,3727000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2009,historical,,,
E12000009,South West,ITL1,emp_total_jobs,2009,2314000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2009,historical,,,
W92000004,Wales,ITL1,emp_total_jobs,2009,1171000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2009,historical,,,
S92000003,Scotland,ITL1,emp_total_jobs,2009,2407000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2009,historical,,,
E12000001,North East,ITL1,emp_total_jobs,2010,1011000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2010,historical,,,
E12000002,North West,ITL1,emp_total_jobs,2010,2980000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2010,historical,,,
E12000003,Yorkshire and The Humber,ITL1,emp_total_jobs,2010,2202000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2010,historical,,,
E12000004,East Midlands,ITL1,emp_total_jobs,2010,1906000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2010,historical,,,
E12000005,West Midlands,ITL1,emp_total_jobs,2010,2312000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2010,historical,,,
E12000006,East,ITL1,emp_total_jobs,2010,2400000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2010,historical,,,
E12000007,London,ITL1,emp_total_jobs,2010,4206000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2010,historical,,,
E12000008,South East,ITL1,emp_total_jobs,2010,3783000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2010,historical,,,
E12000009,South West,ITL1,emp_total_jobs,2010,2284000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2010,historical,,,
W92000004,Wales,ITL1,emp_total_jobs,2010,1166000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2010,historical,,,
S92000003,Scotland,ITL1,emp_total_jobs,2010,2331000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2010,historical,,,
E12000001,North East,ITL1,emp_total_jobs,2011,1006000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2011,historical,,,
E12000002,North West,ITL1,emp_total_jobs,2011,2977000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2011,historical,,,
E12000003,Yorkshire and The Humber,ITL1,emp_total_jobs,2011,2184000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2011,historical,,,
E12000004,East Midlands,ITL1,emp_total_jobs,2011,1902000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2011,historical,,,
E12000005,West Midlands,ITL1,emp_total_jobs,2011,2302000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2011,historical,,,
E12000006,East,ITL1,emp_total_jobs,2011,2405000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2011,historical,,,
E12000007,London,ITL1,emp_total_jobs,2011,4304000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2011,historical,,,
E12000008,South East,ITL1,emp_total_jobs,2011,3756000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2011,historical,,,
E12000009,South West,ITL1,emp_total_jobs,2011,2238000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2011,historical,,,
W92000004,Wales,ITL1,emp_total_jobs,2011,1170000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2011,historical,,,
S92000003,Scotland,ITL1,emp_total_jobs,2011,2350000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2011,historical,,,
E12000001,North East,ITL1,emp_total_jobs,2012,1001000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2012,historical,,,
E12000002,North West,ITL1,emp_total_jobs,2012,2987000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2012,historical,,,
E12000003,Yorkshire and The Humber,ITL1,emp_total_jobs,2012,2164000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2012,historical,,,
E12000004,East Midlands,ITL1,emp_total_jobs,2012,1903000.0,jobs,A,NOMIS,2025-10-30T18:51:00Z,emp_total_jobs,2012,historical,,,
