region_code,metric,year,value,ci_lower,ci_upper,ci_width,cv
TLC3,emp_total_jobs,2025,273557.1226790833,273557.1226790833,273557.1226790833,0.0,0.0
TLC3,emp_total_jobs,2026,275027.843321776,275027.843321776,275027.843321776,0.0,0.0
TLC3,emp_total_jobs,2027,276499.7334470705,276499.7334470705,276499.7334470705,0.0,0.0
TLC3,emp_total_jobs,2028,277972.7110141733,277972.7110141733,277972.7110141733,0.0,0.0
TLC3,emp_total_jobs,2029,279446.693253406,279446.693253406,279446.693253406,0.0,0.0
TLC3,emp_total_jobs,2030,280921.5966733171,280921.5966733171,280921.5966733171,0.0,0.0
TLC3,emp_total_jobs,2031,282397.33706804796,282397.33706804796,282397.33706804796,0.0,0.0
TLC3,emp_total_jobs,2032,283873.82952494745,283873.82952494745,283873.82952494745,0.0,0.0
TLC3,emp_total_jobs,2033,285350.98843243544,285350.98843243544,285350.98843243544,0.0,0.0
TLC3,emp_total_jobs,2034,284433.48406675964,284433.48406675964,284433.48406675964,0.0,0.0
TLC3,emp_total_jobs,2035,285239.11971305456,285239.11971305456,285239.11971305456,0.0,0.0
TLC3,emp_total_jobs,2036,285983.8418960205,285983.8418960205,285983.8418960205,0.0,0.0
TLC3,emp_total_jobs,2037,286671.635296639,286671.635296639,286671.635296639,0.0,0.0
TLC3,emp_total_jobs,2038,287306.2048635651,287306.2048635651,287306.2048635651,0.0,0.0
TLC3,emp_total_jobs,2039,287890.99262357294,287890.99262357294,287890.99262357294,0.0,0.0
TLC3,emp_total_jobs,2040,288429.19393527857,288429.19393527857,288429.19393527857,0.0,0.0
TLC3,emp_total_jobs,2041,288923.7731210124,288923.7731210124,288923.7731210124,0.0,0.0
TLC3,emp_total_jobs,2042,289377.4784318021,289377.4784318021,289377.4784318021,0.0,0.0
TLC3,emp_total_jobs,2043,289792.85631706595,289792.85631706595,289792.85631706595,0.0,0.0
TLC3,emp_total_jobs,2044,290172.2649841386,290172.2649841386,290172.2649841386,0.0,0.0
TLC3,emp_total_jobs,2045,290517.8872437651,290517.8872437651,290517.8872437651,0.0,0.0
TLC3,emp_total_jobs,2046,288565.4712723269,288565.4712723269,288565.4712723269,0.0,0.0
TLC3,emp_total_jobs,2047,285679.76337477,285679.76337477,285679.76337477,0.0,0.0
TLC3,emp_total_jobs,2048,282815.6853723381,282815.6853723381,282815.6853723381,0.0,0.0
TLC3,emp_total_jobs,2049,279973.1511008423,279973.1511008423,279973.1511008423,0.0,0.0
TLC3,emp_total_jobs,2050,284491.20069844445,284491.20069844445,284491.20069844445,0.0,0.0
TLC3,gdhi_total_mn_gbp,2024,13728.273709060924,13025.041492645607,14459.203183657659,1434.161691012052,0.05223386863511753
TLC3,gdhi_total_mn_gbp,2025,14214.362908636722,13197.605289660307,15298.585581889929,2100.980292229622,0.07390342802325159
TLC3,gdhi_total_mn_gbp,2026,14596.707025820033,13329.481161271242,15973.061161792317,2643.580000521075,0.09055398576695624
TLC3,gdhi_total_mn_gbp,2027,15106.435594365303,13603.246472478919,16763.822631094936,3160.576158616017,0.1046102549761941
TLC3,gdhi_total_mn_gbp,2028,15624.715049696704,13897.543065356858,17554.06896899219,3656.525903635331,0.1170109628241287
TLC3,gdhi_total_mn_gbp,2029,16156.50568538078,14211.253783862094,18354.987693883544,4143.73391002145,0.12823731785552211
TLC3,gdhi_total_mn_gbp,2030,16702.13587883267,14541.367246302474,19170.365779529064,4628.99853322659,0.1385750471319395
TLC3,gdhi_total_mn_gbp,2031,17261.94251101699,14886.045073407426,20002.83807955773,5116.793006150303,0.1482102319273929
TLC3,gdhi_total_mn_gbp,2032,17836.27111687316,15244.107619541943,20854.402021211277,5610.294401669335,0.15727206558219395
TLC3,gdhi_total_mn_gbp,2033,18425.476040288755,15614.776599712066,21726.67541514603,6111.898815433964,0.16585457010906574
TLC3,gdhi_total_mn_gbp,2034,19029.920593620747,15997.533801710917,22621.038192034895,6623.504390323978,0.17402869228325432
TLC3,gdhi_total_mn_gbp,2035,19649.977221774006,16392.037936741115,23538.716012744044,7146.678076002929,0.1818495257104864
TLC3,gdhi_total_mn_gbp,2036,20286.027670840045,16798.07297103419,24480.832409661598,7682.759438627407,0.1893608636271091
TLC3,gdhi_total_mn_gbp,2037,20938.463161307627,17215.514585244586,25448.442812516187,8232.928227271601,0.196598197390277
TLC3,gdhi_total_mn_gbp,2038,21607.684565854626,17644.307605863367,26442.557614552003,8798.250008688636,0.20359076378299232
TLC3,gdhi_total_mn_gbp,2039,22294.10259173495,18084.450357454756,27464.158330378094,9379.707972923337,0.21036298577904317
TLC3,gdhi_total_mn_gbp,2040,22998.137967777875,18535.98353493979,28514.20924639587,9978.225711456078,0.21693551289752946
TLC3,gdhi_total_mn_gbp,2041,23720.22163601893,18998.98211715748,29593.666042708075,10594.683925550595,0.22332598927875674
TLC3,gdhi_total_mn_gbp,2042,24460.79494798397,19473.549380162207,30703.482328188085,11229.932948025878,0.2295496318068648
TLC3,gdhi_total_mn_gbp,2043,25220.30986565439,19959.812393287506,31844.614705832337,11884.80231254483,0.23561967271325704
TLC3,gdhi_total_mn_gbp,2044,25999.229167140948,20457.91858337259,33018.02678315094,12560.108199778351,0.24154770356908137
TLC3,gdhi_total_mn_gbp,2045,26798.02665709912,20968.03308226549,34224.692412646924,13256.659330381433,0.24734394625414677
TLC3,gdhi_total_mn_gbp,2046,27617.187381923104,21490.33665792926,35465.59836223093,13975.261704301669,0.25301746899557936
TLC3,gdhi_total_mn_gbp,2047,28457.207849753904,22025.02408668744,36741.74655820621,14716.722471518766,0.2585763604992265
TLC3,gdhi_total_mn_gbp,2048,29318.59625534873,22572.30286332922,38054.15600429991,15481.853140970692,0.2640278716984321
TLC3,gdhi_total_mn_gbp,2049,30201.872709853633,23132.39217309605,39403.864452905545,16271.472279809495,0.26937853218785307
TLC3,gdhi_total_mn_gbp,2050,31107.569475528802,23705.522068919512,40791.92988536977,17086.407816450257,0.2746342466564531
TLC3,nominal_gva_mn_gbp,2024,17096.17760739268,15818.988439922696,18448.082694841803,2629.0942549191077,0.07689128866391287
TLC3,nominal_gva_mn_gbp,2025,17531.24904538552,15713.15894792474,19529.634631732966,3816.4756838082267,0.10884779726555703
TLC3,nominal_gva_mn_gbp,2026,17953.767124210015,15703.441244301446,20495.01521267625,4791.573968374805,0.13344202181149878
TLC3,nominal_gva_mn_gbp,2027,18425.458623577215,15787.44062784236,21471.223189304117,5683.782561461758,0.15423720726790457
TLC3,nominal_gva_mn_gbp,2028,18945.162362847466,15940.807874030264,22481.13529101746,6540.327416987197,0.17261207087391206
TLC3,nominal_gva_mn_gbp,2029,19512.026286587214,16150.61308050997,23536.811835380642,7386.198754870673,0.18927298083715757
TLC3,nominal_gva_mn_gbp,2030,20125.47573569908,16408.93350842544,24645.85328141843,8236.919772992987,0.20463913204253179
TLC3,nominal_gva_mn_gbp,2031,20785.186072147077,16710.492650927103,25813.71335721152,9103.220706284417,0.2189833825563648
TLC3,nominal_gva_mn_gbp,2032,21491.05930504261,17051.59395334158,27044.72479218342,9993.13083884184,0.23249507381185897
TLC3,nominal_gva_mn_gbp,2033,22243.204291103168,17429.56970417002,28342.61641987907,10913.04671570905,0.24531192927257445
TLC3,nominal_gva_mn_gbp,2034,22403.273901872428,17347.93273121325,28887.313273125746,11539.380541912498,0.25753781774163054
TLC3,nominal_gva_mn_gbp,2035,23152.446257411404,17725.946142082896,30193.693879804934,12467.747737722038,0.26925335662383726
TLC3,nominal_gva_mn_gbp,2036,23942.83264473109,18132.830205342187,31565.84128076168,13433.011075419494,0.2805225946892209
TLC3,nominal_gva_mn_gbp,2037,24774.796267429363,18567.613279359713,33006.23632705764,14438.623047697925,0.2913974123508722
TLC3,nominal_gva_mn_gbp,2038,25648.83555865893,19029.578129108533,34517.39794416696,15487.819815058425,0.3019205253906703
TLC3,nominal_gva_mn_gbp,2039,26565.575918707167,19518.21650877105,36101.915327162314,16583.698818391265,0.3121275983087801
TLC3,nominal_gva_mn_gbp,2040,27525.762804912378,20033.19516265106,37762.471271494425,17729.276108843365,0.32204876999229454
TLC3,nominal_gva_mn_gbp,2041,28530.255981196584,20574.329836805675,39501.85969700858,18927.529860202903,0.33170977983298605
TLC3,nominal_gva_mn_gbp,2042,29580.02476652227,21141.565066777308,41322.99930845492,20181.434241677613,0.34113281515095817
TLC3,nominal_gva_mn_gbp,2043,30676.14414859914,21734.95823074895,43228.944661478534,21493.986430729583,0.35033715982377023
TLC3,nominal_gva_mn_gbp,2044,31819.79165174158,22354.66681937182,45222.89548280999,22868.228663438167,0.3593396982878505
TLC3,nominal_gva_mn_gbp,2045,33012.24486655079,23000.93817701175,47308.20482464736,24307.266647635606,0.3681553124589933
TLC3,nominal_gva_mn_gbp,2046,34254.8795646219,23674.101173782336,49488.386457422144,25814.28528363981,0.3767971981180244
TLC3,nominal_gva_mn_gbp,2047,35549.16833430299,24374.559408901696,51767.12178784525,27392.562378943556,0.3852771198659976
TLC3,nominal_gva_mn_gbp,2048,36896.67968410285,25102.78564531726,54148.2665094214,29045.48086410414,0.39360561861909976
