region_code,metric,year,value,ci_lower,ci_upper,ci_width
TLC3,emp_total_jobs,2025,273557.1226790833,267121.27126684814,280148.03543556837,13026.764168720227
TLC3,emp_total_jobs,2026,275027.843321776,268334.8416337219,281887.7866985176,13552.945064795727
TLC3,emp_total_jobs,2027,276499.7334470705,269542.793775484,283636.23276822583,14093.438992741809
TLC3,emp_total_jobs,2028,277972.7110141733,270745.99410297663,285392.3225145872,14646.328411610564
TLC3,emp_total_jobs,2029,279446.693253406,271945.06047229,287155.25935511617,15210.198882826196
TLC3,emp_total_jobs,2030,280921.5966733171,273140.4356944849,288924.425549927,15783.98985544208
TLC3,emp_total_jobs,2031,282397.33706804796,274332.4373656015,290699.33088825585,16366.893522654369
TLC3,emp_total_jobs,2032,283873.82952494745,275521.2920822344,292479.57745896105,16958.28537672665
TLC3,emp_total_jobs,2033,285350.98843243544,276707.1592785695,294264.83511181944,17557.67583324993
TLC3,emp_total_jobs,2034,284433.48406675964,275569.5487662011,293582.5355906611,18012.986824460037
TLC3,emp_total_jobs,2035,285239.11971305456,276100.775303808,294679.92375302885,18579.14844922087
TLC3,emp_total_jobs,2036,285983.8418960205,276571.11826828547,295716.9148308229,19145.796562537435
TLC3,emp_total_jobs,2037,286671.635296639,276984.6953603383,296697.35498106765,19712.659620729333
TLC3,emp_total_jobs,2038,287306.2048635651,277345.322279486,297624.8334555396,20279.51117605361
TLC3,emp_total_jobs,2039,287890.99262357294,277656.53377393715,298502.6950644947,20846.16129055753
TLC3,emp_total_jobs,2040,288429.19393527857,277921.6032280223,299334.053013143,21412.449785120727
TLC3,emp_total_jobs,2041,288923.7731210124,278143.56094536715,300121.8018161437,21978.240870776528
TLC3,emp_total_jobs,2042,289377.4784318021,278325.2112440149,300868.63007940626,22543.41883539135
TLC3,emp_total_jobs,2043,289792.85631706595,278469.1484531053,301577.0329995675,23107.884546462214
TLC3,emp_total_jobs,2044,290172.2649841386,278577.7718837698,302249.32447645476,23671.55259268498
TLC3,emp_total_jobs,2045,290517.8872437651,278653.299836094,302887.64876721747,24234.348931123444
TLC3,emp_total_jobs,2046,288565.4712723269,276526.0637463857,301129.0512094023,24602.987463016645
TLC3,emp_total_jobs,2047,285679.76337477,273508.7701863605,298392.3592148655,24883.589028504968
TLC3,emp_total_jobs,2048,282815.6853723381,270517.3035240524,295673.1819024423,25155.878378389927
TLC3,emp_total_jobs,2049,279973.1511008423,267551.5393882343,292971.4608129892,25419.921424754895
TLC3,emp_total_jobs,2050,284491.20069844445,271618.39276595874,297974.0894961441,26355.69673018536
TLC3,employment_rate_pct,2025,72.13774682820812,70.0275139618447,74.24797969457153,4.220465732726822
TLC3,employment_rate_pct,2026,71.42088520010383,68.99938482853572,73.84238557167193,4.843000743136201
TLC3,employment_rate_pct,2027,73.09033344956566,69.95055564934692,76.23011124978439,6.279555600437462
TLC3,employment_rate_pct,2028,72.622188095239,69.14096351615115,76.10341267432685,6.962449158175701
TLC3,employment_rate_pct,2029,74.0959486132373,70.0496074154793,78.1422898109953,8.092682395515993
TLC3,employment_rate_pct,2030,73.82174062084835,69.45064587862271,78.19283536307398,8.742189484451274
TLC3,employment_rate_pct,2031,75.13043679392217,70.29217292177032,79.96870066607403,9.676527744303712
TLC3,employment_rate_pct,2032,75.01134621521916,69.86856578967908,80.15412664075924,10.285560851080163
TLC3,employment_rate_pct,2033,76.18345297095098,70.6384080072205,81.72849793468147,11.090089927460966
TLC3,employment_rate_pct,2034,76.18985536952619,70.35723829735456,82.02247244169781,11.665234144343259
TLC3,employment_rate_pct,2035,77.24982984834908,71.0597616850564,83.43989801164176,12.380136326585358
TLC3,employment_rate_pct,2036,77.35826687133829,70.89415359464121,83.82238014803536,12.928226553394154
TLC3,employment_rate_pct,2037,78.32649542545744,71.53720035972356,85.11579049119132,13.578590131467763
TLC3,employment_rate_pct,2038,78.51807309206056,71.46568566866631,85.57046051545481,14.104774846788501
TLC3,employment_rate_pct,2039,79.41134290384335,72.05791672410206,86.76476908358464,14.706852359482582
TLC3,employment_rate_pct,2040,79.67072880332233,72.0633269262307,87.27813068041397,15.214803754183265
TLC3,employment_rate_pct,2041,80.50279281072626,72.61302058026851,88.39256504118401,15.779544460915503
