region_code,metric,year,value,ci_lower,ci_upper,ci_width
TLC3,emp_total_jobs,2025,269726.3616428968,264910.0074074106,274630.28247637086,9720.275068960269
TLC3,emp_total_jobs,2026,270091.0471687287,264828.7570874848,275457.90178897383,10629.144701489015
TLC3,emp_total_jobs,2027,270074.31668942096,264364.732479123,275907.21292984055,11542.480450717558
TLC3,emp_total_jobs,2028,270136.5488744887,263971.70939483517,276445.36304709973,12473.653652264562
TLC3,emp_total_jobs,2029,270215.75281886564,263590.29521873,277007.74419967347,13417.448980943474
TLC3,emp_total_jobs,2030,270000.14639445196,262917.90425789787,277273.16349485767,14355.259236959799
TLC3,emp_total_jobs,2031,269207.1410980745,261682.20996107822,276948.45908316807,15266.249122089852
TLC3,emp_total_jobs,2032,267950.84200920514,259997.5820964563,276147.39011998125,16149.808023524965
TLC3,emp_total_jobs,2033,266632.40997800144,258255.5129374774,275281.02398297406,17025.51104549665
TLC3,emp_total_jobs,2034,265654.1183796928,256845.68008825704,274764.6391710461,17918.95908278905
TLC3,emp_total_jobs,2035,265158.31603765447,255904.01809751993,274747.2786344889,18843.26053696894
TLC3,emp_total_jobs,2036,264967.7204420232,255257.47859658243,275047.3492970636,19789.870700481173
TLC3,emp_total_jobs,2037,264741.7258344935,254577.14497388163,275312.1510770995,20735.006103217864
TLC3,emp_total_jobs,2038,264223.67015149293,253617.016724025,275273.9101268329,21656.89340280791
TLC3,emp_total_jobs,2039,263407.38608187606,252372.86034698712,274924.3755730751,22551.51522608797
TLC3,emp_total_jobs,2040,262408.1539979298,250956.60930042886,274382.25068688556,23425.6413864567
TLC3,emp_total_jobs,2041,261524.8432771095,249654.62663243615,273959.4477927069,24304.821160270745
TLC3,emp_total_jobs,2042,260924.9329751446,248625.97195370082,273832.29560893174,25206.323655230924
TLC3,emp_total_jobs,2043,260562.835134166,247825.87019523393,273954.41403946077,26128.543844226835
TLC3,emp_total_jobs,2044,260239.48808911716,247064.15186005228,274117.43326991313,27053.28140986085
TLC3,emp_total_jobs,2045,259750.29134180455,246146.7802147285,274105.6120794832,27958.831864754728
TLC3,emp_total_jobs,2046,259018.36617832756,245001.94755812053,273836.65593831486,28834.708380194323
TLC3,emp_total_jobs,2047,258129.50309764617,243711.95686977662,273399.9645534041,29688.007683627453
TLC3,emp_total_jobs,2048,257257.89132790483,242441.81407398972,272979.4070517988,30537.59297780905
TLC3,emp_total_jobs,2049,256544.52558736881,241324.0835824821,272724.92919817986,31400.845615697763
TLC3,emp_total_jobs,2050,256012.16419770502,240379.33139381118,272661.6628690729,32282.331475261744
TLC3,employment_rate_pct,2025,71.90213084232764,69.74714131782677,74.0571203666342,4.3099790488074206
TLC3,employment_rate_pct,2026,72.38978948312447,69.70091469043656,75.07866427561237,5.377749585175806
TLC3,employment_rate_pct,2027,73.83758527278697,69.96298887887517,77.71218166650314,7.749192787627976
TLC3,employment_rate_pct,2028,74.34815777697901,69.86178990009688,78.83452565366113,8.972735753564251
TLC3,employment_rate_pct,2029,75.83512093251859,70.46921937260394,81.20102249223639,10.731803119632445
TLC3,employment_rate_pct,2030,76.30306921720765,70.36160275495854,82.24453567925677,11.882932924298231
TLC3,employment_rate_pct,2031,77.82913060155181,71.19074331453177,84.467517888374,13.276774573842232
TLC3,employment_rate_pct,2032,78.2383361853342,71.08002183134032,85.39665053912809,14.316628707787771
TLC3,employment_rate_pct,2033,79.80310290904089,72.05800778807267,87.54819802981046,15.490190241737793
TLC3,employment_rate_pct,2034,80.15168848429913,71.94166806522995,88.3617089031683,16.42004083793836
TLC3,employment_rate_pct,2035,81.75472225398511,73.02536229494328,90.48408221282762,17.458719917884338
TLC3,employment_rate_pct,2036,82.04509864754637,72.90118682183207,91.18901047306066,18.287823651228592
TLC3,employment_rate_pct,2037,83.6860006204973,74.06466777512263,93.30733346567213,19.2426656905495
TLC3,employment_rate_pct,2038,83.92151400101297,73.93104802372079,93.91197997810517,19.980931954384374
TLC3,employment_rate_pct,2039,85.47859832182709,75.0518237150206,95.0,19.948176284979397
TLC3,employment_rate_pct,2040,85.78380761378953,75.01401036166841,95.0,19.98598963833159
TLC3,employment_rate_pct,2041,87.22001488340321,76.051420792879,95.0,18.948579207121
TLC3,employment_rate_pct,2042,87.63448783466274,76.13883701108597,95.0,18.86116298891403
TLC3,employment_rate_pct,2043,88.97202156706523,77.10739987909443,95.0,17.89260012090557
TLC3,employment_rate_pct,2044,89.47565901887182,77.29789073444354,95.0,17.70210926555646
TLC3,employment_rate_pct,2045,90.73265324781367,78.21018301312935,95.0,16.789816986870647
TLC3,employment_rate_pct,2046,91.3090586269352,78.48576458697748,95.0,16.51423541302252
TLC3,employment_rate_pct,2047,92.50031789811545,79.35245764283894,95.0,15.647542357161058
TLC3,employment_rate_pct,2048,93.13611168007468,79.69848214064604,95.0,15.301517859353964
TLC3,employment_rate_pct,2049,94.27372031031727,80.52851094968798,95.0,14.471489050312016
TLC3,employment_rate_pct,2050,94.95798365707321,80.93301624663117,95.0,14.066983753368831
TLC3,gdhi_total_mn_gbp,2024,13767.573232783374,13220.436277307392,14337.353831915707,1116.9175546083152
TLC3,gdhi_total_mn_gbp,2025,14106.207825685873,13319.983995039918,14938.839212985276,1618.8552179453582
TLC3,gdhi_total_mn_gbp,2026,14458.254755588716,13477.572378752257,15510.295526741875,2032.7231479896182
TLC3,gdhi_total_mn_gbp,2027,14938.54776878254,13774.795626028897,16200.618542645427,2425.8229166165293
TLC3,gdhi_total_mn_gbp,2028,15429.320048507147,14091.785854618485,16893.807471622753,2802.0216170042677
TLC3,gdhi_total_mn_gbp,2029,15935.385113803919,14428.56400442295,17599.568373359856,3171.0043689369068
