region_code,metric,year,history_years,method,system_metrics,aic,component_methods,weights
TLC3,emp_total_jobs,2025,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2026,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2027,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2028,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2029,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2030,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2031,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2032,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2033,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2034,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2035,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2036,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2037,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2038,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2039,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2040,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2041,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2042,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2043,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2044,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2045,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2046,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2047,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
TLC3,emp_total_jobs,2048,16,Ensemble(2),['emp_total_jobs'],,"['ARIMA(0, 1, 1)', 'Linear']","[0.5, 0.5]"
