region_code,region_name,region_level,metric_id,period,value,unit,freq,source,vintage,geo_hierarchy,metric,year,region,data_type,ci_lower,ci_upper,method,quality_metrics,itl1_code
TLC3,Tees Valley,ITL2,population_total,1991.0,656181.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1991,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,1992.0,656572.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1992,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,1993.0,656208.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1993,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,1994.0,656800.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1994,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,1995.0,655641.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1995,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,1996.0,654622.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1996,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,1997.0,652274.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1997,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,1998.0,652787.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1998,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,1999.0,651261.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1999,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2000.0,651860.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2000,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2001.0,652233.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2001,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2002.0,652017.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2002,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2003.0,652359.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2003,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2004.0,652441.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2004,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2005.0,653788.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2005,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2006.0,655350.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2006,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2007.0,656668.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2007,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2008.0,658509.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2008,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2009.0,659003.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2009,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2010.0,660753.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2010,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2011.0,663028.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2011,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2012.0,664161.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2012,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2013.0,665405.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2013,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2014.0,667432.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2014,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2015.0,668875.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2015,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2016.0,670923.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2016,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2017.0,672690.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2017,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2018.0,673541.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2018,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2019.0,674626.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2019,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2020.0,674447.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2020,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2021.0,678365.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2021,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2022.0,690947.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2022,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2023.0,695032.75,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2023,Tees Valley,historical,,,,,E12000001
TLC3,Tees Valley,ITL2,population_total,2024.0,695032.75,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2024,Tees Valley,historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,1991.0,1930805.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1991,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,1992.0,1934761.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1992,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,1993.0,1937740.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1993,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,1994.0,1931861.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1994,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,1995.0,1927074.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1995,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,1996.0,1921828.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1996,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,1997.0,1915792.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1997,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,1998.0,1908096.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1998,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,1999.0,1899053.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1999,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2000.0,1891561.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2000,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2001.0,1887857.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2001,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2002.0,1888583.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2002,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2003.0,1888102.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2003,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2004.0,1888061.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2004,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2005.0,1893339.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2005,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2006.0,1897218.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2006,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2007.0,1905377.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2007,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2008.0,1910803.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2008,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2009.0,1916438.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2009,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2010.0,1926115.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2010,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2011.0,1933413.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2011,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2012.0,1934811.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2012,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
