region_code,region_name,metric_id,period,value,data_type,ci_lower,ci_upper,unit
TLC3,Tees Valley,emp_total_jobs,2009,256000.0,historical,,,
TLC3,Tees Valley,emp_total_jobs,2010,260000.0,historical,,,
TLC3,Tees Valley,emp_total_jobs,2011,253000.0,historical,,,
TLC3,Tees Valley,emp_total_jobs,2012,253000.0,historical,,,
TLC3,Tees Valley,emp_total_jobs,2013,253000.0,historical,,,
TLC3,Tees Valley,emp_total_jobs,2014,260000.0,historical,,,
TLC3,Tees Valley,emp_total_jobs,2015,267000.0,historical,,,
TLC3,Tees Valley,emp_total_jobs,2016,258000.0,historical,,,
TLC3,Tees Valley,emp_total_jobs,2017,264000.0,historical,,,
TLC3,Tees Valley,emp_total_jobs,2018,257000.0,historical,,,
TLC3,Tees Valley,emp_total_jobs,2019,265000.0,historical,,,
TLC3,Tees Valley,emp_total_jobs,2020,260000.0,historical,,,
TLC3,Tees Valley,emp_total_jobs,2021,270000.0,historical,,,
TLC3,Tees Valley,emp_total_jobs,2022,266000.0,historical,,,
TLC3,Tees Valley,emp_total_jobs,2023,270000.0,historical,,,
TLC3,Tees Valley,emp_total_jobs,2024,274000.0,historical,,,
TLC3,Tees Valley,emp_total_jobs,2025,273905.2877613623,forecast,265110.75088834757,282699.82463437686,
TLC3,Tees Valley,emp_total_jobs,2026,275779.1270537217,forecast,266781.23182369326,284777.0222837499,
TLC3,Tees Valley,emp_total_jobs,2027,277666.8404327207,forecast,268448.4270540786,286885.2538113626,
TLC3,Tees Valley,emp_total_jobs,2028,279568.409713733,forecast,270113.19134691695,289023.62808054883,
TLC3,Tees Valley,emp_total_jobs,2029,281483.8165438631,forecast,271776.3716820939,291191.2614056321,
TLC3,Tees Valley,emp_total_jobs,2030,283455.22781003773,forecast,273479.49522953894,293430.9603905363,
TLC3,Tees Valley,emp_total_jobs,2031,285446.0822962264,forecast,275188.03462407936,295704.1299683733,
TLC3,Tees Valley,emp_total_jobs,2032,287457.5652033337,forecast,276903.8909394035,298011.2394672637,
TLC3,Tees Valley,emp_total_jobs,2033,289491.2012574715,forecast,278629.24569398945,300353.15682095336,
TLC3,Tees Valley,emp_total_jobs,2034,289114.31353729864,forecast,278025.39165484754,300203.2354197495,
TLC3,Tees Valley,emp_total_jobs,2035,290508.9811009187,forecast,279117.2969647035,301900.6652371336,
TLC3,Tees Valley,emp_total_jobs,2036,291868.2886526484,forecast,280166.6024985933,303569.9748067033,
TLC3,Tees Valley,emp_total_jobs,2037,293200.4957316707,forecast,281181.9440734228,305219.04738991836,
TLC3,Tees Valley,emp_total_jobs,2038,294515.28006356343,forecast,282173.2427966454,306857.3173304812,
TLC3,Tees Valley,emp_total_jobs,2039,295824.52567824913,forecast,283152.4532582925,308496.5980982056,
TLC3,Tees Valley,emp_total_jobs,2040,297039.16159248573,forecast,284034.9090791183,310043.414105853,
TLC3,Tees Valley,emp_total_jobs,2041,298178.80958919285,forecast,284840.0752519282,311517.5439264573,
TLC3,Tees Valley,emp_total_jobs,2042,299257.9138748801,forecast,285582.36892684235,312933.4588229177,
TLC3,Tees Valley,emp_total_jobs,2043,300287.2173832478,forecast,286272.5918412113,314301.8429252842,
TLC3,Tees Valley,emp_total_jobs,2044,301274.8094173432,forecast,286918.9469629239,315630.67187176226,
TLC3,Tees Valley,emp_total_jobs,2045,302226.86867066915,forecast,287527.75978489604,316925.97755644197,
TLC3,Tees Valley,emp_total_jobs,2046,300785.9444876904,forecast,285858.97462971107,315712.91434566944,
TLC3,Tees Valley,emp_total_jobs,2047,298365.24433532386,forecast,283261.67307065224,313468.81559999526,
TLC3,Tees Valley,emp_total_jobs,2048,295959.5914322427,forecast,280682.5312058892,311236.65165859595,
TLC3,Tees Valley,emp_total_jobs,2049,293569.84034947626,forecast,278122.5639700238,309017.11672892846,
TLC3,Tees Valley,emp_total_jobs,2050,298907.5509958688,forecast,282880.00853596424,314935.0934557731,
TLC3,Tees Valley,employment_rate_pct,2005,68.8571246336733,historical,,,
TLC3,Tees Valley,employment_rate_pct,2006,68.97920454718853,historical,,,
TLC3,Tees Valley,employment_rate_pct,2007,69.05745308131354,historical,,,
TLC3,Tees Valley,employment_rate_pct,2008,66.96318607642417,historical,,,
TLC3,Tees Valley,employment_rate_pct,2009,65.78143817251211,historical,,,
TLC3,Tees Valley,employment_rate_pct,2010,65.15765603788405,historical,,,
TLC3,Tees Valley,employment_rate_pct,2011,63.87703747051406,historical,,,
TLC3,Tees Valley,employment_rate_pct,2012,63.73386919737834,historical,,,
TLC3,Tees Valley,employment_rate_pct,2013,64.4701949940262,historical,,,
TLC3,Tees Valley,employment_rate_pct,2014,67.49388237303576,historical,,,
TLC3,Tees Valley,employment_rate_pct,2015,68.07480590543824,historical,,,
TLC3,Tees Valley,employment_rate_pct,2016,68.9714217577874,historical,,,
TLC3,Tees Valley,employment_rate_pct,2017,69.16636474453314,historical,,,
TLC3,Tees Valley,employment_rate_pct,2018,68.45971009931095,historical,,,
TLC3,Tees Valley,employment_rate_pct,2019,68.6874204373979,historical,,,
TLC3,Tees Valley,employment_rate_pct,2020,69.51813218829649,historical,,,
TLC3,Tees Valley,employment_rate_pct,2021,70.33188622644151,historical,,,
TLC3,Tees Valley,employment_rate_pct,2022,68.80853350546424,historical,,,
TLC3,Tees Valley,employment_rate_pct,2023,72.81133132779698,historical,,,
TLC3,Tees Valley,employment_rate_pct,2024,70.4922851395369,historical,,,
TLC3,Tees Valley,gdhi_per_head_gbp,2025,20242.717105269163,forecast,18218.445394742248,22266.98881579608,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2026,20715.785351431467,forecast,18644.20681628832,22787.363886574614,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2027,21366.23650258464,forecast,19229.612852326176,23502.860152843106,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2028,22064.441615118525,forecast,19857.997453606673,24270.88577663038,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2029,22688.805818485747,forecast,20419.925236637173,24957.686400334325,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2030,23342.315308313504,forecast,21008.083777482156,25676.546839144856,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2031,24029.694321798976,forecast,21626.72488961908,26432.663753978875,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2032,24737.943516681673,forecast,22264.149165013507,27211.737868349843,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2033,25467.95184683741,forecast,22921.15666215367,28014.747031521154,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2034,26220.684275857173,forecast,23598.615848271456,28842.752703442893,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2035,26997.20599520675,forecast,24297.485395686075,29696.92659472743,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2036,27798.717315814607,forecast,25018.845584233146,30578.58904739607,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2037,28626.60502940197,forecast,25763.94452646177,31489.265532342168,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2038,29482.519656691602,forecast,26534.267691022444,32430.771622360764,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2039,30368.470000147558,forecast,27331.623000132804,33405.317000162315,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2040,31281.416306028288,forecast,28153.27467542546,34409.55793663112,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2041,32225.50496468872,forecast,29002.95446821985,35448.05546115759,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2042,33198.94124927548,forecast,29879.04712434793,36518.83537420303,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2043,34200.63788214111,forecast,30780.574093927004,37620.70167035523,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2044,35230.01973763295,forecast,31707.01776386966,38753.02171139625,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2045,36286.88378206132,forecast,32658.19540385519,39915.57216026745,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2046,37371.29866006746,forecast,33634.168794060715,41108.42852607421,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2047,38483.532738462105,forecast,34635.179464615896,42331.88601230832,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2048,39624.002577423395,forecast,35661.60231968106,43586.40283516574,GBP
TLC3,Tees Valley,gdhi_per_head_gbp,2049,40793.23606580382,forecast,36713.912459223444,44872.55967238421,GBP
TLC3,Tees Valley,gdhi_total_mn_gbp,1997,5856.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,1998,5745.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,1999,6020.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2000,6331.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2001,6681.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2002,6788.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2003,6957.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2004,7272.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2005,7546.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2006,7824.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2007,8030.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2008,8228.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2009,8617.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2010,8718.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2011,8896.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2012,9284.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2013,9468.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2014,9814.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2015,10109.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2016,10273.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2017,10517.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2018,10803.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2019,11224.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2020,11408.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2021,11715.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2022,12416.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2023,13616.0,historical,,,
TLC3,Tees Valley,gdhi_total_mn_gbp,2024,13762.52877637314,forecast,13423.153042336095,14101.904510409999,
TLC3,Tees Valley,gdhi_total_mn_gbp,2025,14098.418426466005,forecast,13643.283056350438,14553.553796581395,
TLC3,Tees Valley,gdhi_total_mn_gbp,2026,14447.432254564552,forecast,13915.519377145356,14979.345131983588,
TLC3,Tees Valley,gdhi_total_mn_gbp,2027,14924.274335915097,forecast,14330.46071116182,15518.087960668217,
TLC3,Tees Valley,gdhi_total_mn_gbp,2028,15411.220148454328,forecast,14766.745989113599,16055.6943077949,
TLC3,Tees Valley,gdhi_total_mn_gbp,2029,15913.306550958572,forecast,15225.347805144982,16601.26529677201,
TLC3,Tees Valley,gdhi_total_mn_gbp,2030,16430.978315275534,forecast,15704.411682554399,17157.544947996525,
TLC3,Tees Valley,gdhi_total_mn_gbp,2031,16964.692408640465,forecast,16202.923604536953,17726.461212743834,
TLC3,Tees Valley,gdhi_total_mn_gbp,2032,17514.91830044099,forecast,16720.35808872988,18309.478512151956,
TLC3,Tees Valley,gdhi_total_mn_gbp,2033,18082.138275890808,forecast,17256.495869009213,18907.780682772263,
TLC3,Tees Valley,gdhi_total_mn_gbp,2034,18666.84775674408,forecast,17811.321147171617,19522.374366316406,
TLC3,Tees Valley,gdhi_total_mn_gbp,2035,19269.55562919096,forecast,18384.959997192756,20154.15126118903,
TLC3,Tees Valley,gdhi_total_mn_gbp,2036,19890.784579070765,forecast,18977.641658395707,20803.92749974569,
TLC3,Tees Valley,gdhi_total_mn_gbp,2037,20531.07143454687,forecast,19589.673298121765,21472.469570971843,
TLC3,Tees Valley,gdhi_total_mn_gbp,2038,21190.96751638601,forecast,20221.423066731233,22160.511966040656,
TLC3,Tees Valley,gdhi_total_mn_gbp,2039,21871.02155252502,forecast,20873.291802500367,22868.751302549543,
TLC3,Tees Valley,gdhi_total_mn_gbp,2040,22571.81320112303,forecast,21545.73651114569,23597.889891100236,
TLC3,Tees Valley,gdhi_total_mn_gbp,2041,23293.93760174329,forecast,22239.249476046858,24348.625727439583,
TLC3,Tees Valley,gdhi_total_mn_gbp,2042,24038.00575210775,forecast,22954.35409514216,25121.65740907321,
TLC3,Tees Valley,gdhi_total_mn_gbp,2043,24804.644892985736,forecast,23691.601873154905,25917.687912816444,
TLC3,Tees Valley,gdhi_total_mn_gbp,2044,25594.498901367515,forecast,24451.570244977796,26737.42755775709,
TLC3,Tees Valley,gdhi_total_mn_gbp,2045,26408.22869207599,forecast,25234.861006878094,27581.59637727375,
TLC3,Tees Valley,gdhi_total_mn_gbp,2046,27246.51262797347,forecast,26042.09919894268,28450.926057004108,
TLC3,Tees Valley,gdhi_total_mn_gbp,2047,28110.046938918636,forecast,26873.932327250994,29346.16155058614,
TLC3,Tees Valley,gdhi_total_mn_gbp,2048,28999.546149638416,forecast,27731.029845244797,30268.062454031897,
TLC3,Tees Valley,gdhi_total_mn_gbp,2049,29915.743516675593,forecast,28614.08283538614,31217.404197964897,
TLC3,Tees Valley,income_per_worker_gbp,2025,51471.87387908018,forecast,46324.686491172164,56619.0612669882,GBP
TLC3,Tees Valley,income_per_worker_gbp,2026,52387.69303867655,forecast,47148.9237348089,57626.46234254421,GBP
TLC3,Tees Valley,income_per_worker_gbp,2027,53748.85352769116,forecast,48373.96817492204,59123.738880460274,GBP
TLC3,Tees Valley,income_per_worker_gbp,2028,55125.04136012651,forecast,49612.53722411386,60637.545496139166,GBP
TLC3,Tees Valley,income_per_worker_gbp,2029,56533.646396963755,forecast,50880.28175726738,62187.01103666014,GBP
TLC3,Tees Valley,income_per_worker_gbp,2030,57966.74995984561,forecast,52170.07496386105,63763.42495583018,GBP
TLC3,Tees Valley,income_per_worker_gbp,2031,59432.21315973457,forecast,53488.99184376112,65375.43447570803,GBP
TLC3,Tees Valley,income_per_worker_gbp,2032,60930.448249124274,forecast,54837.40342421185,67023.49307403671,GBP
TLC3,Tees Valley,income_per_worker_gbp,2033,62461.788812049854,forecast,56215.60993084487,68707.96769325485,GBP
TLC3,Tees Valley,income_per_worker_gbp,2034,64565.629865765426,forecast,58109.06687918888,71022.19285234198,GBP
TLC3,Tees Valley,income_per_worker_gbp,2035,66330.32671198894,forecast,59697.294040790046,72963.35938318784,GBP
TLC3,Tees Valley,income_per_worker_gbp,2036,68149.8653755521,forecast,61334.87883799688,74964.85191310731,GBP
TLC3,Tees Valley,income_per_worker_gbp,2037,70023.99973203443,forecast,63021.599758830984,77026.39970523787,GBP
TLC3,Tees Valley,income_per_worker_gbp,2038,71952.0138711054,forecast,64756.812483994865,79147.21525821595,GBP
TLC3,Tees Valley,income_per_worker_gbp,2039,73932.41484079261,forecast,66539.17335671335,81325.65632487187,GBP
TLC3,Tees Valley,income_per_worker_gbp,2040,75989.35130341425,forecast,68390.41617307282,83588.28643375568,GBP
TLC3,Tees Valley,income_per_worker_gbp,2041,78120.70091042295,forecast,70308.63081938066,85932.77100146525,GBP
TLC3,Tees Valley,income_per_worker_gbp,2042,80325.38034117973,forecast,72292.84230706176,88357.91837529771,GBP
TLC3,Tees Valley,income_per_worker_gbp,2043,82603.06618822303,forecast,74342.75956940073,90863.37280704535,GBP
TLC3,Tees Valley,income_per_worker_gbp,2044,84953.9958248303,forecast,76458.59624234727,93449.39540731334,GBP
TLC3,Tees Valley,income_per_worker_gbp,2045,87378.82508008425,forecast,78640.94257207583,96116.70758809269,GBP
TLC3,Tees Valley,income_per_worker_gbp,2046,90584.3944083914,forecast,81525.95496755226,99642.83384923055,GBP
TLC3,Tees Valley,income_per_worker_gbp,2047,94213.5435430495,forecast,84792.18918874455,103634.89789735446,GBP
TLC3,Tees Valley,income_per_worker_gbp,2048,97984.8161341904,forecast,88186.33452077137,107783.29774760945,GBP
TLC3,Tees Valley,income_per_worker_gbp,2049,101903.32726639358,forecast,91712.99453975422,112093.65999303294,GBP
TLC3,Tees Valley,nominal_gva_mn_gbp,1998,7567.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,1999,7830.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2000,8114.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2001,8229.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2002,8650.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2003,9284.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2004,9881.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2005,10199.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2006,10711.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2007,10999.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2008,11405.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2009,11444.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2010,11496.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2011,11635.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2012,11810.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2013,12107.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2014,12598.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2015,13243.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2016,13312.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2017,13254.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2018,13542.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2019,13906.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2020,13430.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2021,14304.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2022,15708.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2023,16728.0,historical,,,
