region,region_code,metric,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Bedfordshire and Hertfordshire,TLH2,emp_total_jobs,,,,,,,,,,,,,,,,,,,755000.0,748000.0,754000.0,755000.0,781000.0,820000.0,843000.0,878000.0,905000.0,907000.0,910000.0,908000.0,936000.0,924000.0,958000.0,956000.0,985921.915251522,1008293.6006358427,1023210.0292697649,1037207.7654705343,1051453.5721329646,1064289.1083637467,1074905.7647163256,1083662.6757582068,1092113.1182451488,1101892.1799583572,1113619.5838669795,1126575.3258639558,1139284.4975524,1150545.5023608315,1160061.2081422263,1168794.6319306544,1178158.3228373276,1188915.6423567452,1200888.7458298167,1213179.5382766996,1224824.6565011272,1235427.484802932,1245359.9594356334,1255444.4237932789,1266378.5241982567,1278302.0850597725
Bedfordshire and Hertfordshire,TLH2,employment_rate_pct,,,,,,,,,,,,,,,77.63738196495468,77.22157003565421,75.00922587792898,76.1733441144464,75.2988145664733,74.72698216253286,73.47616924849262,74.55308912596021,75.47302929338431,77.15068869485007,76.99504975545321,77.7170421851467,78.08128220217992,79.11576672432692,77.70849615721642,79.19190018139716,77.860820980819,76.97435675509232,78.67662118240001,78.59797576598558,78.80164698537973,79.0282291075813,79.25481122978289,79.48139335198447,79.70797547418604,79.93455759638762,80.1611397185892,80.38772184079079,80.61430396299237,80.84088608519396,81.06746820739554,81.29405032959713,81.52063245179868,81.74721457400027,81.97379669620184,82.20037881840344,82.426960940605,82.65354306280659,82.88012518500817,83.10670730720976,83.33328942941134,83.55987155161291,83.78645367381448,84.01303579601607,84.23961791821765,84.46620004041925
Bedfordshire and Hertfordshire,TLH2,gdhi_per_head_gbp,,,,,,,12239.688444294145,12490.507087192085,12865.377413245067,13673.407143457813,14313.412088696758,14686.978877153975,14963.101635975658,15373.323530626167,15870.345583611266,16506.689185538464,17301.753993429593,17685.90428965733,18123.539861594345,18208.049205841446,18257.876310703425,18915.060061674965,19783.172564398377,20450.7558791835,21642.56795202272,21871.57732898403,22422.23869501086,23256.062889634857,23809.688288955644,23547.304522782902,24438.684132157225,25830.703589022327,27904.198720767785,27891.9949939969,28791.11325583114,29905.17067466773,30721.50596183724,31584.70922536852,32523.413291867935,33514.099027494,34495.70819597859,35555.00054828595,36673.39161251859,37861.174580554296,38913.44189599638,39968.18702867138,41406.89220398576,42614.079096235,44199.49856622809,45644.66269078858,46995.344248351415,48667.42935654898,50283.00472827426,51874.505044279984,53532.32840465344,55305.96964293599,57348.84881224755,58847.85584775763,60873.601797438285,62905.16756576653
Bedfordshire and Hertfordshire,TLH2,gdhi_total_mn_gbp,,,,,,,19074.0,19605.0,20371.0,21788.0,22952.0,23674.0,24234.0,24946.0,25943.0,27190.0,28766.0,29725.0,30759.0,31249.0,31713.0,33239.0,35222.0,36893.0,39520.0,40458.0,41682.0,43452.0,44806.0,44590.0,46612.0,49661.0,54568.0,55415.34878555359,57591.62174376659,60332.15552149638,62868.715567117935,65490.0269269029,68213.40707174264,71047.63182464996,73996.82782211463,77065.17153725235,80256.84889890027,83575.99455663789,87026.60022805112,90612.37530482592,94336.53240847461,98201.45263976855,102248.62144686386,106481.63739657594,110904.12859799787,115516.85817466215,120306.39649365772,125279.56232922664,130443.23636353447,135804.401956711,141370.17608840967,147147.83312460425,153144.82334811665,159377.1502750157
Bedfordshire and Hertfordshire,TLH2,income_per_worker_gbp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49266.98829649848,49121.25641377163,49812.39342785825,53717.06448494125,56987.80491834747,57995.45734045605,58459.12153226596,59817.199928303016,61422.17208842583,63084.139684072856,64930.65654466017,66683.40938927725,68873.99205928431,71164.75954621672,73656.88087746338,75901.59384781573,78033.82931722296,80492.28259014024,82822.12634768698,85471.48912121636,87998.66167751845,91356.72243034744,94380.86768647606,96745.29070810246,99639.13769739258,103106.49599787296,106486.36571948693,109819.90127631408,113477.87197899612,117213.16403970632,121010.89139697485,124594.04417845505
Bedfordshire and Hertfordshire,TLH2,nominal_gva_mn_gbp,,,,,,,,26313.0,27798.0,29354.0,30700.0,31770.0,33573.0,34672.0,37054.0,38027.0,39793.0,42055.0,40237.0,39803.0,39731.0,40531.0,43271.0,46326.0,48253.0,50411.0,54406.0,55558.0,57768.0,54293.0,59117.0,62996.0,68887.0,69802.87033156997,72263.00202377043,73857.42116560836,75281.1447347279,76595.78693345924,77871.18205866497,79155.50124794818,80475.83887358739,81851.30426385152,83295.05488662641,84815.89880401346,86419.48086253845,88109.1004994087,89925.20495203101,91868.76250194386,93867.81110668983,95928.00554632962,98050.42795462253,100235.49982917549,102483.29731786065,104793.75720499067,107166.80756371864,109602.44710070956,112100.79006661694,114662.08849211702,117286.73987485455,119975.28587465158
Bedfordshire and Hertfordshire,TLH2,population_total,1513925.0,1522883.0,1527911.0,1535544.0,1542147.0,1547857.0,1558373.0,1569592.0,1583397.0,1593458.0,1603531.0,1611904.0,1619584.0,1622681.0,1634684.0,1647211.0,1662606.0,1680717.0,1697185.0,1716219.0,1736949.0,1757277.0,1780402.0,1803992.0,1826031.0,1849798.0,1858958.0,1868416.0,1881839.0,1893635.0,1907304.0,1922557.0,1955548.0,1986134.0,2000498.6246752702,2019762.1918564416,2045764.0009707776,2072147.8372829396,2097641.60701615,2121829.244610723,2144824.8625785327,2167862.970760605,2190938.293799652,2214225.881753331,2237152.159843652,2258986.5023372816,2279730.471732933,2299581.3942967975,2318863.006391063,2338317.3847316783,2357909.9522771062,2377543.6471384545,2397192.2621048233,2416857.3649817533,2436540.247605072,2456242.0078662364,2475963.6073967316,2495705.912097776,2515469.7205830747,2535255.784107723
Bedfordshire and Hertfordshire,TLH2,productivity_gbp_per_job,,,,,,,,,,,,,,,,,,,53294.03973509934,53212.566844919784,52693.63395225464,53683.44370860927,55404.60947503201,56495.12195121951,57239.620403321474,57415.717539863326,60117.127071823204,61254.68577728776,63481.318681318684,59794.052863436125,63159.18803418803,68177.48917748917,71907.0981210856,73131.95657805895,73427.79329397524,73217.70461651494,73493.55486271498,73790.74040399169,74108.33526440835,74367.41391285139,74760.8553363224,75278.04136972845,76368.3360314736,76951.21328471605,77417.81621505204,78195.38348005054,78598.725474328,79786.05859998593,80980.5825658798,82384.40985118115,82848.61446477872,84349.2557327645,85048.99236471017,86421.83620453853,87426.41806626495,89069.3531328201,89651.44373035835,91905.66412558011,92578.78616065325,94151.05964373788
Bedfordshire and Hertfordshire,TLH2,unemployment_rate_pct,,,,,,,,,,,,,,,4.065342080063457,5.735787967734311,5.971219301544565,5.144052156705298,7.607231273265733,7.281835663981382,7.569638824369215,7.34386332712517,7.8616163292565515,6.5943469712982505,5.2325785534897555,4.148692677988389,4.456765695666109,4.479904212803768,5.6,3.589719984845429,6.568876444796591,5.5,4.8,7.3,6.935,6.5882499999999995,6.408238675706313,6.480353504278965,6.5524683328516184,6.624583161424271,6.696697989996924,6.768812818569576,6.840927647142229,6.9130424757148825,6.985157304287534,7.057272132860186,7.129386961432839,7.201501790005491,7.2736166185781475,7.345731447150799,7.417846275723451,7.489961104296106,7.5620759328687575,7.634190761441408,7.7063055900140585,7.7784204185867125,7.850535247159365,7.922650075732019,7.994764904304672,8.066879732877323
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,emp_total_jobs,,,,,,,,,,,,,,,,,,,1121000.0,1138000.0,1133000.0,1141000.0,1166000.0,1198000.0,1254000.0,1297000.0,1278000.0,1296000.0,1322000.0,1295000.0,1300000.0,1361000.0,1381000.0,1381000.0,1418724.6710223602,1435667.1732258466,1452297.4310740381,1469536.0676488567,1487070.4979157106,1502341.8076327632,1514379.2486840556,1523692.6361074916,1532474.345285732,1543016.212072319,1556164.187130314,1570876.1295899905,1585057.6354373936,1597004.4684368707,1605688.438115054,1613213.0635951904,1621421.5930255824,1631391.398451801,1642902.9481741325,1654765.0480370051,1665663.116928099,1675066.9437338903,1683491.8301315,1692054.1886635867,1701689.6772341158,1712575.4899031676
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,employment_rate_pct,,,,,,,,,,,,,,,79.25015669851838,78.80538345490028,78.76842258836079,78.48552204902275,78.06514122485429,75.37506932714963,76.28884203530896,76.16487029733175,76.41939604667493,76.77625082047898,77.38670727495186,78.97887281293171,79.84241817153558,80.3655082970669,80.19666641221899,80.8510876542358,77.90363072641897,79.96600823763728,80.44069469672385,80.90217324362804,81.78975383740445,82.73551880660246,83.68128377580047,84.6270487449985,85.5728137141965,86.51857868339451,87.46434365259252,88.41010862179053,89.35587359098854,90.30163856018655,91.24740352938456,92.19316849858258,93.13893346778057,94.0846984369786,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,gdhi_per_head_gbp,,,,,,,13388.968392234943,13608.27813544633,14023.108462109716,14854.122548897923,15226.919774828231,15573.20227060102,15831.260535344396,16444.861733333586,16963.376812342995,17882.10543798702,18787.712185984834,19165.278599164085,19417.240702237596,19307.8107701479,19511.483302588418,20092.750458566705,20781.539782373904,21359.32684116331,22709.08304780415,22992.30931937311,23658.9055854276,24487.170306330703,25279.983327618356,24804.10107951017,25583.13776087951,26991.92363940412,29001.834868029462,28575.224724700067,29525.561048274816,30501.412575422997,31280.62511178007,32062.091764439487,32846.447148292165,33729.97259821014,34583.01752565411,35421.294361908935,36507.905174704734,37502.03720764036,38534.349950214964,39587.79592392271,40740.6667073288,42009.5692150635,43329.14981995941,44691.464182523996,46032.14625116995,47678.26068524434,49086.06871521764,50538.65412759755,52213.049214491315,53786.14311642242,55453.43554088658,57261.34525760723,59035.92939896259,60787.13557482402
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,gdhi_total_mn_gbp,,,,,,,27544.0,28138.0,29212.0,31116.0,32013.0,32776.0,33491.0,34960.0,36444.0,38760.0,41144.0,42388.0,43314.0,43530.0,44392.0,46303.0,48508.0,50471.0,54308.0,55655.0,57689.0,60183.0,62592.0,61827.0,64501.0,68954.0,75426.0,75490.51498316697,78515.81406252699,81839.67413498844,84850.57256813659,87940.49671017204,91152.90136625533,94499.49304642717,97986.73526369999,101621.2761372542,105409.90196901161,109359.46555092144,113476.77625632218,117768.43138426503,122240.55557263661,126898.39354097638,131748.2612266004,136793.51437551645,142038.69668674443,147489.29913985048,153152.7326872155,159042.0465079812,165164.85989005535,171529.47249784291,178144.7890387515,185005.25711207406,192110.8507250476,199469.67500798116
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,income_per_worker_gbp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47310.08309559249,47728.437571294024,49637.57972126262,50652.048382276436,54619.24099234458,54713.38363069962,55358.499562359015,56991.831469534205,58390.26248608393,59865.16250677832,61196.975834054014,63014.446270663015,64706.54049520954,66803.51667355324,68638.81678784684,70940.99734116813,72919.47709449432,74896.94901590633,77108.2911564144,79674.29323529484,82125.30435654888,84826.15179025012,87534.73798684863,90818.44778346596,93294.34004616398,96377.59253061317,99337.6942386817,102559.2442252299,105648.78436097864,109646.30814839064,112766.77264792859,115799.41792894749
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,nominal_gva_mn_gbp,,,,,,,,44939.0,47453.0,50140.0,51629.0,54142.0,57680.0,58679.0,61906.0,64197.0,67342.0,70685.0,69442.0,70989.0,73852.0,76441.0,78990.0,82840.0,86105.0,87246.0,90288.0,94745.0,100171.0,101021.0,104987.0,111615.0,120543.0,125912.41896175999,131035.85198975266,134640.9567391008,137977.53853171022,141155.09547895956,144251.68062752948,147336.8026897112,150455.88241657725,153640.47192617186,156911.72833197398,160283.2492768243,163763.26837473674,167356.2845146659,171098.36328131813,174917.27206046548,178847.10147777057,182898.85720973494,187074.8506754213,191376.1379715233,195803.11790057694,200355.9235190115,205034.67118438377,209839.61240672955,214771.2203583786,219830.23327009697,225017.6700926492,230334.82895837884
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,population_total,1961960.0,1977879.0,1985799.0,2000001.0,2024783.0,2040279.0,2057216.0,2067712.0,2083133.0,2094772.0,2102395.0,2104641.0,2115498.0,2125892.0,2148393.0,2167530.0,2189942.0,2211708.0,2230698.0,2254528.0,2275173.0,2304463.0,2334187.0,2362949.0,2391466.0,2420592.0,2438363.0,2457736.0,2475951.0,2492612.0,2521231.0,2554616.0,2600732.0,2640201.0,2658274.972898593,2682298.602441605,2710468.778051545,2743528.4275391814,2775124.69578693,2805153.417453158,2833476.0157867586,2861764.3077586894,2889991.4836025876,2918122.504446953,2945776.206107553,2971802.5921541336,2996238.814302034,3019356.06919391,3041376.8308783625,3062850.591729669,3083929.7645956874,3104886.550302471,3125782.592889389,3146630.010922107,3167437.6757865353,3188212.1743461927,3208958.485699383,3229680.456794838,3250381.1365939276,3271063.010786012
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,productivity_gbp_per_job,,,,,,,,,,,,,,,,,,,61946.47636039251,62380.4920913884,65182.70079435128,66994.74145486415,67744.42538593482,69148.58096828047,68664.27432216906,67267.54047802622,70647.88732394367,73105.70987654322,75772.31467473524,78008.4942084942,80759.23076923077,82009.55180014695,87286.74873280231,91156.94329271758,92322.50722310606,93707.92737279178,95067.93851591687,95990.29298216036,96983.76113227937,98152.94272195251,99248.89783952848,100789.56915030493,102209.759119523,104022.93286808852,105113.74781440465,106562.65602678293,107727.52367189867,109571.61689036137,111311.97231682326,113505.98767785369,115454.27301565012,117732.20448015281,119094.31517888492,120858.82053415768,123046.67639543765,125092.50215304688,127492.74985941983,129913.1726747244,132873.04895224574,134483.97026790594
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,unemployment_rate_pct,,,,,,,,,,,,,,,3.4050562443649746,4.522593656043544,4.004638868343801,4.0148122376419115,5.015978854650656,6.710183019478903,6.063442102712768,5.93224385283336,5.839119287508865,4.931042655995749,4.321680618177243,3.7485534105397926,3.187962058920602,2.8932875793872546,3.219870286821942,3.158305893761327,4.53090302389964,3.493053056526253,4.996760073387971,3.954558773130041,3.7718188536562094,3.628007827391175,3.4841968011261404,3.340385774861107,3.1965747485960723,3.052763722331039,2.9089526960660046,2.765141669800971,2.6268845863109225,2.495540356995376,2.3707633391456073,2.252225172188327,2.1396139135789105,2.032633217899965,1.9310015570049666,1.8344514791547182,1.742728905196982,1.655592459937133,1.5728128369402763,1.4941721950932625,1.4194635853385993,1.3484904060716694,1.2810658857680859,1.2170125914796814,1.1561619619056973,1.0983538638104124
Cambridgeshire and Peterborough,TLH4,emp_total_jobs,,,,,,,,,,,,,,,,,,,376000.0,378000.0,375000.0,377000.0,387000.0,409000.0,423000.0,434000.0,447000.0,448000.0,456000.0,455000.0,460000.0,457000.0,472000.0,477000.0,491929.6585512301,497513.441531406,503264.81640852586,509581.3879101308,516005.0059543912,521762.7021688389,526426.8969119602,530177.999449546,533779.6450065932,538032.846879115,543240.9268272592,549054.2304106756,554758.3552883285,559776.4757793962,564062.5048560252,568309.0022507263,572861.9576555312,578092.5442410241,583914.2876874207,589890.5026712463,595552.768169749,600708.2356989599,605537.7537290582,610441.1745018415,615757.7181630643,621555.3722516109
Cambridgeshire and Peterborough,TLH4,employment_rate_pct,,,,,,,,,,,,,,,77.72377625450976,74.97114079630774,76.49229897454423,76.75411663995573,75.4793780191314,74.4633178980771,73.91252403104234,71.56077124829042,75.10345178879592,78.7342154362648,78.55696822463722,77.92205126064354,77.6022522657186,78.7360515927105,79.52501545354014,77.60093141348183,77.91947845393032,79.0870152264589,78.66562497626356,76.55946976997168,76.84059016710832,76.92119113795901,76.6204736737689,76.31975620957877,76.01903874538866,75.71832128119853,75.41760381700841,75.11688635281828,74.81616888862817,74.51545142443804,74.21473396024791,73.9140164960578,73.61329903186767,73.31258156767754,73.01186410348743,72.71114663929731,72.4104291751072,72.10971171091707,71.80899424672695,71.50827678253683,71.20755931834671,70.90684185415658,70.60612438996645,70.30540692577634,70.00468946158621,69.70397199739608
