region_code,region_name,period,data_type,emp_total_jobs,employment_rate_pct,gdhi_per_head_gbp,gdhi_total_mn_gbp,income_per_worker_gbp,nominal_gva_mn_gbp,population_total,productivity_gbp_per_job,unemployment_rate_pct
TLC3,Tees Valley,1991,historical,,,,,,,656181.0,,
TLC3,Tees Valley,1992,historical,,,,,,,656572.0,,
TLC3,Tees Valley,1993,historical,,,,,,,656208.0,,
TLC3,Tees Valley,1994,historical,,,,,,,656800.0,,
TLC3,Tees Valley,1995,historical,,,,,,,655641.0,,
TLC3,Tees Valley,1996,historical,,,,,,,654622.0,,
TLC3,Tees Valley,1997,historical,,,,5856.0,,,652274.0,,
TLC3,Tees Valley,1998,historical,,,,5745.0,,7567.0,652787.0,,
TLC3,Tees Valley,1999,historical,,,,6020.0,,7830.0,651261.0,,
TLC3,Tees Valley,2000,historical,,,,6331.0,,8114.0,651860.0,,
TLC3,Tees Valley,2001,historical,,,,6681.0,,8229.0,652233.0,,
TLC3,Tees Valley,2002,historical,,,,6788.0,,8650.0,652017.0,,
TLC3,Tees Valley,2003,historical,,,,6957.0,,9284.0,652359.0,,
TLC3,Tees Valley,2004,historical,,,,7272.0,,9881.0,652441.0,,
TLC3,Tees Valley,2005,historical,,68.8571246336733,,7546.0,,10199.0,653788.0,,5.857954107447674
TLC3,Tees Valley,2006,historical,,68.97920454718853,,7824.0,,10711.0,655350.0,,5.841515678644998
TLC3,Tees Valley,2007,historical,,69.05745308131354,,8030.0,,10999.0,656668.0,,6.774275432943284
TLC3,Tees Valley,2008,historical,,66.96318607642417,,8228.0,,11405.0,658509.0,,7.295195357998144
TLC3,Tees Valley,2009,historical,256000.0,65.78143817251211,,8617.0,,11444.0,659003.0,,9.24355655437077
TLC3,Tees Valley,2010,historical,260000.0,65.15765603788405,,8718.0,,11496.0,660753.0,,10.472597778595027
TLC3,Tees Valley,2011,historical,253000.0,63.87703747051406,,8896.0,,11635.0,663028.0,,11.190988615865393
TLC3,Tees Valley,2012,historical,253000.0,63.73386919737834,,9284.0,,11810.0,664161.0,,13.019325735777922
