region,region_code,metric,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Bedfordshire and Hertfordshire,TLH2,emp_total_jobs,,,,,,,,,,,,,,,,,,,755000.0,748000.0,754000.0,755000.0,781000.0,820000.0,843000.0,878000.0,905000.0,907000.0,910000.0,908000.0,936000.0,924000.0,958000.0,956000.0,982338.0114823724,1001477.223326366,1018407.4611643535,1036804.7773376621,1055471.3312398947,1068916.5999725529,1080135.210455353,1089483.4078232578,1098519.1015187835,1108885.2068746532,1121204.807314832,1134395.8812564507,1146870.7340686684,1157484.5340848237,1166135.9081777218,1174120.5584675374,1182735.7848218686,1192744.1056050316,1203963.0695267166,1215489.5487961853,1226357.7398863225,1236171.645741627,1245304.9473605147,1254580.5500801895,1264694.7789170241,1275785.5031207593
Bedfordshire and Hertfordshire,TLH2,employment_rate_pct,,,,,,,,,,,,,,,77.63738196495468,77.22157003565421,75.00922587792898,76.1733441144464,75.2988145664733,74.72698216253286,73.47616924849262,74.55308912596021,75.47302929338431,77.15068869485007,76.99504975545321,77.7170421851467,78.08128220217992,79.11576672432692,77.70849615721642,79.19190018139716,77.860820980819,76.97435675509232,78.67662118240001,78.59797576598558,78.52856750853668,78.37933561753135,78.24430501858548,78.12212428007945,78.01157057611591,77.91153744806724,77.82102373076562,77.73912353250559,77.66501716857533,77.59796295757667,77.53728979842818,77.48239045376019,77.43271547247893,77.38776769067542,77.34709725584187,77.3102971245967,77.27699898885743,77.2468695896897,77.2196073819398,77.19493951626941,77.17261910838776,77.15242276815061,77.13414836379667,77.11761299894489,77.10265118210614,77.08911317038863
Bedfordshire and Hertfordshire,TLH2,gdhi_per_head_gbp,,,,,,,12239.688444294145,12490.507087192085,12865.377413245067,13673.407143457813,14313.412088696758,14686.978877153975,14963.101635975658,15373.323530626167,15870.345583611266,16506.689185538464,17301.753993429593,17685.90428965733,18123.539861594345,18208.049205841446,18257.876310703425,18915.060061674965,19783.172564398377,20450.7558791835,21642.56795202272,21871.57732898403,22422.23869501086,23256.062889634857,23809.688288955644,23547.304522782902,24438.684132157225,25830.703589022327,27904.198720767785,27817.31113076278,28930.098611975824,29859.94592111866,30875.00884886746,31851.509585338234,32875.15601576958,33926.583859937375,35036.35231264802,36166.60517271448,37352.22843584878,38556.83908426221,39808.93608345369,41100.412474770914,42452.311269028556,43781.872845922226,45236.78798067663,46709.5956740219,48203.40751578901,49783.25730424348,51415.33589930324,53071.598831199604,54794.949187514045,56549.149720677495,58413.282974249814,60304.64082523053,62215.51024771428,64269.0186076396
Bedfordshire and Hertfordshire,TLH2,gdhi_total_mn_gbp,,,,,,,19074.0,19605.0,20371.0,21788.0,22952.0,23674.0,24234.0,24946.0,25943.0,27190.0,28766.0,29725.0,30759.0,31249.0,31713.0,33239.0,35222.0,36893.0,39520.0,40458.0,41682.0,43452.0,44806.0,44590.0,46612.0,49661.0,54568.0,55213.310306896055,57545.75806387249,59905.920447488636,62359.83944068971,64911.108777585825,67561.11584602832,70315.5414836122,73178.26663716765,76153.28245535365,79244.68212185387,82456.64706056005,85793.42457294578,89259.29226219442,92858.50178558126,96595.18976182632,100482.03115099955,104523.57407128607,108724.82980380046,113091.20761205874,117628.46962202206,122342.7002212922,127240.28602957979,132327.90360871365,137612.51287145828,143101.35471386116,148801.9518025731,154722.11174252193
Bedfordshire and Hertfordshire,TLH2,income_per_worker_gbp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53745.6098851753,56951.091486467456,57779.97735785711,58623.570768361424,59869.23990275277,61242.41514560517,62642.79979917368,64014.127058193495,65812.34148125148,67763.10257079705,69949.25755948972,72176.08792111615,74385.88100812845,76570.67445645032,78774.85062831221,80989.16035289981,83445.38456569078,86227.58082221009,89090.22514180199,91996.47905740922,94865.10275349091,97675.37270344721,100681.45319477709,103941.020629538,107121.50445400993,110549.02778506422,114065.65252716868,117658.53363308067,121323.31527954822
Bedfordshire and Hertfordshire,TLH2,nominal_gva_mn_gbp,,,,,,,,26313.0,27798.0,29354.0,30700.0,31770.0,33573.0,34672.0,37054.0,38027.0,39793.0,42055.0,40237.0,39803.0,39731.0,40531.0,43271.0,46326.0,48253.0,50411.0,54406.0,55558.0,57768.0,54293.0,59117.0,62996.0,68887.0,70245.62675551159,72966.83113666032,74830.62126759792,76539.78655334824,78155.95734775686,79729.85562714143,81294.26958448137,82874.58739354556,84488.45819152496,86147.79039534653,87860.38700427375,89631.22651918692,91463.44211109301,93359.06739777302,95319.62047364947,97344.47791644365,99452.93654674735,101642.30578994266,103908.62300199566,106241.87056752674,108638.35552796467,111099.66971987736,113625.92302394334,116217.23592771536,118873.87176153722,121596.24467563543,124384.91829548414
Bedfordshire and Hertfordshire,TLH2,population_16_64,987700.0,990241.0,989795.0,990623.0,993101.0,995904.0,1002656.0,1009701.0,1017550.0,1024697.0,1031940.0,1038035.0,1042986.0,1045113.0,1054669.0,1065711.0,1077768.0,1088025.0,1096948.0,1108296.0,1119926.0,1125219.0,1136241.0,1147465.0,1159254.0,1172968.0,1175554.0,1179583.0,1186574.0,1194307.0,1204240.0,1208880.0,1229625.0,1248784.0,1251322.81750344,1256655.0337190581,1257948.5139427066,1263396.4395510906,1268895.497959559,1274737.7150967603,1280753.6930656866,1286731.3952831656,1292669.5163105463,1298566.077058569,1304418.1873359762,1310221.702614486,1315970.7202792168,1321656.8282062646,1327281.7418946133,1333034.2816890792,1338867.78667763,1344749.6484185758,1350657.1352465039,1356574.4495383294,1362490.6572000254,1368398.232494649,1374292.036163515,1380168.5982485772,1386025.6149899585,1391861.5960299403
Bedfordshire and Hertfordshire,TLH2,population_total,1513925.0,1522883.0,1527911.0,1535544.0,1542147.0,1547857.0,1558373.0,1569592.0,1583397.0,1593458.0,1603531.0,1611904.0,1619584.0,1622681.0,1634684.0,1647211.0,1662606.0,1680717.0,1697185.0,1716219.0,1736949.0,1757277.0,1780402.0,1803992.0,1826031.0,1849798.0,1858958.0,1868416.0,1881839.0,1893635.0,1907304.0,1922557.0,1955548.0,1986134.0,1989141.9933994368,2005897.3998897232,2019026.5845362814,2038230.1846928902,2055666.864388609,2072389.370791965,2089091.3032033993,2105771.026197311,2122426.2277244446,2139053.6779556484,2155648.8864798383,2172205.607637888,2188715.115399613,2205165.1227511396,2221557.107385238,2238165.569925039,2254929.23280498,2271805.14712761,2288763.2876992943,2305782.740985154,2322849.016731166,2339952.1521583316,2357085.3751434204,2374244.1616106834,2391425.5709100403,2408627.77720997
Bedfordshire and Hertfordshire,TLH2,productivity_gbp_per_job,,,,,,,,,,,,,,,,,,,53294.03973509934,53212.566844919784,52693.63395225464,53683.44370860927,55404.60947503201,56495.12195121951,57239.620403321474,57415.717539863326,60117.127071823204,61254.68577728776,63481.318681318684,59794.052863436125,63159.18803418803,68177.48917748917,71907.0981210856,73601.10391001079,74326.60581980168,74724.66036358479,75076.59865005082,75380.52220441154,75609.51740486437,76149.57692175025,76780.4335952261,77512.93619913308,78626.10382998253,79294.7808528138,80042.1609735021,80783.46738949709,81459.26268755097,82540.07288712957,83568.88082925012,84774.82482783687,86051.74873762636,87162.76156970425,88244.1341886366,89437.82363800879,90653.52633967398,92019.48392518469,93367.37718966055,94949.11676915857,96142.18345760314,97683.5209669066
Bedfordshire and Hertfordshire,TLH2,unemployment_rate_pct,,,,,,,,,,,,,,,4.065342080063457,5.735787967734311,5.971219301544565,5.144052156705298,7.607231273265733,7.281835663981382,7.569638824369215,7.34386332712517,7.8616163292565515,6.5943469712982505,5.2325785534897555,4.148692677988389,4.456765695666109,4.479904212803768,5.6,3.589719984845429,6.568876444796591,5.5,4.8,7.3,3.4,3.6213729598736077,3.821679497308621,4.002924347457041,4.166921469697653,4.315312202351175,4.4495816897458536,4.571073746041065,4.681004304571104,4.780473587314676,4.870477116286257,4.9519156770550286,5.025604334109608,5.0922805882974105,5.152611757981012,5.20720165778461,5.25659664177374,5.301291071550392,5.341732263990087,5.378324968139516,5.41143541608104,5.441394988306461,5.468503530284375,5.493032353414388,5.515226950402811,5.535309452236164
