region_code,region_name,itl2_code,year,metric,value,ci_lower,ci_upper,data_type,share
TLC31,Hartlepool and Stockton-on-Tees,TLC3,2017,productivity_gbp_per_job,56103.037272381545,53062.05478110392,59236.273656685415,forecast,
TLC31,Hartlepool and Stockton-on-Tees,TLC3,2018,productivity_gbp_per_job,58857.46910959557,55712.529966815106,62246.06279442324,forecast,
TLC31,Hartlepool and Stockton-on-Tees,TLC3,2019,productivity_gbp_per_job,58608.45463480258,55376.403497359235,61881.70695055674,forecast,
TLC31,Hartlepool and Stockton-on-Tees,TLC3,2020,productivity_gbp_per_job,57696.16251368681,54526.753071036306,61012.34684485566,forecast,
TLC31,Hartlepool and Stockton-on-Tees,TLC3,2021,productivity_gbp_per_job,59211.09233349838,55980.9832135325,62771.858125625884,forecast,
TLC31,Hartlepool and Stockton-on-Tees,TLC3,2022,productivity_gbp_per_job,65998.72177475636,62377.202392416606,69781.24107549869,forecast,
TLC31,Hartlepool and Stockton-on-Tees,TLC3,2023,productivity_gbp_per_job,69248.93087442267,65585.71645114213,73202.64003441791,forecast,
TLC31,Hartlepool and Stockton-on-Tees,TLC3,2024,productivity_gbp_per_job,70961.49925623435,64450.66620665124,77775.86812311072,forecast,
TLC31,Hartlepool and Stockton-on-Tees,TLC3,2025,productivity_gbp_per_job,74339.91365883956,67379.307154554,81294.61646685822,forecast,
TLC31,Hartlepool and Stockton-on-Tees,TLC3,2026,productivity_gbp_per_job,75741.23362998564,68996.83852468536,82677.29096393545,forecast,
TLC31,Hartlepool and Stockton-on-Tees,TLC3,2027,productivity_gbp_per_job,76928.0344843352,69658.50992088087,84190.8621976369,forecast,
TLC31,Hartlepool and Stockton-on-Tees,TLC3,2028,productivity_gbp_per_job,78093.73665677871,70921.15750174067,85549.46539879774,forecast,
TLC31,Hartlepool and Stockton-on-Tees,TLC3,2029,productivity_gbp_per_job,79076.13412711896,71774.7916938187,86523.98435985844,forecast,
TLC31,Hartlepool and Stockton-on-Tees,TLC3,2030,productivity_gbp_per_job,80299.58316044633,72871.45928981654,87750.24678719205,forecast,
TLC31,Hartlepool and Stockton-on-Tees,TLC3,2031,productivity_gbp_per_job,81548.20661592032,74305.5200305386,89061.468083341,forecast,
TLC31,Hartlepool and Stockton-on-Tees,TLC3,2032,productivity_gbp_per_job,83081.82987601547,75484.93522963757,90623.27513363693,forecast,
TLC31,Hartlepool and Stockton-on-Tees,TLC3,2033,productivity_gbp_per_job,84571.05122650063,76780.84782719563,92444.4339603147,forecast,
TLC31,Hartlepool and Stockton-on-Tees,TLC3,2034,productivity_gbp_per_job,86134.5648367544,78007.5119348326,94154.79707336046,forecast,
