region,region_code,metric,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Aberdeen City and Aberdeenshire,TLM50,emp_total_jobs,,,,,,,,,,,,,,,,,,,270000.0,264000.0,274000.0,276000.0,279000.0,294000.0,288000.0,279000.0,276000.0,277000.0,273000.0,261000.0,261000.0,260000.0,264000.0,260000.0,261999.66162222004,258824.3957706291,256411.22309080258,254634.15412013393,252965.32159349797,250873.46594472742,248164.99130845757,245070.70341350982,242046.17658470492,239454.30619237147,237350.37280426643,235486.04212390268,233499.56466846575,231154.92531588097,228475.52158779124,225697.9575857882,223097.28949385163,220812.04937734842,218777.30156670447,216790.85473211954,214654.86756645606,212296.8825409988,209797.60676789828,207320.22334940603,204999.23906647068,202863.20243353397
Aberdeen City and Aberdeenshire,TLM50,employment_rate,,,,,,,,,,,,,,,,,,,57.93494120676337,56.0319212157229,57.54972590367772,57.52516726067655,57.71737106684044,60.305218247456516,58.78390790521095,57.0785597381342,56.695630738891964,57.18532587377939,56.32814756736681,53.90111932592623,53.95125782913368,53.278688524590166,53.444541166467594,52.32862375719518,52.626094354575685,51.94629061648208,51.456028516905114,51.06304901730119,50.639201138291945,50.16464640481138,49.57392038156314,48.882762509168245,48.16483176596018,47.525059053871274,47.0425024489718,46.55388071650043,46.03311119389747,45.52923357867348,44.834540333044984,44.20797439311932,43.59406967988571,42.97894729895797,42.52276091077349,41.98133335127211,41.485956667510976,40.869332499721146,40.25433669729257,39.687223189935715,39.13855938200993,38.584849641194054
Aberdeen City and Aberdeenshire,TLM50,gdhi_per_head_gbp,,,,,,,10895.064513218442,11068.866408672235,10976.078937243985,11683.622490689437,12355.0187991341,12736.911560601578,13045.649558486368,14067.478701046304,15009.187469188366,15789.356935294249,16766.62434881583,17576.217858305306,17959.831774096645,18308.005772985824,19098.527651173048,19837.84572417099,21063.7373549308,21545.782737118476,21494.90743575613,20464.40261865794,20578.870606602166,20952.125353537438,21621.342797012338,20961.546404526867,21317.98168551171,22276.639344262294,23831.406765593052,25814.137451561895,27712.620204387094,29361.703347012797,31015.185483423804,32842.9393829233,34660.48172796653,36638.714992143556,38756.04108359269,40887.56871231226,43056.097914016194,45458.690602438786,47992.53171214477,50630.00238218997,53406.059581741196,56110.041308328335,59073.67969180725,62367.983744235506,65536.061479809,68870.85365728798,72385.8676157115,76149.13674702652,79967.68445720494,83963.96228130549,88086.7667890799,92675.92938091402,97561.397038372,102278.54130243842
Aberdeen City and Aberdeenshire,TLM50,gdhi_total_mn_gbp,,,,,,,4830.0,4891.0,4850.0,5145.0,5422.0,5598.0,5747.0,6225.0,6698.0,7118.0,7660.0,8100.0,8370.0,8626.0,9093.0,9518.0,10182.0,10504.0,10531.0,10003.0,10018.0,10149.0,10479.0,10150.0,10313.0,10871.0,11772.0,12826.012334183042,13793.95948540277,14609.458525628277,15468.474852451214,16373.20684378757,17325.943714116835,18329.071835250987,19385.0810430239,20496.57095155389,21666.25729688,22896.97833147709,24191.70129060366,25553.5289507336,26985.7062995752,28491.627336411046,30074.842020748893,31739.063386571015,33488.1748388093,35326.23764807414,37257.498659115205,39286.39822800325,41417.57840257983,43655.89136033705,46006.40811754643,48474.4275231649,51065.485550793695,53785.364901750356
Aberdeen City and Aberdeenshire,TLM50,income_per_worker_gbp,,,,,,,,,,,,,,,,,,,31000.0,32674.242424242424,33186.131386861314,34485.50724637681,36494.62365591398,35727.89115646258,36565.97222222222,35853.04659498208,36297.10144927536,36638.98916967509,38384.61538461538,38888.88888888889,39513.40996168582,41811.53846153846,44590.90909090909,49330.81666993478,52672.233497767345,56406.733414322116,60314.115354916954,64202.387348095,68627.77152253858,73125.14786247222,78104.84009830367,83607.49302738381,89363.24893443324,95726.63102524832,102205.4175371766,108476.9069433795,115719.76852797566,122913.61185878566,132013.99346954637,140493.87608617873,150084.59452338621,159884.66235529975,170583.32869820483,180662.68345928047,192929.5362248466,205427.5271642827,219913.46170631133,233927.27935599635,248444.22299450077,264622.569147466
Aberdeen City and Aberdeenshire,TLM50,nominal_gva_mn_gbp,,,,,,,,8237.0,8219.0,8412.0,9073.0,9472.0,9581.0,10133.0,10706.0,12161.0,13595.0,15053.0,14773.0,15170.0,15667.0,16598.0,17672.0,18465.0,17940.0,16482.0,16520.0,16685.0,16948.0,15436.0,15835.0,17027.0,18351.0,19883.241382206637,20562.835539191055,21282.70068613273,22027.22671555651,22793.16288717449,23581.605534398237,24394.783067700933,25234.89183387374,26103.77385132599,27002.911283821624,27933.51731503095,28896.63714202488,29893.230179372917,30924.22789389494,31990.57019984259,33093.22562824063,34233.200332884124,35411.540044519796,36629.328009379,37887.68100116838,39187.74474781568,40530.68956261954,41917.70658441655,43350.004777419075,44828.808685355114,46355.35684851258,47930.900754018934
Aberdeen City and Aberdeenshire,TLM50,population_total,429990.0,436110.0,441350.0,445060.0,445950.0,445340.0,443320.0,441870.0,441870.0,440360.0,438850.0,439510.0,440530.0,442510.0,446260.0,450810.0,456860.0,460850.0,466040.0,471160.0,476110.0,479790.0,483390.0,487520.0,489930.0,488800.0,486810.0,484390.0,484660.0,484220.0,483770.0,488000.0,493970.0,496860.0,497789.61283751024,498076.5607197399,498406.1637922702,498874.57210728707,499428.16007717553,500087.1284405766,500828.12329816143,501658.0839456323,502562.8074448481,503543.1589946837,504589.62839743326,505700.3982418922,506868.53956902336,508091.16973981826,509362.9070829274,510680.5753350786,512039.81037835684,513437.5034513407,514870.0195419967,516334.4766029577,517827.79905431496,519347.390900796,520890.6270307531,522455.20783380856,524038.88236690057,525639.6344688871
Aberdeen City and Aberdeenshire,TLM50,productivity_gbp_per_job,,,,,,,,,,,,,,,,,,,54714.81481481482,57462.121212121216,57178.83211678832,60137.68115942029,63340.501792114694,62806.12244897959,62291.666666666664,59075.2688172043,59855.07246376811,60234.657039711194,62080.58608058608,59141.76245210728,60670.49808429119,65488.46153846154,69511.36363636363,76474.00531617938,78448.00246293767,82090.59193555314,85801.50715057223,89270.84977391525,93188.36505314693,97266.23291098852,101482.15539296405,106256.91585297803,111689.71100232,117141.89835384228,121869.45869490821,127014.96834925748,132958.42775919323,138573.11062225382,144823.50333235547,151274.88469116506,159130.62238068605,165553.39038800471,172931.43669445842,181520.1244034456,188655.54893427118,196967.3978356315,207407.58027027687,216381.03623178764,226221.20678303082,236047.26176456595
Angus and Dundee City,TLM03,emp_total_jobs,,,,,,,,,,,,,,,,,,,113000.0,108000.0,108000.0,106000.0,107000.0,110000.0,111000.0,112000.0,112000.0,112000.0,110000.0,108000.0,112000.0,113000.0,115000.0,114000.0,114017.81414321817,113773.68255253906,113850.39644084127,114201.38163977694,114595.91708433734,114792.25731665235,114694.9618937994,114403.00271988095,114125.49781401914,114035.94470991408,114166.81913680815,114404.26863956051,114574.08752376614,114557.34662976232,114360.25499389324,114097.17253651061,113906.76733385991,113862.87278993145,113936.24783716927,114024.1995516912,114022.18782404144,113888.77541637837,113663.91985042575,113434.37120854731,113274.52483474034,113202.5914701781
Angus and Dundee City,TLM03,employment_rate,,,,,,,,,,,,,,,,,,,43.46153846153846,41.30492981986461,41.00227790432802,40.20176736071605,40.57179691351003,41.68087605623129,42.015216321586735,42.47733909811507,42.44031830238727,42.524109651454175,41.69509514062619,41.05527256139283,42.79055551310461,42.94292011856806,43.39950184919616,43.06925082171597,43.1414643054068,43.08182829624454,43.12966884535699,43.25683046726254,43.38788809102646,43.43600915340381,43.37013244122829,43.21843665454468,43.08041880759078,43.007013972596674,43.0205844691656,43.058584020498756,43.08520571710455,43.03165686032949,42.92216280572836,42.786054819486836,42.67960381083441,42.62137794147671,42.633694699514734,42.621283440656754,42.57803901973841,42.51565475724671,42.39851970905707,42.26869462705687,42.19311821861507,42.14444559163827
