itl3_code,itl2_code,itl3_name,share,share_std,share_years,region_name,metric
TLC31,TLC3,Hartlepool and Stockton-on-Tees,0.4694272796843257,0.006866941487339473,3,Hartlepool and Stockton-on-Tees,nominal_gva_mn_gbp
TLC32,TLC3,South Teesside,0.35369030367098553,0.004389849310410607,3,South Teesside,nominal_gva_mn_gbp
TLC33,TLC3,Darlington,0.17688241664468882,0.0035437535799163404,3,Darlington,nominal_gva_mn_gbp
TLC41,TLC4,Durham,0.22862163592226237,0.0032869210654539217,3,Durham,nominal_gva_mn_gbp
TLC42,TLC4,Northumberland,0.12851988186777494,0.0019450110187732002,3,Northumberland,nominal_gva_mn_gbp
TLC43,TLC4,Tyneside,0.4906182089137275,0.0023621489957344286,3,Tyneside,nominal_gva_mn_gbp
TLC44,TLC4,Sunderland,0.1522402732962352,0.0005595948753997812,3,Sunderland,nominal_gva_mn_gbp
TLD13,TLD1,Cumberland,0.484168482246286,0.004434430204913659,3,Cumberland,nominal_gva_mn_gbp
TLD14,TLD1,Westmorland and Furness,0.5158315177537139,0.004434430204913675,3,Westmorland and Furness,nominal_gva_mn_gbp
TLD33,TLD3,Manchester,0.35049986238144565,0.009452246149409389,3,Manchester,nominal_gva_mn_gbp
TLD34,TLD3,Greater Manchester South West,0.23481988346553637,0.005011231193319537,3,Greater Manchester South West,nominal_gva_mn_gbp
TLD35,TLD3,Greater Manchester South East,0.13406949317032787,0.000716887845610685,3,Greater Manchester South East,nominal_gva_mn_gbp
TLD36,TLD3,Greater Manchester North West,0.1421689938489085,0.0030244065613875995,3,Greater Manchester North West,nominal_gva_mn_gbp
TLD37,TLD3,Greater Manchester North East,0.13844176713378167,0.0014786432226830267,3,Greater Manchester North East,nominal_gva_mn_gbp
TLD41,TLD4,Blackburn with Darwen,0.09653975503745366,0.0007871837133550059,3,Blackburn with Darwen,nominal_gva_mn_gbp
TLD42,TLD4,Blackpool,0.07783194662647126,0.0014509246157176918,3,Blackpool,nominal_gva_mn_gbp
TLD44,TLD4,Lancaster and Wyre,0.1329179534632269,0.003766292475097838,3,Lancaster and Wyre,nominal_gva_mn_gbp
TLD45,TLD4,Mid Lancashire,0.3715136239005134,0.0026563630403675705,3,Mid Lancashire,nominal_gva_mn_gbp
TLD46,TLD4,East Lancashire,0.17461414042311,0.0032349125575712014,3,East Lancashire,nominal_gva_mn_gbp
TLD47,TLD4,Chorley and West Lancashire,0.14658258054922477,0.0022419232058812437,3,Chorley and West Lancashire,nominal_gva_mn_gbp
TLD61,TLD6,Warrington,0.24994770280893508,0.0019684707917992142,3,Warrington,nominal_gva_mn_gbp
TLD62,TLD6,Cheshire East,0.40783998613170086,0.0027217157280135045,3,Cheshire East,nominal_gva_mn_gbp
TLD63,TLD6,Cheshire West and Chester,0.34221231105936406,0.0016377389617267164,3,Cheshire West and Chester,nominal_gva_mn_gbp
TLD71,TLD7,East Merseyside,0.3001236410053126,0.0037264502364793084,3,East Merseyside,nominal_gva_mn_gbp
TLD72,TLD7,Liverpool,0.42269491571122436,0.004385463748897915,3,Liverpool,nominal_gva_mn_gbp
TLD73,TLD7,Sefton,0.12621053351239783,0.002453927219682881,3,Sefton,nominal_gva_mn_gbp
TLD74,TLD7,Wirral,0.15097090977106523,0.0019062460207757543,3,Wirral,nominal_gva_mn_gbp
TLE11,TLE1,"Kingston upon Hull, City of",0.27138523972038925,0.005944183803100284,3,"Kingston upon Hull, City of",nominal_gva_mn_gbp
TLE12,TLE1,East Riding of Yorkshire,0.34506297461657653,0.007133185437106126,3,East Riding of Yorkshire,nominal_gva_mn_gbp
TLE13,TLE1,North and North East Lincolnshire,0.3835517856630342,0.012813941274647396,3,North and North East Lincolnshire,nominal_gva_mn_gbp
TLE21,TLE2,York,0.2962859744840515,0.004854343285396271,3,York,nominal_gva_mn_gbp
TLE22,TLE2,North Yorkshire,0.7037140255159485,0.004854343285396279,3,North Yorkshire,nominal_gva_mn_gbp
TLE33,TLE3,Barnsley,0.14377590262782688,0.0006142198226496118,3,Barnsley,nominal_gva_mn_gbp
TLE34,TLE3,Rotherham,0.16347683949964667,0.003639605837233483,3,Rotherham,nominal_gva_mn_gbp
TLE35,TLE3,Doncaster,0.20532858514882846,0.0012929961099772725,3,Doncaster,nominal_gva_mn_gbp
TLE36,TLE3,Sheffield,0.487418672723698,0.004104883839938262,3,Sheffield,nominal_gva_mn_gbp
TLE41,TLE4,Bradford,0.16504605695533822,0.005537848792070234,3,Bradford,nominal_gva_mn_gbp
TLE42,TLE4,Leeds,0.48631818742835486,0.012680635814958863,3,Leeds,nominal_gva_mn_gbp
TLE44,TLE4,Calderdale and Kirklees,0.2108424102315288,0.009505012142870852,3,Calderdale and Kirklees,nominal_gva_mn_gbp
TLE45,TLE4,Wakefield,0.1377933453847781,0.002035328705985895,3,Wakefield,nominal_gva_mn_gbp
TLF11,TLF1,Derby,0.15122726681468443,0.003631939342290269,3,Derby,nominal_gva_mn_gbp
TLF12,TLF1,East Derbyshire,0.12276022090606876,0.0027084623412827642,3,East Derbyshire,nominal_gva_mn_gbp
TLF13,TLF1,South and West Derbyshire,0.20408457233822305,0.004377781803641707,3,South and West Derbyshire,nominal_gva_mn_gbp
TLF14,TLF1,Nottingham,0.20476306153842982,0.005072049014853022,3,Nottingham,nominal_gva_mn_gbp
TLF15,TLF1,North Nottinghamshire,0.1836013158653269,0.0010005258135230032,3,North Nottinghamshire,nominal_gva_mn_gbp
TLF16,TLF1,South Nottinghamshire,0.133563562537267,0.00384564160412566,3,South Nottinghamshire,nominal_gva_mn_gbp
TLF21,TLF2,Leicester,0.1790684016538661,0.005745001880550265,3,Leicester,nominal_gva_mn_gbp
TLF22,TLF2,Leicestershire CC and Rutland,0.3997858467153262,0.008318836717178306,3,Leicestershire CC and Rutland,nominal_gva_mn_gbp
TLF24,TLF2,West Northamptonshire,0.2702811422229179,0.0024019633732794226,3,West Northamptonshire,nominal_gva_mn_gbp
TLF25,TLF2,North Northamptonshire,0.15086460940788984,0.00147597394538536,3,North Northamptonshire,nominal_gva_mn_gbp
TLF30,TLF3,Lincolnshire CC,1.0,0.0,3,Lincolnshire CC,nominal_gva_mn_gbp
TLG11,TLG1,"Herefordshire, County of",0.10715817012664314,0.0036691006797925693,3,"Herefordshire, County of",nominal_gva_mn_gbp
TLG12,TLG1,Worcestershire CC,0.3772695912019533,0.008505672373253373,3,Worcestershire CC,nominal_gva_mn_gbp
TLG13,TLG1,Warwickshire CC,0.5155722386714036,0.012118083772774556,3,Warwickshire CC,nominal_gva_mn_gbp
TLG21,TLG2,Telford and Wrekin,0.13519587401878072,0.002356547596830447,3,Telford and Wrekin,nominal_gva_mn_gbp
TLG22,TLG2,Shropshire,0.18113577650206295,0.0031988021143604006,3,Shropshire,nominal_gva_mn_gbp
TLG23,TLG2,Stoke-on-Trent,0.1597673578278542,0.0028353676911469566,3,Stoke-on-Trent,nominal_gva_mn_gbp
TLG24,TLG2,Staffordshire CC,0.5239009916513021,0.001224991026331587,3,Staffordshire CC,nominal_gva_mn_gbp
TLG31,TLG3,Birmingham,0.4194280717951045,0.005094147635410665,3,Birmingham,nominal_gva_mn_gbp
TLG32,TLG3,Solihull,0.12756302220787702,0.0023401354509111775,3,Solihull,nominal_gva_mn_gbp
TLG33,TLG3,Coventry,0.1427498246923692,0.0016687338436628494,3,Coventry,nominal_gva_mn_gbp
TLG36,TLG3,Dudley,0.07611349216412598,0.001989633718981334,3,Dudley,nominal_gva_mn_gbp
TLG37,TLG3,Sandwell,0.08903473401957857,0.0018792604720108345,3,Sandwell,nominal_gva_mn_gbp
TLG38,TLG3,Walsall,0.06702891662536291,0.0012132248437474716,3,Walsall,nominal_gva_mn_gbp
TLG39,TLG3,Wolverhampton,0.07808193849558182,0.0007157383759345691,3,Wolverhampton,nominal_gva_mn_gbp
TLH21,TLH2,Luton,0.09587048136182086,0.0020541826974729903,3,Luton,nominal_gva_mn_gbp
TLH24,TLH2,Bedford,0.07470191431461327,0.0016420841296451195,3,Bedford,nominal_gva_mn_gbp
TLH25,TLH2,Central Bedfordshire,0.10406220550788332,0.0030812059427719183,3,Central Bedfordshire,nominal_gva_mn_gbp
TLH26,TLH2,North and East Hertfordshire,0.32381488659872054,0.005097351990541965,3,North and East Hertfordshire,nominal_gva_mn_gbp
TLH27,TLH2,South West Hertfordshire,0.401550512216962,0.004613237374576102,3,South West Hertfordshire,nominal_gva_mn_gbp
TLH31,TLH3,Southend-on-Sea,0.06392459735879726,0.002609902811066581,3,Southend-on-Sea,nominal_gva_mn_gbp
TLH32,TLH3,Thurrock,0.10680511409808867,0.004392683664233012,3,Thurrock,nominal_gva_mn_gbp
TLH34,TLH3,Essex Haven Gateway,0.22880647881396235,0.002563046578616479,3,Essex Haven Gateway,nominal_gva_mn_gbp
TLH35,TLH3,West Essex,0.18977532176417558,0.0013541511285774202,3,West Essex,nominal_gva_mn_gbp
TLH36,TLH3,Heart of Essex,0.21491356488378097,0.002510256943696393,3,Heart of Essex,nominal_gva_mn_gbp
TLH37,TLH3,Essex Thames Gateway,0.19577492308119515,0.002209165949906774,3,Essex Thames Gateway,nominal_gva_mn_gbp
TLH41,TLH4,Peterborough,0.23416037680484372,0.0033401549268700197,3,Peterborough,nominal_gva_mn_gbp
TLH42,TLH4,Cambridgeshire CC,0.7658396231951563,0.003340154926870028,3,Cambridgeshire CC,nominal_gva_mn_gbp
TLH51,TLH5,Norwich and East Norfolk,0.49154509278805514,0.0030628781333092866,3,Norwich and East Norfolk,nominal_gva_mn_gbp
TLH52,TLH5,North and West Norfolk,0.22843655841361596,0.004216666463018772,3,North and West Norfolk,nominal_gva_mn_gbp
TLH53,TLH5,Breckland and South Norfolk,0.28001834879832893,0.0013917180530096244,3,Breckland and South Norfolk,nominal_gva_mn_gbp
TLH61,TLH6,Babergh and Mid Suffolk,0.21611552323309788,0.0013380679755434634,3,Babergh and Mid Suffolk,nominal_gva_mn_gbp
TLH62,TLH6,Ipswich,0.22220048351582614,0.012043703684310295,3,Ipswich,nominal_gva_mn_gbp
TLH63,TLH6,East Suffolk,0.28486121981822193,0.005076834389503802,3,East Suffolk,nominal_gva_mn_gbp
TLH64,TLH6,West Suffolk,0.276822773432854,0.009295141704633123,3,West Suffolk,nominal_gva_mn_gbp
TLI33,TLI3,Kensington & Chelsea and Hammersmith & Fulham,0.08998015650391177,0.0007681270274332175,3,Kensington & Chelsea and Hammersmith & Fulham,nominal_gva_mn_gbp
TLI34,TLI3,Wandsworth,0.030733773247013152,0.00044885990759397065,3,Wandsworth,nominal_gva_mn_gbp
TLI35,TLI3,Westminster and City of London,0.7335726051808487,0.0023246816068948407,3,Westminster and City of London,nominal_gva_mn_gbp
TLI36,TLI3,Camden,0.1457134650682264,0.0024854509421737953,3,Camden,nominal_gva_mn_gbp
TLI41,TLI4,Hackney and Newham,0.15075879189262073,0.0014413701570233927,3,Hackney and Newham,nominal_gva_mn_gbp
TLI42,TLI4,Tower Hamlets,0.30899473287449325,0.005433405748462233,3,Tower Hamlets,nominal_gva_mn_gbp
TLI43,TLI4,Haringey and Islington,0.2189401940342384,0.005789136637589805,3,Haringey and Islington,nominal_gva_mn_gbp
TLI44,TLI4,Lewisham and Southwark,0.21003490758147783,0.002608456117892803,3,Lewisham and Southwark,nominal_gva_mn_gbp
TLI45,TLI4,Lambeth,0.11127137361716981,0.0038561903496460155,3,Lambeth,nominal_gva_mn_gbp
TLI51,TLI5,Bexley and Greenwich,0.29991902094579503,0.0038906899338119094,3,Bexley and Greenwich,nominal_gva_mn_gbp
TLI52,TLI5,Barking & Dagenham and Havering,0.2564172235786304,0.003531121524421104,3,Barking & Dagenham and Havering,nominal_gva_mn_gbp
TLI53,TLI5,Redbridge and Waltham Forest,0.24580348247859174,0.006008989409820041,3,Redbridge and Waltham Forest,nominal_gva_mn_gbp
TLI54,TLI5,Enfield,0.19786027299698283,0.005396929143954097,3,Enfield,nominal_gva_mn_gbp
TLI61,TLI6,Bromley,0.22615754188446205,0.002534620228505615,3,Bromley,nominal_gva_mn_gbp
TLI62,TLI6,Croydon,0.3185367507016732,0.0016298772717854876,3,Croydon,nominal_gva_mn_gbp
TLI63,TLI6,"Merton, Kingston upon Thames and Sutton",0.4553057074138647,0.004139990977723697,3,"Merton, Kingston upon Thames and Sutton",nominal_gva_mn_gbp
TLI71,TLI7,Barnet,0.14424965452097202,0.0008849686747982827,3,Barnet,nominal_gva_mn_gbp
TLI72,TLI7,Brent,0.1351656433331865,0.002072511314025291,3,Brent,nominal_gva_mn_gbp
TLI73,TLI7,Ealing,0.13725289289054862,0.006023330728962448,3,Ealing,nominal_gva_mn_gbp
TLI74,TLI7,Harrow and Hillingdon,0.2610376228900077,0.0043984140544484265,3,Harrow and Hillingdon,nominal_gva_mn_gbp
TLI75,TLI7,Hounslow and Richmond upon Thames,0.3222941863652851,0.004938128525686083,3,Hounslow and Richmond upon Thames,nominal_gva_mn_gbp
TLJ12,TLJ1,Milton Keynes,0.13885366443512412,0.002966564884168827,3,Milton Keynes,nominal_gva_mn_gbp
TLJ13,TLJ1,Buckinghamshire,0.15888837353664645,0.00044951951263647353,3,Buckinghamshire,nominal_gva_mn_gbp
TLJ14,TLJ1,Oxfordshire CC,0.2437446245088727,0.0039517202919142624,3,Oxfordshire CC,nominal_gva_mn_gbp
TLJ15,TLJ1,Berkshire East,0.2077973144999384,0.005284141603101609,3,Berkshire East,nominal_gva_mn_gbp
TLJ16,TLJ1,Berkshire West,0.2507160230194183,0.005134686263006732,3,Berkshire West,nominal_gva_mn_gbp
TLJ21,TLJ2,Brighton and Hove,0.1106982780043466,0.0048393147953379794,3,Brighton and Hove,nominal_gva_mn_gbp
TLJ22,TLJ2,East Sussex CC,0.10899499964927263,0.0010218757555291458,3,East Sussex CC,nominal_gva_mn_gbp
TLJ25,TLJ2,West Surrey,0.360232524885791,0.008677593247475367,3,West Surrey,nominal_gva_mn_gbp
TLJ26,TLJ2,East Surrey,0.15778397932478525,0.00496024524862625,3,East Surrey,nominal_gva_mn_gbp
TLJ27,TLJ2,West Sussex (South West),0.12683122706787897,0.001402964938742705,3,West Sussex (South West),nominal_gva_mn_gbp
TLJ28,TLJ2,West Sussex (North East),0.13545899106792555,0.0009110527078674712,3,West Sussex (North East),nominal_gva_mn_gbp
