region,region_code,metric,year,forecast_value,method,ci_lower,ci_upper
North East,E12000001,total_population,2025,2760641.7039050744,"arima(1, 1, 1)",2736828.6483154013,2784454.7594947475
North East,E12000001,total_population,2026,2760660.4642224545,"arima(1, 1, 1)",2727009.7207243787,2794311.20772053
North East,E12000001,total_population,2027,2760650.7676005745,"arima(1, 1, 1)",2719436.837903696,2801864.697297453
North East,E12000001,total_population,2028,2760655.779481449,"arima(1, 1, 1)",2713070.7414489305,2808240.817513968
North East,E12000001,total_population,2029,2760653.1889968235,"arima(1, 1, 1)",2707452.3867294863,2813853.9912641607
North East,E12000001,total_population,2030,2760654.5279373857,"arima(1, 1, 1)",2702377.6889777905,2818931.366896981
North East,E12000001,working_age_population,2025,1706002.9121023219,"arima(1, 1, 1)",1695232.3959212378,1716773.428283406
North East,E12000001,working_age_population,2026,1705881.3220194269,"arima(1, 1, 1)",1690674.5282155115,1721088.1158233422
North East,E12000001,working_age_population,2027,1705792.3080186173,"arima(1, 1, 1)",1687193.026448999,1724391.5895882356
North East,E12000001,working_age_population,2028,1705727.1424051768,"arima(1, 1, 1)",1684274.5461256765,1727179.738684677
North East,E12000001,working_age_population,2029,1705679.4357844603,"arima(1, 1, 1)",1681717.013781541,1729641.8577873795
North East,E12000001,working_age_population,2030,1705644.5105909414,"arima(1, 1, 1)",1679415.435327899,1731873.5858539839
North West,E12000002,total_population,2025,7736386.39140083,"arima(1, 1, 1)",7707868.227425121,7764904.555376539
North West,E12000002,total_population,2026,7735696.218349025,"arima(1, 1, 1)",7695445.613244844,7775946.823453206
North West,E12000002,total_population,2027,7735232.677228579,"arima(1, 1, 1)",7686012.636802706,7784452.717654453
North West,E12000002,total_population,2028,7734921.348975786,"arima(1, 1, 1)",7678156.7852474,7791685.912704172
North West,E12000002,total_population,2029,7734712.251494004,"arima(1, 1, 1)",7671309.762048192,7798114.740939816
North West,E12000002,total_population,2030,7734571.815293643,"arima(1, 1, 1)",7665172.739220608,7803970.891366677
North West,E12000002,working_age_population,2025,4857495.460052212,"arima(1, 1, 1)",4818151.069359529,4896839.850744895
North West,E12000002,working_age_population,2026,4873996.873364946,"arima(1, 1, 1)",4818260.85493557,4929732.891794322
North West,E12000002,working_age_population,2027,4890498.239938334,"arima(1, 1, 1)",4822120.114840666,4958876.365036001
North West,E12000002,working_age_population,2028,4906999.559772508,"arima(1, 1, 1)",4827909.9031716315,4986089.216373385
North West,E12000002,working_age_population,2029,4923500.832867602,"arima(1, 1, 1)",4834927.015651648,5012074.650083556
North West,E12000002,working_age_population,2030,4940002.059223747,"arima(1, 1, 1)",4842811.473699825,5037192.644747669
Yorkshire & Humber,E12000003,total_population,2025,5698867.3054100815,"arima(1, 1, 1)",5655637.933941968,5742096.676878195
Yorkshire & Humber,E12000003,total_population,2026,5724772.475373636,"arima(1, 1, 1)",5663497.8348735375,5786047.1158737345
Yorkshire & Humber,E12000003,total_population,2027,5750677.509891372,"arima(1, 1, 1)",5675461.760287236,5825893.259495508
Yorkshire & Humber,E12000003,total_population,2028,5776582.408963998,"arima(1, 1, 1)",5689534.946199926,5863629.87172807
Yorkshire & Humber,E12000003,total_population,2029,5802487.172592221,"arima(1, 1, 1)",5704946.735440672,5900027.609743769
Yorkshire & Humber,E12000003,total_population,2030,5828391.80077675,"arima(1, 1, 1)",5721302.878555463,5935480.722998037
Yorkshire & Humber,E12000003,working_age_population,2025,3544642.714068562,"arima(1, 1, 1)",3526006.8695261697,3563278.558610954
Yorkshire & Humber,E12000003,working_age_population,2026,3555945.2913141716,"arima(1, 1, 1)",3529547.8124727695,3582342.7701555737
Yorkshire & Humber,E12000003,working_age_population,2027,3567247.731738486,"arima(1, 1, 1)",3534865.691322572,3599629.7721543997
Yorkshire & Humber,E12000003,working_age_population,2028,3578550.035343161,"arima(1, 1, 1)",3541098.685058681,3616001.385627641
Yorkshire & Humber,E12000003,working_age_population,2029,3589852.2021298525,"arima(1, 1, 1)",3547913.5784226176,3631790.8258370874
Yorkshire & Humber,E12000003,working_age_population,2030,3601154.232100217,"arima(1, 1, 1)",3555139.7769599846,3647168.6872404497
East Midlands,E12000004,total_population,2025,5091527.257426027,"arima(1, 1, 1)",5076063.548053134,5106990.96679892
East Midlands,E12000004,total_population,2026,5119890.395732329,"arima(1, 1, 1)",5097959.827718116,5141820.963746542
East Midlands,E12000004,total_population,2027,5148253.414919407,"arima(1, 1, 1)",5121318.855079484,5175187.97475933
East Midlands,E12000004,total_population,2028,5176616.314987761,"arima(1, 1, 1)",5145428.362108443,5207804.267867079
East Midlands,E12000004,total_population,2029,5204979.095937891,"arima(1, 1, 1)",5170013.348659696,5239944.843216086
East Midlands,E12000004,total_population,2030,5233341.757770297,"arima(1, 1, 1)",5194933.220389519,5271750.295151075
East Midlands,E12000004,working_age_population,2025,3162680.6114055566,"arima(1, 1, 1)",3144885.8510248624,3180475.3717862507
East Midlands,E12000004,working_age_population,2026,3179244.060665083,"arima(1, 1, 1)",3154011.9815316275,3204476.1397985388
East Midlands,E12000004,working_age_population,2027,3195807.3477801667,"arima(1, 1, 1)",3164823.272155349,3226791.423404984
East Midlands,E12000004,working_age_population,2028,3212370.472752395,"arima(1, 1, 1)",3176499.6091868063,3248241.336317984
East Midlands,E12000004,working_age_population,2029,3228933.4355833554,"arima(1, 1, 1)",3188724.2882360253,3269142.5829306855
East Midlands,E12000004,working_age_population,2030,3245496.2362746345,"arima(1, 1, 1)",3201335.3604244967,3289657.1121247723
West Midlands,E12000005,total_population,2025,6187198.879936262,"arima(1, 1, 1)",6165428.734727686,6208969.025144838
West Midlands,E12000005,total_population,2026,6187199.033858931,"arima(1, 1, 1)",6156412.400291139,6217985.667426722
West Midlands,E12000005,total_population,2027,6187199.029231608,"arima(1, 1, 1)",6149493.641772699,6224904.416690517
West Midlands,E12000005,total_population,2028,6187199.029370718,"arima(1, 1, 1)",6143660.820579925,6230737.238161511
West Midlands,E12000005,total_population,2029,6187199.029366536,"arima(1, 1, 1)",6138521.981308241,6235876.077424831
West Midlands,E12000005,total_population,2030,6187199.029366662,"arima(1, 1, 1)",6133876.103803841,6240521.954929482
West Midlands,E12000005,working_age_population,2025,3824162.025663677,"arima(1, 1, 1)",3804823.4172946215,3843500.634032733
West Midlands,E12000005,working_age_population,2026,3824161.101386136,"arima(1, 1, 1)",3796829.0002381615,3851493.2025341103
West Midlands,E12000005,working_age_population,2027,3824161.088032516,"arima(1, 1, 1)",3790693.305731799,3857628.8703332334
West Midlands,E12000005,working_age_population,2028,3824161.087839588,"arima(1, 1, 1)",3785519.905673114,3862802.270006062
West Midlands,E12000005,working_age_population,2029,3824161.0878368006,"arima(1, 1, 1)",3780961.6727534346,3867360.5029201666
West Midlands,E12000005,working_age_population,2030,3824161.0878367606,"arima(1, 1, 1)",3776840.5006909184,3871481.6749826027
East,E12000006,total_population,2025,6616385.843568834,"arima(1, 1, 1)",6593661.950914906,6639109.736222761
East,E12000006,total_population,2026,6656464.189554012,"arima(1, 1, 1)",6624229.845395022,6688698.533713003
East,E12000006,total_population,2027,6696541.038011493,"arima(1, 1, 1)",6656942.643140693,6736139.432882293
East,E12000006,total_population,2028,6736616.388997232,"arima(1, 1, 1)",6690754.476318061,6782478.301676402
East,E12000006,total_population,2029,6776690.24256718,"arima(1, 1, 1)",6725261.657554683,6828118.827579676
East,E12000006,total_population,2030,6816762.5987772895,"arima(1, 1, 1)",6760257.857560257,6873267.339994322
East,E12000006,working_age_population,2025,4051670.3491051,"arima(1, 1, 1)",4029492.166947309,4073848.5312628914
East,E12000006,working_age_population,2026,4074680.412906447,"arima(1, 1, 1)",4043225.7520643882,4106135.0737485057
East,E12000006,working_age_population,2027,4097687.191873039,"arima(1, 1, 1)",4059053.380965795,4136321.0027802833
East,E12000006,working_age_population,2028,4120690.686473808,"arima(1, 1, 1)",4075953.6961416085,4165427.676806007
East,E12000006,working_age_population,2029,4143690.8971776175,"arima(1, 1, 1)",4093532.3870769558,4193849.4072782793
East,E12000006,working_age_population,2030,4166687.8244532654,"arima(1, 1, 1)",4111587.87517648,4221787.773730051
London,E12000007,total_population,2025,9142687.618971733,"arima(1, 1, 1)",9075458.109153247,9209917.12879022
London,E12000007,total_population,2026,9195637.82843696,"arima(1, 1, 1)",9100285.474663941,9290990.182209978
London,E12000007,total_population,2027,9248586.628433198,"arima(1, 1, 1)",9131467.916411353,9365705.340455042
London,E12000007,total_population,2028,9301534.018997967,"arima(1, 1, 1)",9165909.645952446,9437158.392043488
London,E12000007,total_population,2029,9354480.000168785,"arima(1, 1, 1)",9202415.52531758,9506544.475019991
London,E12000007,total_population,2030,9407424.571983168,"arima(1, 1, 1)",9240374.597078416,9574474.54688792
London,E12000007,working_age_population,2025,6330484.100348691,"arima(1, 1, 1)",6267902.722168558,6393065.478528825
London,E12000007,working_age_population,2026,6385096.41229485,"arima(1, 1, 1)",6296206.962155319,6473985.862434381
London,E12000007,working_age_population,2027,6439691.94099782,"arima(1, 1, 1)",6330354.334184587,6549029.547811054
London,E12000007,working_age_population,2028,6494270.6916153645,"arima(1, 1, 1)",6367477.3221181035,6621064.0611126255
London,E12000007,working_age_population,2029,6548832.669303658,"arima(1, 1, 1)",6406470.914986146,6691194.423621171
London,E12000007,working_age_population,2030,6603377.879217293,"arima(1, 1, 1)",6446771.238943151,6759984.519491435
South East,E12000008,total_population,2025,9698287.883951256,"arima(1, 1, 1)",9663527.789409159,9733047.978493353
South East,E12000008,total_population,2026,9753632.62459552,"arima(1, 1, 1)",9704333.880412355,9802931.368778683
South East,E12000008,total_population,2027,9808976.22195641,"arima(1, 1, 1)",9748426.193680087,9869526.250232732
South East,E12000008,total_population,2028,9864318.676057544,"arima(1, 1, 1)",9794203.889320878,9934433.462794209
South East,E12000008,total_population,2029,9919659.986922538,"arima(1, 1, 1)",9841048.929999879,9998271.043845197
South East,E12000008,total_population,2030,9975000.154575009,"arima(1, 1, 1)",9888645.359188575,10061354.949961443
South East,E12000008,working_age_population,2025,5980813.133336611,"arima(1, 1, 1)",5949848.545363698,6011777.721309524
South East,E12000008,working_age_population,2026,6014248.814019083,"arima(1, 1, 1)",5970335.441319153,6058162.186719013
South East,E12000008,working_age_population,2027,6047683.042110525,"arima(1, 1, 1)",5993750.347697469,6101615.736523581
South East,E12000008,working_age_population,2028,6081115.8176740445,"arima(1, 1, 1)",6018666.965573852,6143564.669774237
South East,E12000008,working_age_population,2029,6114547.140772746,"arima(1, 1, 1)",6044534.607224766,6184559.674320726
South East,E12000008,working_age_population,2030,6147977.01146973,"arima(1, 1, 1)",6071071.729153398,6224882.293786062
South West,E12000009,total_population,2025,5924524.441337388,"arima(1, 1, 1)",5903435.343775195,5945613.538899581
South West,E12000009,total_population,2026,5959350.761994135,"arima(1, 1, 1)",5929437.771300244,5989263.752688025
South West,E12000009,total_population,2027,5994173.962249849,"arima(1, 1, 1)",5957430.108465263,6030917.816034435
South West,E12000009,total_population,2028,6028994.042384115,"arima(1, 1, 1)",5986441.472142609,6071546.612625621
South West,E12000009,total_population,2029,6063811.0026764935,"arima(1, 1, 1)",6016097.082234439,6111524.923118548
South West,E12000009,total_population,2030,6098624.843406518,"arima(1, 1, 1)",6046205.366469748,6151044.320343288
South West,E12000009,working_age_population,2025,3587818.307075466,"arima(1, 1, 1)",3566430.416775413,3609206.197375519
South West,E12000009,working_age_population,2026,3607608.200724431,"arima(1, 1, 1)",3577277.056244731,3637939.3452041307
South West,E12000009,working_age_population,2027,3627396.681047836,"arima(1, 1, 1)",3590146.053907121,3664647.3081885506
South West,E12000009,working_age_population,2028,3647183.7481466164,"arima(1, 1, 1)",3604052.154821597,3690315.3414716357
South West,E12000009,working_age_population,2029,3666969.4021217,"arima(1, 1, 1)",3618614.9453771817,3715323.858866218
South West,E12000009,working_age_population,2030,3686753.643074007,"arima(1, 1, 1)",3633639.930571967,3739867.3555760467
Northern Ireland,N92000002,total_population,2024,1929882.6816333586,"arima(1, 1, 1)",1923468.491090588,1936296.8721761291
Northern Ireland,N92000002,total_population,2025,1939380.8785088384,"arima(1, 1, 1)",1930285.5909311026,1948476.166086574
Northern Ireland,N92000002,total_population,2026,1948876.5912762897,"arima(1, 1, 1)",1937707.563591561,1960045.6189610183
Northern Ireland,N92000002,total_population,2027,1958369.8205853929,"arima(1, 1, 1)",1945438.8290446177,1971300.812126168
Northern Ireland,N92000002,total_population,2028,1967860.5670856587,"arima(1, 1, 1)",1953365.247960577,1982355.8862107403
Northern Ireland,N92000002,total_population,2029,1977348.8314264275,"arima(1, 1, 1)",1961428.4572365228,1993269.2056163321
Northern Ireland,N92000002,total_population,2030,1986834.6142568705,"arima(1, 1, 1)",1969593.8895725699,2004075.338941171
Northern Ireland,N92000002,working_age_population,2024,1192560.9565042944,"arima(1, 1, 1)",1187627.3993502161,1197494.5136583727
Northern Ireland,N92000002,working_age_population,2025,1195319.4470269296,"arima(1, 1, 1)",1188301.3473731347,1202337.5466807245
Northern Ireland,N92000002,working_age_population,2026,1197961.5945566308,"arima(1, 1, 1)",1189317.344917841,1206605.8441954206
Northern Ireland,N92000002,working_age_population,2027,1200492.3060132856,"arima(1, 1, 1)",1190455.8682709788,1210528.7437555925
Northern Ireland,N92000002,working_age_population,2028,1202916.2813609333,"arima(1, 1, 1)",1191635.4471245315,1214197.1155973352
Northern Ireland,N92000002,working_age_population,2029,1205238.022336402,"arima(1, 1, 1)",1192816.7826368236,1217659.2620359804
Northern Ireland,N92000002,working_age_population,2030,1207461.840809804,"arima(1, 1, 1)",1193978.40363777,1220945.2779818377
Scotland,S92000003,total_population,2024,5492623.619797896,"arima(1, 1, 1)",5468593.930357966,5516653.309237826
Scotland,S92000003,total_population,2025,5495147.239218699,"arima(1, 1, 1)",5461156.271511081,5529138.206926317
Scotland,S92000003,total_population,2026,5497670.85826241,"arima(1, 1, 1)",5456030.976738971,5539310.73978585
Scotland,S92000003,total_population,2027,5500194.476929029,"arima(1, 1, 1)",5452101.779798798,5548287.174059261
Scotland,S92000003,total_population,2028,5502718.095218557,"arima(1, 1, 1)",5448936.41397349,5556499.776463624
Scotland,S92000003,total_population,2029,5505241.713130992,"arima(1, 1, 1)",5446313.240436826,5564170.185825158
Scotland,S92000003,total_population,2030,5507765.330666335,"arima(1, 1, 1)",5444100.627048501,5571430.03428417
Scotland,S92000003,working_age_population,2024,3479095.8865854903,"arima(1, 1, 1)",3455633.528993771,3502558.2441772097
Scotland,S92000003,working_age_population,2025,3479126.8665031763,"arima(1, 1, 1)",3445914.0000804723,3512339.7329258802
Scotland,S92000003,working_age_population,2026,3479145.363679099,"arima(1, 1, 1)",3438439.3381164325,3519851.3892417653
Scotland,S92000003,working_age_population,2027,3479156.4077858194,"arima(1, 1, 1)",3432128.4612606163,3526184.3543110224
Scotland,S92000003,working_age_population,2028,3479163.00188936,"arima(1, 1, 1)",3426563.2895315737,3531762.7142471466
Scotland,S92000003,working_age_population,2029,3479166.93903001,"arima(1, 1, 1)",3421529.2488322523,3536804.629227767
Scotland,S92000003,working_age_population,2030,3479169.2897781287,"arima(1, 1, 1)",3416898.597460947,3541439.9820953105
Wales,W92000004,total_population,2025,3194404.2618732513,"arima(1, 1, 1)",3179314.153058482,3209494.3706880207
Wales,W92000004,total_population,2026,3202227.447390139,"arima(1, 1, 1)",3180860.295015765,3223594.5997645133
Wales,W92000004,total_population,2027,3210050.5565514094,"arima(1, 1, 1)",3183848.811546308,3236252.301556511
Wales,W92000004,total_population,2028,3217873.589357807,"arima(1, 1, 1)",3187581.014394998,3248166.1643206156
Wales,W92000004,total_population,2029,3225696.545810077,"arima(1, 1, 1)",3191786.6481111343,3259606.4435090194
Wales,W92000004,total_population,2030,3233519.425908965,"arima(1, 1, 1)",3196327.2946819644,3270711.5571359657
Wales,W92000004,working_age_population,2025,1952330.5064205693,"arima(1, 1, 1)",1933616.521414928,1971044.4914262106
Wales,W92000004,working_age_population,2026,1956926.671412009,"arima(1, 1, 1)",1930425.0113290418,1983428.3314949763
Wales,W92000004,working_age_population,2027,1961504.5678765955,"arima(1, 1, 1)",1929002.7532733658,1994006.3824798253
Wales,W92000004,working_age_population,2028,1966064.2684268383,"arima(1, 1, 1)",1928483.730364474,2003644.8064892027
Wales,W92000004,working_age_population,2029,1970605.8453866313,"arima(1, 1, 1)",1928533.0706046657,2012678.620168597
Wales,W92000004,working_age_population,2030,1975129.3707924006,"arima(1, 1, 1)",1928979.329592239,2021279.411992562
