region,region_code,metric,year,value,source,method,ci_lower,ci_upper
North East,E12000001,total_population,1981,2636194.0,historical,observed,,
North East,E12000001,total_population,1982,2624248.0,historical,observed,,
North East,E12000001,total_population,1983,2616854.0,historical,observed,,
North East,E12000001,total_population,1984,2609362.0,historical,observed,,
North East,E12000001,total_population,1985,2601689.0,historical,observed,,
North East,E12000001,total_population,1986,2594213.0,historical,observed,,
North East,E12000001,total_population,1987,2589779.0,historical,observed,,
North East,E12000001,total_population,1988,2582285.0,historical,observed,,
North East,E12000001,total_population,1989,2582114.0,historical,observed,,
North East,E12000001,total_population,1990,2584320.0,historical,observed,,
North East,E12000001,total_population,1991,2586986.0,historical,observed,,
North East,E12000001,total_population,1992,2591333.0,historical,observed,,
North East,E12000001,total_population,1993,2593948.0,historical,observed,,
North East,E12000001,total_population,1994,2588661.0,historical,observed,,
North East,E12000001,total_population,1995,2582715.0,historical,observed,,
North East,E12000001,total_population,1996,2576450.0,historical,observed,,
North East,E12000001,total_population,1997,2568066.0,historical,observed,,
North East,E12000001,total_population,1998,2560883.0,historical,observed,,
North East,E12000001,total_population,1999,2550314.0,historical,observed,,
North East,E12000001,total_population,2000,2543421.0,historical,observed,,
North East,E12000001,total_population,2001,2540090.0,historical,observed,,
North East,E12000001,total_population,2002,2540600.0,historical,observed,,
North East,E12000001,total_population,2003,2540461.0,historical,observed,,
North East,E12000001,total_population,2004,2540502.0,historical,observed,,
North East,E12000001,total_population,2005,2547127.0,historical,observed,,
North East,E12000001,total_population,2006,2552568.0,historical,observed,,
North East,E12000001,total_population,2007,2562045.0,historical,observed,,
North East,E12000001,total_population,2008,2569312.0,historical,observed,,
North East,E12000001,total_population,2009,2575441.0,historical,observed,,
North East,E12000001,total_population,2010,2586868.0,historical,observed,,
North East,E12000001,total_population,2011,2596441.0,historical,observed,,
North East,E12000001,total_population,2012,2598972.0,historical,observed,,
North East,E12000001,total_population,2013,2603299.0,historical,observed,,
North East,E12000001,total_population,2014,2610482.0,historical,observed,,
North East,E12000001,total_population,2015,2611804.0,historical,observed,,
