metric,year,value,ci_lower,ci_upper,ci_width
uk_emp_total_jobs,2025,31914919.372558784,31197559.07745994,32633177.544331644,1435618.466871705
uk_emp_total_jobs,2026,32220153.410944328,31322687.183813453,33120352.842988055,1797665.6591746025
uk_emp_total_jobs,2027,32483080.207903028,31509817.47585752,33461131.500031825,1951314.0241743065
uk_emp_total_jobs,2028,32758442.39314352,31767783.594336703,33755548.11537472,1987764.5210380182
uk_emp_total_jobs,2029,33038935.146384213,32052894.389482245,34033003.78100363,1980109.3915213868
uk_emp_total_jobs,2030,33280828.12625016,32304215.978588957,34267160.40908379,1962944.4304948337
uk_emp_total_jobs,2031,33452694.767734766,32491163.668628763,34425477.982742645,1934314.3141138814
uk_emp_total_jobs,2032,33566934.533718355,32613921.714505695,34532935.258748494,1919013.5442427993
uk_emp_total_jobs,2033,33672588.95250954,32709195.20556805,34651418.036713906,1942222.8311458565
uk_emp_total_jobs,2034,33820398.69063042,32839650.372827325,34819225.434132636,1979575.0613053106
uk_emp_total_jobs,2035,34029308.48763533,33037095.054550767,35041767.03320249,2004671.9786517248
uk_emp_total_jobs,2036,34277384.21821081,33276102.167554855,35300739.61669401,2024637.4491391554
uk_emp_total_jobs,2037,34520492.32797788,33506448.12999927,35558452.68786856,2052004.557869289
uk_emp_total_jobs,2038,34723871.040680215,33694703.898355074,35778791.26056023,2084087.3622051552
uk_emp_total_jobs,2039,34884508.47072911,33836576.95527374,35960130.90244098,2123553.94716724
uk_emp_total_jobs,2040,35029863.37163337,33954949.82588919,36134866.07823302,2179916.252343826
uk_emp_total_jobs,2041,35197259.88956141,34087568.53454107,36339813.53614304,2252245.0016019717
uk_emp_total_jobs,2042,35408191.009586684,34263977.62138364,36587926.19711476,2323948.575731121
uk_emp_total_jobs,2043,35656263.21614286,34480438.1115507,36869985.01064892,2389546.8990982175
uk_emp_total_jobs,2044,35914067.94274644,34707079.09805578,37161236.53618199,2454157.4381262064
uk_emp_total_jobs,2045,36152750.56824665,34913967.70777379,37434024.653726734,2520056.9459529445
uk_emp_total_jobs,2046,36360576.31442995,35088940.76719059,37677106.493572734,2588165.726382144
uk_emp_total_jobs,2047,36548569.63795623,35240492.28366361,37904231.83832068,2663739.554657072
uk_emp_total_jobs,2048,36740859.582700536,35391799.03603154,38140553.50329044,2748754.4672589004
uk_emp_total_jobs,2049,36957701.60272425,35566184.77678543,38403018.29212716,2836833.515341729
uk_emp_total_jobs,2050,37202920.03439458,35770391.24286496,38692297.244267724,2921906.0014027655
uk_employment_rate_pct,2026,75.61985460627726,15.402637753030351,18.095706072999974,2.6930683199696226
uk_employment_rate_pct,2027,75.52247159540323,27.640891962354253,31.512416441292824,3.8715244789385714
uk_employment_rate_pct,2028,75.26663179861444,36.864003841066435,41.97328140332004,5.109277562253602
uk_employment_rate_pct,2029,74.94589857303359,43.73944235110808,50.225545170877524,6.486102819769442
uk_employment_rate_pct,2030,74.61390343272178,48.81110332953501,56.797819683282604,7.986716353747596
uk_employment_rate_pct,2031,74.29992200900956,52.505352498550145,62.079248716910456,9.57389621836031
uk_employment_rate_pct,2032,74.01852126451958,55.1517665155308,66.36197874657641,11.21021223104561
uk_employment_rate_pct,2033,73.77554581802771,57.00343298345717,69.86799005763457,12.864557074177405
uk_employment_rate_pct,2034,73.57182479400424,58.25400783341761,72.76734526571191,14.5133374322943
uk_employment_rate_pct,2035,73.4054517327837,59.05134785779768,75.19111836457955,16.139770506781872
uk_employment_rate_pct,2036,73.27316924761067,59.50817150300758,77.24079529154812,17.732623788540543
uk_employment_rate_pct,2037,73.17119260502511,59.71030508142194,78.99523318083307,19.284928099411125
uk_employment_rate_pct,2038,73.09568332902165,59.72302355389387,80.51588094565038,20.792857391756513
uk_employment_rate_pct,2039,73.04300649160564,59.59590995205054,81.85073505169582,22.25482509964528
uk_employment_rate_pct,2040,73.00985628156326,59.36657256735907,83.03736015884881,23.67078759148974
uk_employment_rate_pct,2041,72.99339066036163,60.472528639341306,85.51425268138198,25.04172404204067
uk_employment_rate_pct,2042,72.99097431917184,59.806345459630485,86.17560317871319,26.369257719082704
uk_employment_rate_pct,2043,73.00039611412508,59.17270291382334,86.82808931442682,27.655386400603476
uk_employment_rate_pct,2044,73.01977809019047,58.5686306983609,87.47092548202004,28.902294783659137
uk_employment_rate_pct,2045,73.04753315501628,57.99141954373612,88.10364676629645,30.11222722256033
uk_employment_rate_pct,2046,73.08232461182914,57.43862257614111,88.72602664751716,31.287404071376052
uk_employment_rate_pct,2047,73.12302922079444,56.90804471088983,89.338013730699,32.42996901980917
uk_employment_rate_pct,2048,73.16870445435669,56.397725411383995,89.9396834973294,33.5419580859454
uk_employment_rate_pct,2049,73.21856003379439,55.90591830462847,90.53120176296028,34.62528345833181
uk_employment_rate_pct,2050,73.27193352055747,55.4310698748617,91.11279716625323,35.68172729139153
uk_gdhi_per_head_gbp,1997,10595.575019752032,8518.842315880633,12672.307723623431,4153.465407742799
uk_gdhi_per_head_gbp,1998,10813.657398520252,8694.180548410282,12933.134248630222,4238.9537002199395
uk_gdhi_per_head_gbp,1999,11298.414824771144,9083.925519116,13512.904130426288,4428.978611310289
uk_gdhi_per_head_gbp,2000,11888.822932895924,9558.613638048322,14219.032227743526,4660.418589695204
uk_gdhi_per_head_gbp,2001,12353.303035663077,9932.055640673114,14774.55043065304,4842.494789979926
uk_gdhi_per_head_gbp,2002,12642.62513169015,10164.67060587888,15120.579657501421,4955.909051622541
uk_gdhi_per_head_gbp,2003,13022.19094690444,10469.84152131117,15574.540372497711,5104.698851186542
uk_gdhi_per_head_gbp,2004,13555.630788163355,10898.727153683338,16212.534422643372,5313.807268960034
uk_gdhi_per_head_gbp,2005,14037.82506348439,11286.41135104145,16789.23877592733,5502.82742488588
