region_code,region,year,metric,value,ci_lower,ci_upper,method,source,data_type,formula
K02000001,United Kingdom,2009,uk_productivity_gbp_per_job,52231.955860826485,36875.7608377435,67588.15088390947,derived,calculated,historical,gva / emp * 1e6
K02000001,United Kingdom,2009,uk_income_per_worker_gbp,37303.9822842773,26336.611492699776,48271.35307585482,derived,calculated,historical,gdhi / emp * 1e6
K02000001,United Kingdom,2010,uk_productivity_gbp_per_job,53611.602272299766,37849.79120424364,69373.4133403559,derived,calculated,historical,gva / emp * 1e6
K02000001,United Kingdom,2010,uk_income_per_worker_gbp,38038.33565328618,26855.064971220047,49221.60633535231,derived,calculated,historical,gdhi / emp * 1e6
K02000001,United Kingdom,2011,uk_productivity_gbp_per_job,54831.647426014366,38711.14308276614,70952.1517692626,derived,calculated,historical,gva / emp * 1e6
K02000001,United Kingdom,2011,uk_income_per_worker_gbp,38719.85108863235,27336.21486857444,50103.48730869026,derived,calculated,historical,gdhi / emp * 1e6
K02000001,United Kingdom,2012,uk_productivity_gbp_per_job,56378.35009157851,39803.11516465443,72953.58501850259,derived,calculated,historical,gva / emp * 1e6
K02000001,United Kingdom,2012,uk_income_per_worker_gbp,40173.92441969125,28362.79064030202,51985.05819908048,derived,calculated,historical,gdhi / emp * 1e6
K02000001,United Kingdom,2013,uk_productivity_gbp_per_job,57870.90345438441,40856.85783879539,74884.94906997343,derived,calculated,historical,gva / emp * 1e6
K02000001,United Kingdom,2013,uk_income_per_worker_gbp,41438.25656923531,29255.409137880128,53621.104000590494,derived,calculated,historical,gdhi / emp * 1e6
K02000001,United Kingdom,2014,uk_productivity_gbp_per_job,58825.4331949019,41530.75583560074,76120.11055420307,derived,calculated,historical,gva / emp * 1e6
K02000001,United Kingdom,2014,uk_income_per_worker_gbp,41782.435915795504,29498.399756551626,54066.47207503938,derived,calculated,historical,gdhi / emp * 1e6
K02000001,United Kingdom,2015,uk_productivity_gbp_per_job,59101.74327568809,41725.8307526358,76477.65579874038,derived,calculated,historical,gva / emp * 1e6
K02000001,United Kingdom,2015,uk_income_per_worker_gbp,43039.24979992345,30385.710358745953,55692.78924110094,derived,calculated,historical,gdhi / emp * 1e6
K02000001,United Kingdom,2016,uk_productivity_gbp_per_job,60386.21893612651,42632.67056890532,78139.7673033477,derived,calculated,historical,gva / emp * 1e6
K02000001,United Kingdom,2016,uk_income_per_worker_gbp,43179.9479701513,30485.043266926816,55874.852673375775,derived,calculated,historical,gdhi / emp * 1e6
K02000001,United Kingdom,2017,uk_productivity_gbp_per_job,62350.09985444944,44019.17049724131,80681.02921165757,derived,calculated,historical,gva / emp * 1e6
K02000001,United Kingdom,2017,uk_income_per_worker_gbp,43935.92390752462,31018.762278712384,56853.08553633686,derived,calculated,historical,gdhi / emp * 1e6
K02000001,United Kingdom,2018,uk_productivity_gbp_per_job,63925.04373570179,45131.08087740546,82719.00659399811,derived,calculated,historical,gva / emp * 1e6
K02000001,United Kingdom,2018,uk_income_per_worker_gbp,45508.57892612031,32129.056721840938,58888.10113039968,derived,calculated,historical,gdhi / emp * 1e6
K02000001,United Kingdom,2019,uk_productivity_gbp_per_job,65748.93588720405,46418.748736366055,85079.12303804205,derived,calculated,historical,gva / emp * 1e6
K02000001,United Kingdom,2019,uk_income_per_worker_gbp,46562.8159084863,32873.34803139133,60252.28378558127,derived,calculated,historical,gdhi / emp * 1e6
K02000001,United Kingdom,2020,uk_productivity_gbp_per_job,63900.84073496508,45113.99355888535,82687.6879110448,derived,calculated,historical,gva / emp * 1e6
K02000001,United Kingdom,2020,uk_income_per_worker_gbp,47463.69245372568,33509.36687233033,61418.01803512103,derived,calculated,historical,gdhi / emp * 1e6
K02000001,United Kingdom,2021,uk_productivity_gbp_per_job,66953.77153039002,47269.36270045536,86638.18036032468,derived,calculated,historical,gva / emp * 1e6
K02000001,United Kingdom,2021,uk_income_per_worker_gbp,48023.097736421834,33904.30700191381,62141.88847092986,derived,calculated,historical,gdhi / emp * 1e6
