region_code,region_name,region_level,metric_id,period,value,unit,freq,source,vintage,model,data_type,ci_lower,ci_upper
K02000001,United Kingdom,UK,boe_base_rate,2023-02-02,4.0,percent,D,Bank of England (via Global-Rates.com),2025-11-07T19:26:51Z,observed,historical,,
K02000001,United Kingdom,UK,boe_base_rate,2023-03-08,5.25,percent,D,Bank of England (via Global-Rates.com),2025-11-07T19:26:51Z,observed,historical,,
K02000001,United Kingdom,UK,boe_base_rate,2023-11-05,4.5,percent,D,Bank of England (via Global-Rates.com),2025-11-07T19:26:51Z,observed,historical,,
K02000001,United Kingdom,UK,boe_base_rate,2024-01-08,5.0,percent,D,Bank of England (via Global-Rates.com),2025-11-07T19:26:51Z,observed,historical,,
K02000001,United Kingdom,UK,boe_base_rate,2024-07-11,4.75,percent,D,Bank of England (via Global-Rates.com),2025-11-07T19:26:51Z,observed,historical,,
K02000001,United Kingdom,UK,boe_base_rate,2025-06-02,4.5,percent,D,Bank of England (via Global-Rates.com),2025-11-07T19:26:51Z,observed,historical,,
K02000001,United Kingdom,UK,boe_base_rate,2025-07-08,4.0,percent,D,Bank of England (via Global-Rates.com),2025-11-07T19:26:51Z,observed,historical,,
K02000001,United Kingdom,UK,boe_base_rate,2025-08-05,4.25,percent,D,Bank of England (via Global-Rates.com),2025-11-07T19:26:51Z,observed,historical,,
K02000001,United Kingdom,UK,boe_base_rate,2026-01,4.25,percent,M6,forecast_exogenous_assumption,2025-11-13T13:55:12Z,exogenous_assumption,forecast,4.0,4.5
K02000001,United Kingdom,UK,boe_base_rate,2026-07,4.0,percent,M6,forecast_exogenous_assumption,2025-11-13T13:55:12Z,exogenous_assumption,forecast,3.75,4.25
K02000001,United Kingdom,UK,boe_base_rate,2027-01,3.75,percent,M6,forecast_exogenous_assumption,2025-11-13T13:55:12Z,exogenous_assumption,forecast,3.5,4.0
K02000001,United Kingdom,UK,boe_base_rate,2027-07,3.5,percent,M6,forecast_exogenous_assumption,2025-11-13T13:55:12Z,exogenous_assumption,forecast,3.25,3.75
K02000001,United Kingdom,UK,boe_base_rate,2028-01,3.25,percent,M6,forecast_exogenous_assumption,2025-11-13T13:55:12Z,exogenous_assumption,forecast,3.0,3.5
K02000001,United Kingdom,UK,boe_base_rate,2028-07,3.0,percent,M6,forecast_exogenous_assumption,2025-11-13T13:55:12Z,exogenous_assumption,forecast,2.75,3.25
K02000001,United Kingdom,UK,boe_base_rate,2030-01,3.0,percent,M6,forecast_exogenous_assumption,2025-11-13T13:55:12Z,exogenous_assumption,forecast,2.75,3.25
K02000001,United Kingdom,UK,uk_cpih_index,1988-01,46.9,index(2015=100),M,ONS,2025-11-07T19:26:51Z,observed,historical,,
K02000001,United Kingdom,UK,uk_cpih_index,1988-02,47.0,index(2015=100),M,ONS,2025-11-07T19:26:51Z,observed,historical,,
K02000001,United Kingdom,UK,uk_cpih_index,1988-03,47.2,index(2015=100),M,ONS,2025-11-07T19:26:51Z,observed,historical,,
