region_code,region_name,region_level,metric_id,period,value,ci_lower,ci_upper,unit,freq,source,vintage,model,data_type
K02000001,United Kingdom,UK,boe_base_rate,2026-01,4.25,4.0,4.5,percent,M6,forecast_exogenous_assumption,2025-11-13T13:55:12Z,exogenous_assumption,forecast
K02000001,United Kingdom,UK,boe_base_rate,2026-07,4.0,3.75,4.25,percent,M6,forecast_exogenous_assumption,2025-11-13T13:55:12Z,exogenous_assumption,forecast
K02000001,United Kingdom,UK,boe_base_rate,2027-01,3.75,3.5,4.0,percent,M6,forecast_exogenous_assumption,2025-11-13T13:55:12Z,exogenous_assumption,forecast
K02000001,United Kingdom,UK,boe_base_rate,2027-07,3.5,3.25,3.75,percent,M6,forecast_exogenous_assumption,2025-11-13T13:55:12Z,exogenous_assumption,forecast
K02000001,United Kingdom,UK,boe_base_rate,2028-01,3.25,3.0,3.5,percent,M6,forecast_exogenous_assumption,2025-11-13T13:55:12Z,exogenous_assumption,forecast
K02000001,United Kingdom,UK,boe_base_rate,2028-07,3.0,2.75,3.25,percent,M6,forecast_exogenous_assumption,2025-11-13T13:55:12Z,exogenous_assumption,forecast
K02000001,United Kingdom,UK,boe_base_rate,2030-01,3.0,2.75,3.25,percent,M6,forecast_exogenous_assumption,2025-11-13T13:55:12Z,exogenous_assumption,forecast
K02000001,United Kingdom,UK,uk_gdp_m_index,2025-05,102.25050315269351,98.06984067822334,106.43116562716368,index(2016=100),M,forecast_VAR(4)_system,2025-11-13T13:55:12Z,VAR(4)_system,forecast
K02000001,United Kingdom,UK,uk_gdp_m_index,2025-06,102.1476348486807,95.10683138539983,109.18843831196156,index(2016=100),M,forecast_VAR(4)_system,2025-11-13T13:55:12Z,VAR(4)_system,forecast
K02000001,United Kingdom,UK,uk_gdp_m_index,2025-07,103.1085279678901,94.94911988970883,111.26793604607137,index(2016=100),M,forecast_VAR(4)_system,2025-11-13T13:55:12Z,VAR(4)_system,forecast
K02000001,United Kingdom,UK,uk_gdp_m_index,2025-08,103.39353230290209,94.88904361354061,111.89802099226357,index(2016=100),M,forecast_VAR(4)_system,2025-11-13T13:55:12Z,VAR(4)_system,forecast
K02000001,United Kingdom,UK,uk_gdp_m_index,2025-09,103.62192640557618,94.92015345061327,112.32369936053908,index(2016=100),M,forecast_VAR(4)_system,2025-11-13T13:55:12Z,VAR(4)_system,forecast
K02000001,United Kingdom,UK,uk_gdp_m_index,2025-10,103.36345812283173,94.46532615019319,112.26159009547027,index(2016=100),M,forecast_VAR(4)_system,2025-11-13T13:55:12Z,VAR(4)_system,forecast
K02000001,United Kingdom,UK,uk_gdp_m_index,2025-11,103.29400292820304,94.26208927749133,112.32591657891476,index(2016=100),M,forecast_VAR(4)_system,2025-11-13T13:55:12Z,VAR(4)_system,forecast
K02000001,United Kingdom,UK,uk_gdp_m_index,2025-12,103.28277917379611,94.15521835232069,112.41033999527154,index(2016=100),M,forecast_VAR(4)_system,2025-11-13T13:55:12Z,VAR(4)_system,forecast
K02000001,United Kingdom,UK,uk_gdp_m_index,2026-01,103.50560066587877,94.29601580530576,112.71518552645179,index(2016=100),M,forecast_VAR(4)_system,2025-11-13T13:55:12Z,VAR(4)_system,forecast
