region,region_code,metric,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
North East,TLC,chained_gva_mn_gbp,42708,43452,44582,46419,48477,50255,53174,53912,55600,55381,54739,52833,53692,54363,55505,55223,56425,58299,58090,59263,59575,61102,54146,59981,62364,63502
North East,TLC,nominal_gva_mn_gbp,28817,29252,30140,31410,33536,35461,38415,40232,42379,43248,44424,44217,44838,45621,46772,47447,48865,50570,51319,52719,53545,56060,52695,57240,62364,68891
North West,TLD,chained_gva_mn_gbp,138875,144432,147486,153660,157217,162190,167715,172129,178202,181147,179128,172853,176810,176037,179724,182560,187866,193054,195924,202563,204476,209462,192257,209825,221845,223858
North West,TLD,nominal_gva_mn_gbp,88083,92290,94655,100553,105245,111059,117278,123348,130397,135269,138451,137614,140494,141439,145795,150838,156789,162866,168631,176803,181321,190043,185588,199341,221845,243386
Yorkshire & Humber,TLE,chained_gva_mn_gbp,100732,103663,106854,110910,114317,119074,122556,124621,127648,131635,128170,122327,122506,123910,125713,126800,129075,133148,134219,138061,140040,141692,128398,144897,150684,150896
Yorkshire & Humber,TLE,nominal_gva_mn_gbp,62629,64589,66857,70287,74249,79307,83787,88017,92396,97660,99000,97143,97826,99400,101772,104433,107643,112293,114445,120022,123795,128503,123567,137374,150684,163826
East Midlands,TLF,chained_gva_mn_gbp,89683,92036,94714,97179,98322,101177,103927,106376,110419,111372,111507,105453,109042,110398,112294,114917,117171,118599,119971,121846,124434,125899,115406,125857,128254,128538
East Midlands,TLF,nominal_gva_mn_gbp,54263,55733,57797,60160,62582,65730,68954,72582,76609,80126,83432,81084,83954,85178,88426,92063,95446,98321,100929,104692,109384,113395,110619,118965,128254,139722
West Midlands,TLG,chained_gva_mn_gbp,113327,116820,120004,123387,124363,127325,129917,131591,133798,133842,133573,125541,129821,133767,135796,139004,143952,147770,151398,156659,158836,157849,141339,155226,158960,160747
West Midlands,TLG,nominal_gva_mn_gbp,70546,72689,74878,77766,80668,84705,88717,92660,95876,98602,101917,98608,102000,105200,108734,113782,119185,123674,129396,136041,140713,143711,135792,146778,158960,174608
East of England,TLH,chained_gva_mn_gbp,119888,124102,131125,135234,136638,141989,143366,148455,152252,154759,155785,148304,151009,151373,153741,157639,164496,167327,171040,180176,180461,183978,165281,181286,187608,189294
East of England,TLH,nominal_gva_mn_gbp,77552,80595,84942,89423,92845,98776,101960,107535,112826,117070,121766,118559,119996,120744,124608,130010,137035,141969,148110,158305,161802,168571,159982,173622,187608,205310
London,TLI,chained_gva_mn_gbp,291424,301911,324406,328952,334055,347791,357516,378745,392788,421240,422128,398270,411224,423693,437373,450399,469765,476078,495864,505319,515106,521458,455122,490253,529771,531531
London,TLI,nominal_gva_mn_gbp,180822,189934,204138,211431,219404,232216,243884,263752,279614,303485,311931,307243,319155,331055,344979,362515,386936,400610,425828,441034,457797,472257,435749,468464,529771,577141
South East,TLJ,chained_gva_mn_gbp,202977,211394,222556,226412,230958,236583,238867,246620,251963,258454,263852,253869,265012,270609,276794,281399,289698,297771,298435,305231,310794,321149,301562,318069,326144,326057
South East,TLJ,nominal_gva_mn_gbp,135775,142235,149118,154902,161906,169912,175491,184627,192653,201171,212321,208306,213782,219779,227513,235678,245399,255027,261020,270866,280390,296235,291483,303748,326144,354501
South West,TLK,chained_gva_mn_gbp,113879,117991,122300,126845,128564,131337,134230,136608,138899,141274,142557,136591,141600,142295,143799,144861,150594,151429,153973,159266,160105,163301,148165,165780,170624,170832
South West,TLK,nominal_gva_mn_gbp,67066,70346,73631,77699,81089,85434,90018,94098,98523,102473,107440,105857,109239,110531,113873,117149,123383,126159,130719,137276,141038,147026,140831,156691,170624,185952
Wales,TLL,chained_gva_mn_gbp,52766,53843,56205,57651,58663,60787,62499,63224,65271,65835,63979,62030,63113,64951,66019,67089,68096,69625,71332,72688,74542,75779,68578,72608,74977,74903
Wales,TLL,nominal_gva_mn_gbp,32745,33423,35048,36206,37848,40351,42750,44614,46892,48706,49201,48710,49938,51893,53603,55504,56920,58697,61023,63140,65445,68327,65096,68348,74977,81458
Scotland,TLM,chained_gva_mn_gbp,112749,114295,118328,122867,124460,128253,132498,137345,141842,145185,147329,142595,143242,145327,147443,151086,155861,157361,158021,163282,163026,165620,147123,160321,166866,168245
Scotland,TLM,nominal_gva_mn_gbp,69990,71019,73905,78263,81408,86231,91899,97381,103898,108168,113289,112920,112827,115662,119265,124638,130440,131988,134155,140881,143492,149254,141398,151916,166866,183471
Northern Ireland,TLN,chained_gva_mn_gbp,34512,35857,38268,39147,39405,41164,42113,43497,44772,44531,43255,41216,40655,41387,42233,42811,43702,44177,46116,47169,47460,49047,43793,49270,50701,51465
Northern Ireland,TLN,nominal_gva_mn_gbp,19603,20710,22344,23267,24039,25961,27232,28747,30484,31574,31939,31354,31000,31636,32952,34012,35071,36351,38547,40230,41386,43818,42146,46614,50701,56141
