
"Regional gross disposable household income (GDHI) at current basic prices"
"ONS Crown Copyright Reserved [from Nomis on 30 November 2025]"
"Analysis   :","standard"
"Component of GDHI:","Gross Disposable Household Income (GDHI)"
"Measure    :","GDHI per head (£)"

"local authority: district / unitary (as of April 2023)","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"

"Hartlepool",8263,8303,8787,9100,9546,9906,10111,10465,10953,11438,11750,12118,12669,12887,13248,13700,13888,14326,14739,14984,15234,15841,16203,16456,17230,18027,19530
"Middlesbrough",8653,8335,8827,9275,9713,9806,10035,10568,10927,11345,11540,11827,12421,12504,12651,13342,13572,14136,14483,14476,14646,15131,15672,15817,16137,16755,17872
"Redcar and Cleveland",8849,8539,9064,9551,10026,10099,10360,10724,11093,11540,11717,11981,12722,12872,13135,13972,14199,14777,15163,15295,15568,16028,16436,16668,16823,17688,19234
"Stockton-on-Tees",9470,9352,9801,10197,10670,10974,11246,11888,12370,12740,13016,13334,13807,13908,14273,14634,14801,15225,15568,15762,16066,16255,17141,17457,17833,18586,20209
"Darlington",9398,9310,9505,10242,11150,11114,11392,11780,11992,12268,12819,12854,13418,13485,13382,13871,14372,14728,15365,15893,16576,17037,17636,18101,18348,19099,20631
"County Durham",9026,9199,9566,10021,10451,10574,10860,11382,11597,11940,12186,12429,12853,13217,13315,13804,14209,14659,15258,15401,15722,16182,16612,16839,17240,17945,19439
"Northumberland",10060,10156,10691,11271,11746,12006,12430,12912,13181,13945,14221,15079,16007,15985,16021,16581,17144,17518,18193,18507,18822,19248,19808,19919,20332,21164,23192
"Newcastle upon Tyne",9449,9749,9947,10562,11071,11276,11671,12219,12152,12543,12925,13148,13445,13740,13726,14244,14439,14779,15462,15458,15645,16089,16820,16740,17495,18257,19661
"North Tyneside",9732,9898,10076,10402,10790,10944,11290,11906,11933,12265,12538,12644,13341,13672,13810,14575,14854,15248,15987,16143,16544,17018,17762,18343,18488,19388,21185
"South Tyneside",8348,8470,8585,8974,9390,9565,10016,10645,10843,11280,11736,11972,12534,12860,13035,13738,14107,14557,15247,15375,15690,15869,16120,16499,16889,17900,19563
"Sunderland",8364,8318,8731,9292,9630,9895,10172,10528,10951,11304,11705,11905,12347,12644,12867,13493,13854,14078,14466,14964,15303,15495,15949,16145,16753,17402,18751
"Gateshead",8407,8612,8766,9200,9767,9973,10303,10785,10891,11192,11434,11590,12244,12432,12581,13291,13622,13950,14487,14670,14995,15594,16290,16355,16942,17623,19127
"Halton",8642,8827,9357,10108,10589,10796,11180,11601,12017,12375,12999,13267,13708,13732,13792,14222,14643,14940,15653,15993,16786,17432,17672,17884,18268,18878,20341
"Warrington",10173,10340,10879,11718,12277,12458,12843,13544,13815,14335,15073,15163,15328,15481,15778,16570,16751,17299,18587,18429,18688,19421,20327,20390,21111,22238,24301
"Blackburn with Darwen",8318,8327,8774,8772,9077,9028,9446,9766,10220,10520,10691,10734,10992,11324,11272,11415,11474,11854,12107,12220,13233,13946,14267,14622,15178,15768,17049
"Blackpool",9368,9516,9765,10378,10497,10643,10544,10830,10956,11222,11711,11997,12546,12782,13250,13307,13637,13965,14492,14846,15306,15569,16109,16328,16746,17457,18846
"Cheshire East",11890,12044,12683,13064,13330,14197,14816,15344,15843,16375,16942,17234,17747,17762,17834,18478,19539,20227,21734,21643,22476,23669,24294,24103,24830,25704,28036
"Cheshire West and Chester",10874,10945,11591,11941,12231,12992,13682,14401,14910,15221,15836,16300,16807,16840,16855,17521,18040,18415,19104,19159,19764,20245,20925,20868,21289,22534,24584
"Cumberland",9199,9560,9881,10377,11007,11120,11576,12083,12432,12903,13524,13725,14359,14725,14786,15484,15950,16374,17017,17190,17546,17850,18315,18585,18872,19574,21411
"Westmorland and Furness",10372,10790,11047,11288,12148,12587,12977,13533,14013,14612,15143,15470,16096,16530,16564,17326,18043,18610,19428,19464,19846,20301,21043,21023,21417,22665,25083
"Burnley",7153,7235,7637,7968,8415,8489,8899,9295,9809,10282,10909,11375,12009,12061,12294,12505,12684,12946,13282,13648,13846,14208,14715,14989,15288,16014,17234
"Chorley",10183,10271,10637,11181,11674,11941,12297,12724,13252,13715,14249,14529,15073,15057,15402,15743,16151,16533,17616,17430,18103,18451,19221,19452,20097,20769,22525
"Fylde",12015,12056,12534,13423,13898,14111,14572,15052,15611,16328,16880,17295,17890,18181,18160,18545,19166,19464,20614,20748,21251,21919,22770,22396,22899,24681,27311
"Hyndburn",7336,7412,7805,8092,8472,8702,8924,9427,9906,10230,10712,11158,11824,11908,12192,12521,12768,12943,13471,13865,14234,14471,15233,15505,15503,15812,17055
"Lancaster",8507,8746,9058,9624,10126,10464,10837,11264,11600,11982,12489,12844,13606,13581,13671,13964,14495,14977,15468,15671,16469,17182,17089,17422,17850,18452,20066
"Pendle",8656,8770,9018,9529,9869,10037,10450,10944,11548,11907,12595,13130,13357,13583,13676,13765,13868,14201,14878,15020,15223,15049,15390,15415,15917,16796,18176
"Preston",8775,8899,9225,9550,10175,10260,10593,10920,11269,11530,11902,12177,12960,12783,12915,13333,13598,13954,14532,14969,15332,15403,15860,16488,16894,17404,18758
"Ribble Valley",14928,15188,15280,16371,16845,16803,17218,17956,18767,19335,20322,20761,20486,20789,21130,20894,21737,22243,23619,23582,24149,24912,25694,24383,25755,27271,29775
"Rossendale",9808,10037,10282,10929,11348,11587,12016,12582,13151,13388,14057,14454,14702,14828,15011,15053,15389,15704,16675,16845,17085,17472,17647,17788,18317,20016,22128
"South Ribble",9619,9731,10094,10494,11060,11293,11696,12164,12589,13004,13456,13667,14347,14292,14503,14889,15391,15769,16443,16833,17309,17863,18511,19080,19428,20235,21936
"West Lancashire",10114,10139,10655,11356,11823,12005,12427,12939,13509,13954,14519,14861,15346,15408,15887,16205,16702,17028,18140,17983,18550,19408,20110,20014,20600,21551,23735
"Wyre",9602,9749,10137,10644,11092,11343,11683,12087,12600,12986,13502,13857,14710,14859,15041,15348,15990,16422,16835,17155,18108,18801,19688,19654,19891,20967,22854
"Bolton",10018,10028,10548,11060,11326,11526,11795,12312,12645,13060,13597,13682,13855,13959,14005,14363,14731,14979,15200,15126,15602,15895,16288,16403,17016,18150,19739
"Bury",10455,10544,11052,11688,12070,12277,12496,13042,13484,13878,14446,14582,14760,14922,14978,15363,15995,16501,17296,17291,17553,18087,18615,18764,19280,20475,22248
"Manchester",7206,7480,8136,8476,8860,9220,9378,9730,10103,10455,10752,10994,11612,11662,11827,12231,12464,12944,13666,13860,14653,15169,15768,16311,17030,17830,18945
"Oldham",8088,8213,8741,9112,9435,9664,9914,10308,10584,11029,11427,11554,11943,12085,12185,12657,13050,13407,13786,13819,13964,14576,15237,15339,15795,16683,18084
"Rochdale",8354,8413,9011,9354,9729,9921,10142,10553,10832,11241,11689,11786,12277,12376,12549,13134,13537,13941,14410,14477,14703,15018,15663,15983,16298,17108,18515
"Salford",10531,10742,11267,11744,11994,12243,12666,13239,13655,13989,14474,14638,14829,14727,14808,15188,15492,15666,16662,16538,16914,16775,17329,17669,18477,19527,21128
"Stockport",10794,10827,11530,12200,12446,12751,13211,13455,13850,14404,15020,15249,15786,16114,16266,16762,17491,17981,18935,19400,19798,20593,21259,21294,21899,22954,24864
"Tameside",8241,8378,9081,9399,9646,9831,10197,10467,10878,11284,11658,11844,12492,12574,12819,13259,13638,13978,14546,14877,15362,15703,16200,16429,16757,17884,19444
"Trafford",13096,13053,13805,14572,14921,15201,15425,15834,16251,16699,17208,17356,17605,17684,17786,18323,18947,19262,20857,20902,21562,22890,23828,23353,23953,25776,28557
