itl3_code,lad_code
TLC33,E06000005
TLC41,E06000047
TLC42,E06000057
TLC44,E08000024
TLD13,E06000063
TLD14,E06000064
TLD33,E08000003
TLD41,E06000008
TLD42,E06000009
TLD61,E06000007
TLD62,E06000049
TLD63,E06000050
TLD72,E08000012
TLD73,E08000014
TLD74,E08000015
TLE11,E06000010
TLE12,E06000011
TLE21,E06000014
TLH62,E07000202
TLH63,E07000244
TLH64,E07000245
TLI34,E09000032
TLI36,E09000007
TLI42,E09000030
TLI45,E09000022
TLI54,E09000010
TLI61,E09000006
TLI62,E09000008
TLI71,E09000003
TLI72,E09000005
TLI73,E09000009
TLJ12,E06000042
TLJ13,E06000060
TLE22,E06000065
TLE34,E08000018
TLE35,E08000017
TLE41,E08000032
TLE42,E08000035
TLE45,E08000036
TLF11,E06000015
TLF14,E06000018
TLF21,E06000016
TLF24,E06000062
TLF25,E06000061
TLG11,E06000019
TLG21,E06000020
TLG22,E06000051
TLG23,E06000021
TLG31,E08000025
TLG32,E08000029
TLG33,E08000026
TLG36,E08000027
TLG37,E08000028
TLG38,E08000030
TLG39,E08000031
TLH21,E06000032
TLH24,E06000055
TLH25,E06000056
TLH31,E06000033
TLH32,E06000034
TLH41,E06000031
TLK41,E06000026
TLK42,E06000027
TLK51,E06000023
TLK61,E06000024
TLK62,E06000066
TLK63,E06000058
TLK64,E06000059
TLK71,E06000030
TLK72,E06000054
TLL31,W06000001
TLL32,W06000002
TLL43,W06000011
TLL44,W06000012
TLM12,S12000014
TLM13,S12000036
TLM14,S12000040
TLM32,S12000049
TLM34,S12000050
TLM91,S12000026
TLM92,S12000006
TLM93,S12000008
TLM94,S12000028
TLM95,S12000029
TLN06,N09000003
TLN07,N09000002
TLN08,N09000010
TLN09,N09000011
TLN0A,N09000005
TLN0B,N09000009
TLN0C,N09000004
TLN0D,N09000001
TLN0E,N09000007
TLN0F,N09000008
TLN0G,N09000006
TLJ21,E06000043
TLJ31,E06000044
TLJ32,E06000045
TLJ34,E06000046
TLJ41,E06000035
TLE33,E08000016
TLE36,E08000019
